original;second_part;bert;bert_related;blob;blob_related;manual_sentiment
klimakrieg;krieg;positive;neutral;0.0;-0.07692307692307693;negative
klimaabzockerei;abzockerei;negative;negative;0.0;0.0;negative
klimaalarm;alarm;negative;negative;0.0;0.0;negative
klimaalarmist;alarmist;negative;negative;0.0;0.0;negative
klimaapokalyptiker;apokalyptiker;negative;negative;0.0;0.0;negative
klimaarmageddon;armageddon;negative;negative;0.0;-0.05555555555555555;negative
klimaaufschrei;aufschrei;negative;negative;0.0;0.0;negative
klimaaufstand;aufstand;negative;negative;0.0;0.0;negative
klimabankrott;bankrott;negative;negative;-0.7;-0.13999999999999999;negative
klimabeeinflussung;beeinflussung;negative;negative;0.0;0.0;negative
klimabesoffenheit;besoffenheit;negative;negative;0.0;0.0;negative
klimabesorgnis;besorgnis;negative;negative;0.0;0.0;negative
klimabetrug;betrug;negative;negative;0.0;-0.025925925925925925;negative
klimabetrüger;betrüger;negative;negative;0.0;0.06363636363636363;negative
klimabluff;bluff;negative;negative;0.0;0.0;negative
klimablödsinn;blödsinn;negative;negative;0.0;-0.06;negative
klimabrandstifter;brandstifter;negative;negative;0.0;0.0;negative
klimabremser;bremser;negative;negative;0.0;0.0;negative
klimachaos;chaos;negative;negative;0.0;-0.1;negative
klimacrash;crash;negative;negative;0.0;0.049999999999999996;negative
klimadepression;depression;negative;negative;0.0;-0.21052631578947367;negative
klimadiktatur;diktatur;negative;negative;0.0;0.0;negative
klimadürre;dürre;negative;negative;0.0;0.0;negative
klimaerkrankung;erkrankung;negative;negative;0.0;-0.08333333333333333;negative
klimaextremismus;extremismus;negative;negative;0.0;0.0;negative
klimafeind;feind;negative;negative;0.0;0.0;negative
klimafieber;fieber;negative;negative;0.0;0.0;negative
klimagangster;gangster;negative;negative;0.0;0.0;negative
klimagau;gau;negative;negative;0.0;-0.1;negative
klimageschrei;geschrei;negative;negative;0.0;0.0;negative
klimahardliner;hardliner;negative;negative;0.0;0.2333333333333333;negative
klimaherausforderung;herausforderung;negative;negative;0.0;0.07777777777777778;negative
klimahokuspokus;hokuspokus;negative;negative;0.0;0.0;negative
klimahybris;hybris;negative;negative;0.0;0.0;negative
klimahysterie;hysterie;negative;negative;0.0;0.0;negative
klimahysteriker;hysteriker;negative;negative;0.0;0.0;negative
klimahölle;hölle;negative;negative;0.0;0.0;negative
klimairrsinn;irrsinn;negative;negative;0.0;0.0;negative
klimakamarilla;kamarilla;negative;negative;0.0;0.0;negative
klimakampf;kampf;negative;negative;0.0;0.0;negative
klimakasteiung;kasteiung;negative;negative;0.0;0.0;negative
klimakataklysmus;kataklysmus;negative;negative;0.0;0.0;negative
klimakatastrophentheorie;katastrophentheorie;negative;negative;0.0;0.0;negative
klimaketzer;ketzer;negative;negative;0.0;-0.07692307692307693;negative
klimakleriker;kleriker;negative;negative;0.0;0.0;negative
klimakonfusion;konfusion;negative;negative;0.0;0.0;negative
klimakontroverse;kontroverse;negative;negative;0.0;0.0;negative
klimakreuzzug;kreuzzug;negative;negative;0.0;0.0;negative
klimakrieger;krieger;negative;negative;0.0;0.0;negative
klimakritik;kritik;negative;negative;0.0;0.0;negative
klimakritiker;kritiker;negative;negative;0.0;0.0;negative
klimakäse;käse;negative;negative;0.0;-0.06;negative
klimalaie;laie;negative;negative;0.0;0.0;negative
klimaleugnung;leugnung;negative;negative;0.0;0.0;negative
klimalösegeld;lösegeld;negative;negative;0.0;0.0;negative
klimalüge;lüge;negative;negative;0.0;0.0;negative
klimalügner;lügner;negative;negative;0.0;0.0;negative
