original;concept
klimaaktivismus;action
klimaaktivistin;person
klimaalarmist;person
klimaapokalyptiker;person
klimaaufschrei;action
klimabesoffenheit;abstraction
klimabewegtheit;abstraction
klimadonna;person
klimadramatik;abstraction
klimaflüsterer;person
klimaführerin;person
klimagarde;group
klimaglaubenslehre;abstraction
klimagöttin;person
klimaherausforderung;abstraction
klimahoax;abstraction
klimahüpfer;person
klimahysteriker;person
klimakaiserin;person
klimakamarilla;group
klimakatastrophentheorie;abstraction
klimakatechismus;abstraction
klimakollekte;abstraction
klimakolonialismus;abstraction
klimakonsortium;group
klimakreationismus;abstraction
klimaleidenschaftlichkeit;abstraction
klimaleugner;person
klimaleugnung;action
klimalösegeld;abstraction
klimamacher;person
klimamahnwache;abstraction
klimamärchenonkel;person
klimanotstandsregierung;group
klimapanikmache;action
klimapäpstin;person
klimapropagandafilm;abstraction
klimarealist;person
klimaretterin;person
klimaschänder;person
klimaskeptikerin;person
klimaskeptizismus;abstraction
klimataliban;group
klimatraumatisierung;action
klimaüberhitzung;abstraction
klimaverblödung;abstraction
klimaverdummung;abstraction
klimawarner;person
klimazunft;abstraction
