,original,second_part,lemma,genus,compound_forms,concept,definition,similar_words,PERS_pro,ORG_pro,PERS_con,ORG_con,pro_mods,con_mods,pro_sarcasm,con_sarcasm,pro_attr,con_attr,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_colls,con_colls,manual_sentiment,article,full_definition
0,klimaabzockerei,abzockerei,abzockerei,f,"['klimaabzockerei', 'klimaabzockereien']",action,['der Akt des Stehlens'],[],,,Counter({'Werner Kirstein': 1}),,,[],,0.0,,,0,1,0.0,0.0,[],[],negativ,die,"Klimaabzockerei, die
Der Begriff ""Klimaabzockerei"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Werner Kirstein."
1,klimaaktivismus,aktivismus,aktivismus,m,['klimaaktivismus'],action,[],"['aktivismus', 'aktivist']","Counter({'Ken Jebsen': 1, 'Wolf Dieter Storl': 1})","Counter({'GLS Bank': 1, 'BUNDjugend': 1})",Counter({'Greta Thunberg': 1}),,['weiß'],[],0.0,0.0,,,3,1,0.0159028307170063,0.0,[],[],neutral,der,"Klimaaktivismus, der
Der Begriff ""Klimaaktivismus"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 3 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.02 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Greta Thunberg und der Vertreter Korpus die Person(en) Ken Jebsen und Wolf Dieter Storl. Im Kontext von ""Klimaaktivismus"" erfolgt die Nennung folgender Organisation(en): GLS Bank, BUNDjugend (Vertreter Korpus).

Siehe auch: Klimaaktivist"
2,klimaaktivist,aktivist,aktivist,m,"['klimaaktivisten', 'klimaaktivist']",person,['ein militanter Reformer'],"['demagoge', 'macher', 'aktivist', 'aktivismus']","Counter({'Greta Thunberg': 16, 'Vanessa Nakate': 4, 'Mitzi Jonelle Tan': 4, 'Joe Biden': 3, 'Howey Ou': 3, 'Donald Trump': 3, 'Armin Laschet': 3, 'Luisa Neubauer': 2, 'Ursula von der Leyen': 2, 'Angela Merkel': 2, 'Gesa Kaemena': 1, 'Merlin Hankel': 1, 'Adélaïde Charlier': 1, 'Anuna De Wever': 1, 'Tilman von Samson': 1, 'Julia Thöring': 1, 'Gerald Kaendler': 1, 'Verena Bax': 1, 'Anselm Schindler': 1, 'Manfred Fischedick': 1, 'Tobias Rosswog': 1, 'Jair Bolsonaro': 1, 'Horst Seehofer': 1, 'Evelyn Chantelle': 1, 'Sanna Marin': 1, 'Anthony Costello': 1, 'Friedrich Merz': 1, 'Hans Joachim Schellnhuber': 1, 'Ottmar Edenhofer': 1, 'Mojib Latif': 1, 'Dieter Nuhr': 1, 'Volker Quaschning': 1, 'Ann Pettifor': 1, 'Jane Fonda': 1, 'Klaus Kleber': 1, 'Markus Lanz': 1, 'Alexej Nawalny': 1, 'Martin Sonneborn': 1, 'Reiner Priggen': 1, 'Tom Buhrow': 1, 'Ines Gütt': 1, 'Dörte Schnitzer': 1, 'Matthias Klopfer': 1, 'Henriette Reker': 1, 'Maybritt Illner': 1, 'Peter Altmeier': 1, 'Carla Reenstma': 1, 'Yannick Passeick': 1})","Counter({'FFF': 23, 'EU': 6, 'RWE': 4, 'Bundestag': 3, 'SPD': 3, 'ZDF': 3, 'AFD': 3, 'NABU': 2, 'Siemens': 2, 'GAP': 2, 'Organisation Care': 2, 'Commerzbank': 2, 'UN': 2, 'Die Grünen': 2, 'CDU': 2, 'WEF': 2, 'Industriegebiet AchimWest': 1, 'Teachers for Future': 1, 'Grandparents for Future': 1, 'Christians for Future': 1, 'Parents for Future': 1, 'PCS': 1, 'Public Climate School': 1, 'Defend Rojava Komitee & Beriwan': 1, 'RTL': 1, 'ARD': 1, 'Holcim': 1, 'SWR': 1, 'CSU': 1, 'BILD': 1, 'GradZiel': 1, 'University College London': 1, 'Fortum': 1, 'Uniper': 1, 'Frühverheiratung': 1, 'Deutsches Reich': 1, 'IPCC': 1, 'HP': 1, 'PIK': 1, 'Spektrum.de': 1, 'Scientists For Future': 1, 'WBGU': 1, 'UBA': 1, 'Greenpeace': 1, 'OMV': 1, 'Union': 1, 'National Oceanic and Atmospheric Administration': 1, 'Milliardenhöhe': 1, 'XR': 1, 'MigrantifaBewegung': 1, 'heutejournal': 1, 'Frankfurter Rundschau': 1, 'Demokratische Partei': 1, 'Europäischen Parlament': 1, 'Landesverbands Erneuerbare Energien': 1, 'Landtag': 1, 'WDR': 1, 'NDR': 1, 'Springerpresse': 1, 'GermanZero': 1, 'Stiftung Klima- und Umweltschutz': 1, 'Folgedemos': 1, 'FrackingIndustrie': 1, 'EVPFraktion': 1, 'Fridays for Hubraum': 1, 'EIKE': 1, 'Naturfreunde': 1})","Counter({'Greta Thunberg': 13, 'Bill McKibben': 5, 'Michael Shellenberger': 5, 'Naomi Seibt': 3, 'Phil Jones': 3, 'George Monbiot': 2, 'Barbara Hendricks': 2, 'James Hansen': 2, 'Stephen McIntyre': 2, 'Horst-Joachim Lüdecke': 1, 'Karl Popper': 1, 'Claudia Kemfert': 1, 'Robert Habeck': 1, 'Maurice Strong': 1, 'Carl Friedrich Gethmann': 1, 'Tom Steyer': 1, 'Roger Pielke Jr': 1, 'Patrick Michaels': 1, 'Luisa Neubauer': 1, 'Donald Trump': 1, 'Paul Driessen': 1, 'Joe Biden': 1, 'Marc Morano': 1, 'Joe Romm': 1, 'Kevin Trenberth': 1, 'Naomi Oreskes': 1, 'John Cook': 1, 'Barack Obama': 1, 'Svenja Schulze': 1, 'Jennifer Rezny': 1, 'Mariella Gittler': 1, 'Michael Limburg': 1, 'Anthony Watts': 1, 'Theresa May': 1, 'Patricia Adams': 1, 'Oliver Tickell': 1, 'Bishop Hill': 1, 'Andrew Montford': 1, 'Jörg Kachelmann': 1, 'Stefan Rahmstorf': 1, 'Kevin Kühnert': 1, 'Werner Holtz': 1, 'Harald Lesch': 1, 'Andreas Demmig': 1, 'Hans Joachim Schellnhuber': 1, 'Lawrence Solomon': 1, 'William Michael Connolley': 1})","Counter({'EIKE': 14, 'IPCC': 6, 'UN': 5, 'WMO': 4, 'Greenpeace': 4, 'Spiegel': 3, 'FAZ': 2, 'EU': 2, 'CNN': 2, 'New York Times': 2, 'AFD': 2, 'SPD': 2, 'Weltbank': 2, 'NOAA': 2, 'PIK': 1, 'FN': 1, 'Frankfurter Rundschau': 1, 'dpa': 1, 'WEF': 1, 'Weltgesundheitsorganisation': 1, 'Wuppertalinstitut': 1, 'Big Finance': 1, 'Die offene Gesellschaft': 1, 'WBGU': 1, 'Cato Institut': 1, 'New York Post': 1, 'KohlendioxidEmissionen': 1, 'Washington Post': 1, 'BR': 1, 'Klimareporter': 1, 'NY Times': 1, 'BBC': 1, 'NABU': 1, 'KGB': 1, 'Heartland Institute': 1, 'Welt': 1, 'WIKIPEDIA': 1, 'ZDF': 1, 'Antifa': 1, 'UNO': 1, 'NASA': 1, 'EPA': 1, 'The Guardian': 1, 'Europäische Union': 1, 'WWF': 1, 'BP': 1})","['16jährig', 'weit', '24jährig', 'bekannt', 'aufregend', 'lieb', 'gleichgesinnt', 'chinesisch', 'indigen', 'deutsch', 'französisch', 'konstant', 'lieb', 'weiblich', 'lieb', 'lieb', 'bös', 'zahlreich', 'vieler', 'belgisch', 'schwedisch', 'lieb', 'angereist', 'sämtlicher', 'sozialverträglich', 'jung', 'jung']","['hyperaktiv', 'interpretiert', 'oft', 'falsch', 'bekannt', 'weltweit', 'militant', 'ideologisiert', 'außerdem', 'jung', 'unmöglich', 'vieler', 'motiviert', 'tatsächlich', 'mehr', 'ausgesprochen', 'schwedisch', 'bekannt', 'weltweit', 'ahnungslos', 'selbst', 'ausgewiesen', 'bekannt', 'linksradikal', 'oft', 'optimistisch', '16jährig', 'jung', 'aggressivst', 'wohl', 'bekannt', 'weltweit', 'leidend', 'bedrohlich', 'weniger', 'radikal', 'einst', 'führend', 'jung', 'schwedisch', 'schwedisch', 'fanatisch', 'lupenrein', 'gefeiert', 'hundertprozentig', 'lokal', 'trefflich']",0.0,0.010752688172043,Selbstzuschreibung,Fremdzuschreibung,61,66,0.158890817342648,0.608631578120215,"['indigen', 'Klimaziel', 'schon', 'lieb', 'liebe']","['bekannt', 'Jahr', 'Bill']",neutral,der,"Klimaaktivist, der
Der Begriff ""Klimaaktivist"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 66 Mal von den Klimaforschungsskeptikern und 61 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.61 für die Skeptiker und 0.16 für die Vertreter. Verwendet wird ""Klimaaktivist"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker und als Selbstzuschreibung im Vetreter Korpus. Die Verwendung wird in 0% der Fälle für den Vertreter Diskurs und in 1% der Fälle für den Skeptiker Diskurs als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Subdiskurs der Klimaforschungsvertreter wird der Begriff von Wörtern wie 'lieb' und 'jung' modifiziert. Wörter wie 'bekannt' und 'weltweit' treten auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Greta Thunberg und Bill McKibben und der Vertreter Korpus die Person(en) Greta Thunberg und Vanessa Nakate. Im Kontext von ""Klimaaktivist"" erfolgt die Nennung folgender Organisation(en): EIKE, IPCC (Skeptiker Korpus) und FFF, EU (Vertreter Korpus).

Kollokationen: 'bekannt', 'Jahr' (Skeptiker Korpus) und 'liebe', 'indigen' (Vertreter Korpus)

Siehe auch: Klimaaktivismus, Klimamacher, Klimademagoge"
3,klimaaktivistin,aktivistin,aktivistin,f,"['klimaaktivistinnen', 'klimaaktivistin']",person,[],"['aktivistin', 'aktivist']","Counter({'Greta Thunberg': 6, 'Howey Ou': 3, 'Mitzi Jonelle Tan': 3, 'Vanessa Nakate': 2, 'Joe Biden': 2, 'Luisa Neubauer': 2, 'Adélaïde Charlier': 1, 'Anuna De Wever': 1, 'Tilman von Samson': 1, 'Julia Thöring': 1, 'Ursula von der Leyen': 1, 'Gerald Kaendler': 1, 'Verena Bax': 1, 'Anselm Schindler': 1, 'Manfred Fischedick': 1, 'Tobias Rosswog': 1, 'Evelyn Chantelle': 1, 'Martin Sonneborn': 1, 'Ines Gütt': 1, 'Dörte Schnitzer': 1, 'Matthias Klopfer': 1})","Counter({'FFF': 6, 'EU': 3, 'Siemens': 2, 'Organisation Care': 2, 'PCS': 1, 'Public Climate School': 1, 'GAP': 1, 'NABU': 1, 'Defend Rojava Komitee & Beriwan': 1, 'RTL': 1, 'RWE': 1, 'ARD': 1, 'Holcim': 1, 'Europäischen Parlament': 1, 'SPD': 1, 'GermanZero': 1})","Counter({'Greta Thunberg': 7, 'Naomi Seibt': 2, 'George Monbiot': 1, 'Luisa Neubauer': 1, 'Svenja Schulze': 1, 'Jennifer Rezny': 1, 'Mariella Gittler': 1, 'Michael Limburg': 1, 'Barbara Hendricks': 1, 'Kevin Kühnert': 1, 'Andreas Demmig': 1})","Counter({'New York Post': 1, 'EIKE': 1, 'Spiegel': 1, 'SPD': 1, 'IPCC': 1, 'Welt': 1, 'Antifa': 1})","['16jährig', '24jährig', 'bekannt', 'chinesisch', 'deutsch', 'konstant', 'belgisch', 'schwedisch']","['schwedisch', 'optimistisch', '16jährig', 'jung', 'schwedisch', 'schwedisch', 'gefeiert']",0.0,0.0,Selbstzuschreibung,Fremdzuschreibung,24,9,0.141807610191428,0.10371631449558,"['Philippinen', 'Tan', 'Howey', 'Aktivist', 'Vanessa', 'Uganda']","['schwedisch', 'Greta']",neutral,die,"Klimaaktivistin, die
Der Begriff ""Klimaaktivistin"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 9 Mal von den Klimaforschungsskeptikern und 24 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.1 für die Skeptiker und 0.14 für die Vertreter. Verwendet wird ""Klimaaktivistin"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker und als Selbstzuschreibung im Vetreter Korpus. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Wörter wie 'schwedisch' treten auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Greta Thunberg und Naomi Seibt und der Vertreter Korpus die Person(en) Greta Thunberg und Howey Ou. Im Kontext von ""Klimaaktivistin"" erfolgt die Nennung folgender Organisation(en): New York Post, EIKE (Skeptiker Korpus) und FFF, EU (Vertreter Korpus).

Kollokationen: 'Greta', 'schwedisch' (Skeptiker Korpus) und 'Aktivist', 'Philippinen' (Vertreter Korpus)

Siehe auch: Klimaaktivist"
4,klimaalarm,alarm,alarm,m,"['klimaalarms', 'klimaalarm', 'klimaalarmen', 'klimaalarme', 'klimaalarmes']",abstraction,"['Angst, die sich aus dem Bewusstsein einer Gefahr ergibt']","['alarm', 'alarmist', 'alarm', 'alarmist']",,,"Counter({'Sterling Burnett': 6, 'Judith Curry': 6, 'Stefan Rahmstorf': 6, 'Angela Merkel': 4, 'Roy Spencer': 4, 'Greta Thunberg': 4, 'Thomas Stocker': 3, 'Werner Kirstein': 3, 'Harald Lesch': 2, 'Hartmut Graßl': 2, 'Roger Pielke Jr': 2, 'Joe Biden': 2, 'Hans Joachim Schellnhuber': 2, 'Barack Obama': 2, 'Naomi Seibt': 2, 'James Hansen': 2, 'Sigmar Gabriel': 2, 'Horst-Joachim Lüdecke': 2, 'Lord Monckton': 2, 'Michael Schnell': 2, 'Donald Trump': 1, 'Rainald Becker': 1, 'Dixy Lee Ray': 1, 'Ottmar Edenhofer': 1, 'Josef Kowatsch': 1, 'Wolfgang Peter': 1, 'Roya Saghiri': 1, 'Wolfgang Kaufmann': 1, 'Joshua Dean': 1, 'Günter Keil': 1, 'Maria Krautzberger': 1, 'Ursula von der Leyen': 1, 'Mojib Latif': 1, 'Eckart Witzigmann': 1, 'Frank-Ulrich Montgomery': 1, 'Anders Levermann': 1, 'John Christy': 1, 'Michael Shellenberger': 1, 'Christiana Figueres': 1, 'Timothy Wirth': 1, 'Ivar Giaever': 1, 'Patrick Frank': 1, 'Volker Quaschning': 1, 'Mauritius Knauer': 1, 'Michael Limburg': 1, 'Naomi Oreskes': 1})","Counter({'EIKE': 36, 'IPCC': 24, 'Heartland Institute': 10, 'PIK': 9, 'CNN': 6, 'UN': 5, 'DWD': 5, 'Weltbank': 5, 'NOAA': 4, 'Greenpeace': 4, 'WBGU': 3, 'NASA': 3, 'SPD': 3, 'Tagesspiegel': 3, 'Antifa': 3, 'ZDF': 2, 'American Meteorological Society': 2, 'Welt': 2, 'Forbes': 2, 'BBC': 2, 'TAGESSPIEGEL': 2, 'ARD': 2, 'Zentralinstitut für organische Chemie': 2, 'Universität Rostock': 2, 'EIA': 1, 'EU': 1, 'DER SPIEGEL': 1, 'NDR': 1, 'AMO': 1, 'Deutscher Bundestag': 1, 'TCS': 1, 'AWI': 1, 'Preußischen Allgemeinen Zeitung': 1, 'The Toronto Sun': 1, 'Umweltbundesamt': 1, 'Spiegel Online': 1, 'Die Grünen': 1, 'PAGES': 1, 'University of Cambridge': 1, 'Klimamonitoringbericht für Süddeutschland': 1, 'TAZ': 1, 'Amnesty International': 1, 'CSU': 1, 'NY Times': 1, 'BUND': 1, 'ECS': 1, 'KLIMARETTER': 1, 'FFF': 1, 'Spiegel': 1, 'UNFCCC': 1, 'Europäische Union': 1, 'American Physical Society': 1, 'FAO': 1, 'Instituts für Paläogeophysik und Geodynamik': 1})",,"['effektvoll', 'gescheitert', 'längst', 'teuflisch', 'ausgewiesen', 'warm', 'global', 'medial', 'aktuellhysterisch', 'weit', 'alle', 'böse', 'verselbstständigend', 'inzwischen', 'irreführend', 'nur', 'gefordert', 'neu', 'informiert', 'schlecht', 'wichtig', 'untergehend', 'westlich', 'mehr', 'neutral', 'kein', 'vorsorglich', 'falsch', 'oberer', 'potsdämlich', 'einiger', 'politisch', 'erfunden', 'unbewohnbar', 'fast', 'gefährlich', 'eingefleischt', 'fragwürdig', 'prominent', 'prominent', 'charmant', 'durchaus', 'nur', 'lieb', 'dann', 'nur', 'wieder', 'doch', 'nur']",,0.0,,,0,38,0.0,0.398275213619634,[],"['Teil', 'Schulz', 'betrügerisch', 'erklären', 'Erzeugung', 'posaunen', 'Flashcrash', 'brandenburgisch']",negativ,der,"Klimaalarm, der
Der Begriff ""Klimaalarm"" wird in unserem Korpus 38 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.4 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Wörter wie 'nur' und 'prominent' treten auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Sterling Burnett und Judith Curry. Im Kontext von ""Klimaalarm"" erfolgt die Nennung folgender Organisation(en): EIKE, IPCC (Skeptiker Korpus).

Kollokationen: 'Teil', 'Erzeugung' (Skeptiker Korpus) 

Siehe auch: Klimaalarmist"
5,klimaalarmist,alarmist,alarmist,m,"['klimaalarmist', 'klimaalarmisten']",person,[],"['alarm', 'alarmist', 'alarmist', 'alarm']",,,"Counter({'Sterling Burnett': 6, 'Greta Thunberg': 4, 'Stefan Rahmstorf': 4, 'Thomas Stocker': 3, 'Werner Kirstein': 3, 'Roy Spencer': 3, 'Roger Pielke Jr': 2, 'Joe Biden': 2, 'Hans Joachim Schellnhuber': 2, 'Barack Obama': 2, 'Judith Curry': 2, 'James Hansen': 2, 'Lord Monckton': 2, 'Michael Schnell': 2, 'Donald Trump': 1, 'Hartmut Graßl': 1, 'Rainald Becker': 1, 'Dixy Lee Ray': 1, 'Ottmar Edenhofer': 1, 'Josef Kowatsch': 1, 'Wolfgang Peter': 1, 'Roya Saghiri': 1, 'Wolfgang Kaufmann': 1, 'Joshua Dean': 1, 'Günter Keil': 1, 'Ursula von der Leyen': 1, 'Angela Merkel': 1, 'Mojib Latif': 1, 'Eckart Witzigmann': 1, 'Frank-Ulrich Montgomery': 1, 'John Christy': 1, 'Michael Shellenberger': 1, 'Patrick Frank': 1, 'Volker Quaschning': 1, 'Horst-Joachim Lüdecke': 1, 'Mauritius Knauer': 1, 'Michael Limburg': 1})","Counter({'IPCC': 18, 'EIKE': 18, 'Heartland Institute': 7, 'DWD': 5, 'PIK': 5, 'UN': 3, 'NOAA': 3, 'CNN': 3, 'Greenpeace': 3, 'Forbes': 2, 'BBC': 2, 'Weltbank': 2, 'NASA': 2, 'Zentralinstitut für organische Chemie': 2, 'Universität Rostock': 2, 'EIA': 1, 'EU': 1, 'DER SPIEGEL': 1, 'NDR': 1, 'AMO': 1, 'Deutscher Bundestag': 1, 'TCS': 1, 'Preußischen Allgemeinen Zeitung': 1, 'The Toronto Sun': 1, 'Amnesty International': 1, 'NY Times': 1, 'ECS': 1, 'KLIMARETTER': 1, 'Spiegel': 1, 'SPD': 1, 'WBGU': 1, 'FAO': 1, 'Instituts für Paläogeophysik und Geodynamik': 1, 'American Meteorological Society': 1, 'ARD': 1})",,"['effektvoll', 'gescheitert', 'längst', 'teuflisch', 'ausgewiesen', 'warm', 'global', 'alle', 'böse', 'irreführend', 'nur', 'informiert', 'schlecht', 'wichtig', 'westlich', 'mehr', 'neutral', 'oberer', 'potsdämlich', 'einiger', 'politisch', 'unbewohnbar', 'fast', 'gefährlich', 'eingefleischt', 'prominent', 'prominent', 'charmant', 'durchaus', 'nur', 'lieb', 'dann', 'nur']",,0.0,,Fremdzuschreibung,0,115,0.0,0.953428503539263,[],"['ankündigen', 'kommen', 'exemplarisch', 'IPCC', 'bzgl.', 'bewährt', 'gleiche', 'Behauptung']",negativ,der,"Klimaalarmist, der
Der Begriff ""Klimaalarmist"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 115 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.95 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaalarmist"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Wörter wie 'nur' und 'prominent' treten auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Sterling Burnett und Greta Thunberg. Im Kontext von ""Klimaalarmist"" erfolgt die Nennung folgender Organisation(en): IPCC, EIKE (Skeptiker Korpus).

Kollokationen: 'bzgl.', 'gleiche' (Skeptiker Korpus) 

Siehe auch: Klimaalarm"
6,klimaanbeter,anbeter,anbeter,m,"['klimaanbeters', 'klimaanbeter', 'klimaanbetern']",person,['ein leidenschaftlicher Anhänger und Verehrer'],['sektierer'],,,,Counter({'EIKE': 1}),,['lügend'],,0.0,,Fremdzuschreibung,0,1,0.0,0.0,[],[],neutral,der,"Klimaanbeter, der
Der Begriff ""Klimaanbeter"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaanbeter"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimaanbeter"" erfolgt die Nennung folgender Organisation(en): EIKE (Skeptiker Korpus).

Siehe auch: Klimasektierer"
7,klimaapokalypse,apokalypse,apokalypse,f,"['klimaapokalypse', 'klimaapokalypsen']",abstraction,"['Visionäre Beschreibung eines Zustandes, in dem die Welt nicht weiter besteht.', 'ein kosmischer Kataklysmus, bei dem Gott die herrschenden Mächte des Bösen vernichtet', 'eine erhellende oder erstaunliche Enthüllung']","['armageddon', 'untergang', 'apokalypse', 'apokalyptiker']",,,"Counter({'Donald Trump': 2, 'Harald Kunstmann': 1, 'Sterling Burnett': 1, 'Hans Joachim Schellnhuber': 1})","Counter({'Die Grünen': 2, 'WUWT': 1, 'BR': 1, 'Bayerischer Landtag': 1, 'FAZ': 1, 'National Energy Administration': 1})",,"['bevorstehend', 'schlimm', 'angenommen']",,0.0,,,0,9,0.0,0.10371631449558,[],[],negativ,die,"Klimaapokalypse, die
Der Begriff ""Klimaapokalypse"" wird in unserem Korpus 9 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.1 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Donald Trump und Harald Kunstmann. Im Kontext von ""Klimaapokalypse"" erfolgt die Nennung folgender Organisation(en): Die Grünen, WUWT (Skeptiker Korpus).

Siehe auch: Klimauntergang, Klimaapokalyptiker, Klimaarmageddon"
8,klimaapokalyptiker,apokalyptiker,apokalyptiker,m,"['klimaapokalyptiker', 'klimaapokalyptikern', 'klimaapokalyptikers']",person,[],"['apokalyptiker', 'apokalypse']",,,,,,[],,0.0,,Fremdzuschreibung,0,1,0.0,0.0,[],[],negativ,der,"Klimaapokalyptiker, der
Der Begriff ""Klimaapokalyptiker"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaapokalyptiker"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert.

Siehe auch: Klimaapokalypse"
9,klimaapostel,apostel,apostel,m,"['klimaaposteln', 'klimaapostels', 'klimaapostel']",person,"['(Neues Testament) einer der ursprünglichen 12 Jünger, die von Christus ausgewählt wurden, um sein Evangelium zu verkünden']",[],,,"Counter({'Bill McKibben': 1, 'Harald Lesch': 1})","Counter({'EIKE': 3, 'Spiegel': 1, 'IPCC': 1})",,"['selbsternannt', 'neu']",,0.0,,Fremdzuschreibung,0,3,0.0,0.0331378774723968,[],[],neutral,der,"Klimaapostel, der
Der Begriff ""Klimaapostel"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 3 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.03 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaapostel"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Bill McKibben und Harald Lesch. Im Kontext von ""Klimaapostel"" erfolgt die Nennung folgender Organisation(en): EIKE, Spiegel (Skeptiker Korpus)."
