,original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,bert,blob,bert_related,blob_related,manual,Notes,blob_label,blob_related_label
0,klimakrieg,krieg,"['krieges', 'kriegen', 'kriegs', 'krieg', 'kriege']",krieg,m,"['klimakrieges', 'klimakriegen', 'klimakriegs', 'klimakrieg', 'klimakriege']","['Kampfhandlungen', 'kriegerische Auseinandersetzung', 'militärische Auseinandersetzung', 'kriegsähnliche Zustände', 'militärische Option', 'Feldzug', 'bewaffnete Auseinandersetzung', 'die Fortsetzung der Politik mit anderen Mitteln', 'militärisch ausgetragener Konflikt', 'Orlog', 'Waffengang', 'bewaffneter Konflikt', 'Krieg']","['Auseinandersetzung', 'Fehde', 'Kontroverse', 'Konflikt', 'Streit']","['Spektakel', 'Event', 'Hypeevent', 'Großereignis', 'Spektakulum', 'Hype-Event', 'besonderes Ereignis', 'Verständigung', 'Austausch', 'Kommunikation']","['action', 'military action', 'group action', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['Aktive Auseinandersetzung zwischen mindestens zwei Parteien wie Staaten, ethnischen oder sozialen Gruppen']",[],"['kontroverse', 'show']",krieg,krieg,krieg,krieg,"['krieg', 'krieger']",,"['krieg', 'krieger']","['krieg', 'krieger']","['krieg', 'krieger']","['kontroverse', 'show', 'krieg', 'krieger', 'krieg', 'krieger', 'krieg', 'krieger']",positive,0.0,neutral,-0.0769230769230769,negative,Bert unterschiedlich -> BLOB,neutral,negative
68,klimascharade,scharade,"['scharaden', 'scharade']",scharade,f,"['klimascharaden', 'klimascharade']","['Charade', 'Scharade']",[],[],"['word', 'language unit', 'linguistic unit', 'part', 'constituent', 'portion', 'component', 'component part', 'relation', 'abstraction', 'abstract entity', 'entity']",action,"['ein Wort, das in einer Episode des Scharadenspiels vorgespielt wird']",[],[],scharad,scharad,scharade,scharad,,,,,,[],negative,0.0,positive,0.0,negative,bert,neutral,neutral
86,klimatod,tod,"['toden', 'todes', 'tods', 'tode', 'tod']",tod,m,"['klimatoden', 'klimatodes', 'klimatods', 'klimatode', 'klimatod']","['Freund Hein', 'Abschied', 'Exitus', 'Ableben', 'Todbringer', 'Terminalphase', 'Knochenmann', 'Lebensende', 'Abberufung', 'Tod', 'Hein', 'Gevatter Tod', 'Sterben', 'Gevatter', 'Versterben', 'Hinschied', 'Thanatos', 'Boandlkramer', 'Boandl', 'Sensenmann', 'Schnitter', 'Boanlkramer', 'Boanl']","['Rückgeld', 'Kleingeld', 'Wechselgeld']","['Spektakel', 'Event', 'Hypeevent', 'Großereignis', 'Spektakulum', 'Hype-Event', 'besonderes Ereignis']","['sack', 'release', 'sacking', 'liberation', 'discharge', 'firing', 'dismission', 'dismissal', 'conclusion', 'ending', 'termination', 'change of state', 'change', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['Entlassung aus dem Amt', 'das Ereignis des Sterbens oder des Ausscheidens aus dem Leben']",[],[],tod,tod,tod,tod,,,,,,[],negative,0.0,positive,-0.0304347826086956,negative,,neutral,negative
103,klimazerstörer,zerstörer,"['zerstörern', 'zerstörers', 'zerstörer']",zerstörer,m,"['klimazerstörern', 'klimazerstörers', 'klimazerstörer']","['Verwüster', 'Zerstörer', 'Vernichter']",[],[],"['bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Person, die zerstört oder zerstört oder verwüstet']",[],[],zerstor,zerstörer,zerstör,zerstor,,,,"['zerstörer', 'zerstörung']","['zerstörer', 'zerstörung']","['zerstörer', 'zerstörung']",negative,0.0,positive,0.0,negative,,neutral,neutral
107,klimadramatik,dramatik,['dramatik'],dramatik,f,['klimadramatik'],"['handelnde Dichtung', 'Dramatik']",[],[],[],,[None],[],[],dramatik,dramatik,dramatik,dramat,,,,,,[],neutral,0.0,neutral,0.0,negative,,neutral,neutral
108,klimanotstandsregierung,notstandsregierung,"['notstandsregierung', 'notstandsregierungen']",notstandsregierung,f,"['klimanotstandsregierung', 'klimanotstandsregierungen']",[],[],[],,,[],[],[],notstandsregierung,notstandsregierung,notstandsregierung,notstandsregier,,,,,,[],neutral,0.0,neutral,0.0,negative,,neutral,neutral
109,klimaskeptizismus,skeptizismus,['skeptizismus'],skeptizismus,m,['klimaskeptizismus'],[],[],[],,,[],[],[],skeptizismu,skeptizismu,skeptizism,skeptizismus,,,,,,[],neutral,0.0,neutral,0.0,negative,,neutral,neutral
111,klimafanatiker,fanatiker,"['fanatiker', 'fanatikern', 'fanatikers']",fanatiker,m,"['klimafanatiker', 'klimafanatikern', 'klimafanatikers']","['Fanatiker', 'Eiferer', 'Zelot']",[],[],"['advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein glühender und sogar militanter Verfechter einer Sache'],[],[],fanatik,fanatik,fanatik,fanat,,,,,,[],positive,0.0,positive,0.0,negative,,neutral,neutral
115,klimaleugner,leugner,"['leugners', 'leugner', 'leugnern']",leugner,m,"['klimaleugners', 'klimaleugner', 'klimaleugnern']",[],[],[],,,[],[],[],leug,leugner,leugn,leugn,,,,,"['leugner', 'leugnung']","['leugner', 'leugnung']",positive,0.0,positive,0.0,negative,,neutral,neutral
117,klimataliban,taliban,"['talibans', 'taliban']",taliban,m,"['klimatalibans', 'klimataliban']",[],[],[],,,[],[],[],taliba,taliban,talib,taliban,,,,,,[],positive,0.0,positive,0.0,negative,,neutral,neutral
