,pattern,keyword,concept,origin
34,klimaaktivist,Globale Blockaden von XR Eine Woche voller Proteste haben die Klimaaktivist * innen von Extinction Rebellion angekündigt .,person,P2022
5,klimaaktivist,Doch das lassen Anwohner * innen und Klimaaktivist * innen nicht zu .,person,P2022
45,klimaaktivist,"Schön wären massenweise öffentliche Bekundungen herausragender Persönlichkeiten und Gruppen , in Zukunft gänzlich auf den Flugverkehr zu verzichten . … ein großes Lob an den Frankfurter OB , daß er - trotz Ausladung der Automobilindustrue - seine Meinung im Nezterk darstellte - hier bei uns in Köln ist unsere liebe Henriette Reker , unsere OB , auch eine Befürworterin für den ( den größten Klimastreik ) , daß die städtischen Arbeitgeber , ihren Mitarbeiter / innen problemlos an diesem Freitag beurlauben , bzw . , Überstunden abbauen lassen … das ist vorbildlich … … das bewies unsere OB auch , als die Klimaaktivisten in Köln vor dem Rathaus ihre Zelte aufschlugen , indem sie sie unterstützte ; es ghet ja bald weiter … Leute , redet mit allen , die ihr trefft , über den wichtigen Tag unseres Klimastreiks : Friday for Future ; ich unterstütze unsere Jugend und mehr , wie ich kann … Liebes Team von Fridays for Future , ich finde Euren Einsatz einfach klasse und werde natürlich am .",person,P2022
35,klimaaktivist,"Drei Wochen ist es nun her , dass sich vom . - zahlreiche Klimaaktivist * innen zum „ Summer Meeting In Lausanne Europe "" ( kurz : SMILE ) getroffen haben .",person,P2022
33,klimaaktivist,"Seit dem heutigen Dienstag , dem , werden Klimaaktivist * innen im hessischen Dannenröder Wald polizeilich geräumt , die gegen die Rodung des gesunden Mischwaldes und den Bau der Autobahn A49 protestieren .",person,P2022
48,klimaaktivist,"Jedoch nur , indem er die angereisten Klimaaktivist * innen als Apokalyptiker * innen bezeichnete .",person,P2022
36,klimaaktivist,Liebe Klimaaktivisten !,person,P2022
41,klimaaktivist,"Auch das neue Klimaschutzgesetz des Landes NordrheinWestfahlen , welches parallel zum WindräderMindestabstandsGesetz beschlossen wurde , sorgt für Empörung bei den Oppositionsparteien und Klimaaktivist * innen .",person,P2022
47,klimaaktivist,"👎🏻 Anfeindungen gegen Klimaaktivist * innen von Trump Beim WeltWirtschaftsgipfel sprach neben Greta Thunberg auch Trump , der USamerikanische Präsident , der den ( menschengemachten ) Klimawandel leugnet .",person,P2022
22,klimaaktivist,"Liebe Klimaaktivisten , besten Dank an Euch und gut so es geht weiter .",person,P2022
13,klimaaktivist,Pressemitteilung lesen Presseartikel Südwestpresse - Erste Menschenkette von Ulm nach NeuUlm für den Klimaschutz Am Freitag haben die KlimaAktivisten von Fridays for Future eine Menschenkette von Ulm nach NeuUlm organisiert .,person,P2022
6,klimaaktivist,"Nicht zuletzt müssen wir auch uns selbst ermutigen , nicht nur so weiterzumachen , sondern auch zu versuchen , es zu einer coolen und aufregenden Sache zu machen , Klimaaktivist * in zu sein !",person,P2022
24,klimaaktivist,Auch weibliche KlimaAktivist * innen sind laut Studie gefährdet Ziel von Gewalt und Einschüchterungsversuchen zu sein .,person,P2022
51,klimaaktivist,"KlimaAktivist * innen in der ganzen EU fordern deshalb schon lange die EU auf , diesen Hebel zu nutzen , um Klimaschutz und Erhalt der Biodiversität in der Landwirtschaft voranzubringen .",person,P2022
27,klimaaktivist,"Liebe FFFKämpfer , liebe Klimaaktivisten !",person,P2022
43,klimaaktivist,"Mehr Infos sind auf dieser Webseite zu finden : http : / / www.youthtopia.world Neuigkeiten zum Projekt : Liebe FFFKämpfer , liebe Klimaaktivisten !",person,P2022
25,klimaaktivist,"Klimagerechtigkeit bedeutet den Betroffenen zuzuhören Es ist Zeit , die Länder des globalen Südens und die Klimaaktivist * innen aus dem globalen Süden endlich ernstzunehmen und auf ihre Forderungen einzugehen .",person,P2022
44,klimaaktivist,"- internationaler , zentraler Streik von Fridays for Future Bereits am vergangenen Donnerstag , , reisen tausende Klimaaktivist * innen in Bussen und ( Sonder- ) zügen zu ihrem Ziel an .",person,P2022
42,klimaaktivist,"Dadurch dürften sich vermutlich vor allem Klimaaktivist * innen angegriffen fühlen , da diese sich in den vergangenen Jahren immer wieder auf naturwissenschaftliche Erkenntnisse stützten , um die Klimadebatte voranzutreiben .",person,P2022
37,klimaaktivist,"Ich hoffe , das Jahr , FFF und die vielen anderen Klimaaktivisten bringen nun die Wende !",person,P2022
54,klimaaktivist,"Ein wirklich tolles Zeichen ist , dass die junge Klimaaktivist * innenSzene sehr viel ausgeglichener alle Geschlechter einbindet und vor allem junge Frauen * eine große Rolle einnehmen .",person,P2022
16,klimaaktivist,✊🏻 Proteste gegen Datteln IV bei finnischem Staatsbesuch Während des Besuchs der finnischen Minsiterpräsidentin Sanna Marin in Berlin haben Klimaaktivist * innen gegen DattelnIV protestiert .,person,P2022
53,klimaaktivist,"Jeder sollte sich zudem mit Klimaaktivist * innen solidarisieren , denn sie trifft die rechte Hetze ganz besonders stark .",person,P2022
29,klimaaktivist,"Liebe Grüße Ludwig Hallo liebe Klimaaktivisten , Zu den medialen Tricks , die Klimawende zu verhindern Beliebte FakeNews , oder Verdrehungen , Nebelbomben in den ( ÖR- ) Medien : Oben wurde von Euch ja erwähnt , dass nach einer Studie in Deutschland der Ausstoß von CO deutlich zurückgegangen sei . ( die -35 % beziehen sich i.ü . auf die gesamten THG , nicht nur auf den Stromsektor .",person,P2022
20,klimaaktivist,"Wie kommst du auf die Idee , die Klimaaktivisten von FfF wüßten das alles nicht ?",person,P2022
50,klimaaktivist,"Zuvor hatten KlimaAktivist * innen in der Schweiz in einer nichtautorisierten BanksyAusstellung die BanksyKopie aus Protest gegen die schweizerische Bank USB aufgehangen , die ebenso wie die Commerzbank weiterhin fossilen Energien finanziert .",person,P2022
30,klimaaktivist,"Kritik und Vorwürfe von Klimaaktivist * en * innen wurden weitgehend überhört , ähnlich wie bei der Inbetriebnahme des Kraftwerks Datteln IV vor einigen Wochen .",person,P2022
26,klimaaktivist,"Liebe KLIMAaktivist * innen , ich habe euch gestern mit meiner Familie unterstützt , und wir sind alle auf die Straße gegangen !",person,P2022
