original;second_part;bert;bert_related;blob;blob_related;manual_sentiment
klimaabzockerei;abzockerei;negative;negative;0.0;0.0;negative
klimaaktivismus;aktivismus;positive;positive;0.0;0.0;positive
klimaaktivist;aktivist;positive;positive;0.0;0.6666666666666666;positive
klimaaktivistin;aktivistin;positive;positive;0.0;0.0;positive
klimaalarm;alarm;negative;negative;0.0;0.0;negative
klimaalarmist;alarmist;negative;negative;0.0;0.0;negative
klimaanbeter;anbeter;negative;positive;0.0;0.0;neutral
klimaapokalypse;apokalypse;positive;negative;0.0;-0.05;negative
klimaapokalyptiker;apokalyptiker;negative;negative;0.0;0.0;negative
klimaapostel;apostel;positive;positive;0.0;0.0;neutral
klimaargument;argument;negative;negative;0.0;0.0;neutral
klimaarmageddon;armageddon;negative;negative;0.0;-0.05555555555555555;negative
klimaasyl;asyl;positive;positive;0.0;0.0;neutral
klimaaufschrei;aufschrei;negative;negative;0.0;0.0;negative
klimaaufstand;aufstand;negative;negative;0.0;0.0;negative
klimabankrott;bankrott;negative;negative;-0.7;-0.13999999999999999;negative
klimabeeinflussung;beeinflussung;negative;negative;0.0;0.0;negative
klimabefürworter;befürworter;negative;negative;0.0;0.0;neutral
klimabesoffenheit;besoffenheit;negative;negative;0.0;0.0;negative
klimabesorgnis;besorgnis;negative;negative;0.0;0.0;negative
klimabetrug;betrug;negative;negative;0.0;-0.025925925925925925;negative
klimabetrüger;betrüger;negative;negative;0.0;0.06363636363636363;negative
klimabewegtheit;bewegtheit;negative;negative;0.0;0.0;neutral
klimabibel;bibel;positive;neutral;0.0;0.0;neutral
klimabigotterie;bigotterie;negative;negative;0.0;0.0;neutral
klimablödsinn;blödsinn;negative;negative;0.0;-0.06;negative
klimabluff;bluff;negative;negative;0.0;0.0;negative
klimabrandstifter;brandstifter;negative;negative;0.0;0.0;negative
klimabremser;bremser;negative;negative;0.0;0.0;negative
klimachaos;chaos;negative;negative;0.0;-0.1;negative
klimacrash;crash;negative;negative;0.0;0.049999999999999996;negative
klimadampfer;dampfer;negative;negative;0.0;-0.06999999999999999;neutral
klimademagoge;demagoge;negative;negative;0.0;0.0;neutral
klimadepression;depression;negative;negative;0.0;-0.21052631578947367;negative
klimadialektik;dialektik;negative;negative;0.0;0.0;neutral
klimadiktatur;diktatur;negative;negative;0.0;0.0;negative
klimadiplomatie;diplomatie;negative;neutral;0.0;0.0;neutral
klimadogma;dogma;negative;negative;0.0;0.0;neutral
klimadonna;donna;negative;negative;0.0;0.0;neutral
klimadramatik;dramatik;neutral;neutral;0.0;0.0;negative
klimadürre;dürre;negative;negative;0.0;0.0;negative
klimaelite;elite;positive;positive;0.0;0.08333333333333333;neutral
klimaerkrankung;erkrankung;negative;negative;0.0;-0.08333333333333333;negative
klimaernsthaftigkeit;ernsthaftigkeit;negative;negative;0.0;0.0;neutral
klimaerzählung;erzählung;neutral;neutral;0.0;0.0;neutral
klimaestablishment;establishment;negative;positive;0.0;0.03333333333333332;neutral
klimaethik;ethik;neutral;neutral;0.0;0.16666666666666666;neutral
klimaextremismus;extremismus;negative;negative;0.0;0.0;negative
klimafachkraft;fachkraft;neutral;positive;0.0;0.0;neutral
klimafanatiker;fanatiker;positive;positive;0.0;0.0;negative
klimafeind;feind;negative;negative;0.0;0.0;negative
klimafestung;festung;neutral;positive;0.0;0.0;neutral
klimafieber;fieber;negative;negative;0.0;0.0;negative
klimafluch;fluch;positive;negative;0.0;-0.09090909090909091;negative
klimaflüsterer;flüsterer;negative;negative;0.0;0.0;neutral
klimafreund;freund;positive;positive;0.0;0.018518518518518517;positive
klimafreundin;freundin;positive;positive;0.0;0.04482758620689655;positive
klimafreundlichkeit;freundlichkeit;positive;positive;0.0;0.084375;positive
klimafront;front;positive;negative;0.0;0.0;neutral
klimaführerin;führerin;negative;negative;0.0;0.0;neutral
klimagangster;gangster;negative;negative;0.0;0.0;negative
klimagarde;garde;positive;positive;0.0;0.0;neutral
klimagau;gau;negative;negative;0.0;-0.1;negative
klimagefahr;gefahr;positive;negative;0.0;0.0;negative
klimagefasel;gefasel;positive;negative;0.0;-0.07352941176470588;negative
klimagerechtigkeit;gerechtigkeit;positive;positive;0.0;0.5;neutral
klimageschäft;geschäft;positive;positive;0.0;0.0;neutral
klimageschrei;geschrei;negative;negative;0.0;0.0;negative
klimagesinnung;gesinnung;neutral;negative;0.0;0.0;neutral
klimaglaube;glaube;negative;neutral;0.0;0.0;neutral
