original;concept
klimaaktivismus;action
klimaaktivistin;person
klimaalarmist;person
klimaapokalyptiker;person
klimaaufschrei;abstraction
klimabesoffenheit;abstraction
klimabewegtheit;abstraction
klimadonna;person
klimadramatik;abstraction
klimaflüsterer;person
klimaführerin;person
klimagarde;group
klimaglaubenslehre;abstraction
klimagöttin;person
klimaherausforderung;abstraction
klimahoax;abstraction
klimahysteriker;person
klimahüpfer;person
klimakaiserin;person
klimakamarilla;group
klimakatastrophentheorie;abstraction
klimakatechismus;abstraction
klimakollekte;abstraction
klimakolonialismus;abstraction
klimakonsortium;group
klimakreationismus;abstraction
klimaleidenschaftlichkeit;abstraction
klimaleugner;person
klimaleugnung;abstraction
klimalösegeld;abstraction
klimamahnwache;abstraction
klimamärchenonkel;person
klimanotstandsregierung;group
klimapanikmache;action
klimapropagandafilm;abstraction
klimapäpstin;person
klimarealist;person
klimaretterin;person
klimaschänder;person
klimaskeptikerin;person
klimaskeptizismus;abstraction
klimataliban;group
klimatraumatisierung;action
klimaverblödung;abstraction
klimaverdummung;abstraction
klimawarner;person
klimazunft;abstraction
klimaüberhitzung;abstraction
