glaubenslehre;glaubenslehre, glaubenslehren;f
verdummung;verdummung;f
notstandsregierung;notstandsregierung, notstandsregierungen;f
kasteiung;kasteiung, kasteiungen;f
bremser;bremser, bremsers, bremsern;m
besoffenheit;besoffenheit;f
verblödung;verblödung;f
alarmist;alarmist, alarmisten;m
hysteriker;hysteriker, hysterikers, hysterikern;m
donna;donna, donnas, donnen;f
aktivismus;aktivismus;m
gläubigkeit;gläubigkeit;f
abzockerei;abzockerei, abzockereien;f
bewegtheit;bewegtheit;f
orthodoxie;orthodoxie;f
gnom;gnom, gnoms, gnomen, gnome;m
virus;virus, viren;n
