,pattern,keyword,concept,origin
25,klimaaktivist,"Für uns ist klar : Das „ Kohleausstiegsgesetz "" ist ein Schlag ins Gesicht für alle : für Klimaaktivist * innen , für die Dorfbewohner * innen in den Abbauregionen und für alle Menschen , die an einer lebenswerten Zukunft interessiert sind .",person,P2022
73,klimaaktivist,Greta Thunberg nimmt an Bildungsstreik in Antwerpen teil Gemeinsam mit tausenden Schüler * innen und der belgischen Klimaaktivistin Anuna De Wever streikt Greta Thunberg in Antwerpen ( Belgien ) .,person,P2022
13,klimaaktivist,"Die Erfahrung , eine Klimaaktivistin zu sein , gibt mir eine andere Denkweise als die der Menschen um mich herum , ich kann mich nicht einfach zu anderen Menschen gesellen , ich fühle mich irgendwie isoliert .",person,P2022
90,klimaaktivist,"KlimaAktivist * innen in der ganzen EU fordern deshalb schon lange die EU auf , diesen Hebel zu nutzen , um Klimaschutz und Erhalt der Biodiversität in der Landwirtschaft voranzubringen .",person,P2022
70,klimaaktivist,"Außerdem sagt die Jury , dass dieses Wort die Klimadebatte in einen Krankheitsbereich schiebe und alle Klimaaktivist * innen abgestempelt werden , da die Klimadebatte auf wissenschaftlicher Basis beruht .",person,P2022
33,klimaaktivist,"So berichtet zum Beispiel Mitzi Jonelle Tan , Klimaaktivistin von den Philippinen : „ Eine lebendige und konstante Erinnerung aus meiner Kindheit sind Tage des Abendessen bei Kerzenschein , weil wir aufgrund von Taifunen keinen Strom hatten .",person,P2022
50,klimaaktivist,"Liebe FFFKämpfer , liebe Klimaaktivisten !",person,P2022
40,klimaaktivist,"Liebe Klimakommentatoren / innen , liebe KlimaAktivisten , ihr Außenstehenden habt immer wieder was an Greta auszusetzen : hier , weil sie mit einer Segelyacgt über den Teich ist ; wäre sie geflogen hätte es auch Negativgelavere gegeben ; sollte die etwa rüberschwimmen ?",person,P2022
41,klimaaktivist,"Liebe Klimaaktivisten , besten Dank an Euch und gut so es geht weiter .",person,P2022
78,klimaaktivist,""" Dabei schlägt den Klimaaktivistinnen am Anfang vor allem eines entgegen : Widerstand .",person,P2022
59,klimaaktivist,"Statt dessen nur Corona , … , die bösen Klimaaktivisten , … Wenn da nichts kommt , kann ich bei der nächsten Wahl niemand wählen .",person,P2022
62,klimaaktivist,Globale Blockaden von XR Eine Woche voller Proteste haben die Klimaaktivist * innen von Extinction Rebellion angekündigt .,person,P2022
5,klimaaktivist,"Vor Ort arbeiten wir eng mit weiteren KlimaAktivisten zusammen , aber es muss mehr passieren .",person,P2022
69,klimaaktivist,"Dies von Jemanden , der sich selbst wohl als Klimaaktivisten sieht , jedenfalls fürs ZDF an entlegene Orte reist , und dabei auch auf den Klimawandel hinweisen will , aber gleichzeitig in seiner Sendung die Grünen Baerbock und Habeck dermaßen aggressiv , geradezu inquisitorisch angreift , vor allen wegen deren Forderungen zur Klimapolitik , dass hinterher die Frankfurter Rundschau von einem einmaligen skandalösen Vorgang sprach und die sofortige Absetzung von Markus Lanz forderte !",person,P2022
34,klimaaktivist,""" „ Die Klimakrise ist schon da "" Deshalb hat Mitzi gemeinsam mit anderen Klimaaktivist * innen , die zu den am meisten durch die Klimakrise betroffenen Personen gehören , ein klares Statement veröffentlicht , welches ihr in voller Länge hier findet .",person,P2022
47,klimaaktivist,"Liebe KLIMAaktivist * innen , ich habe euch gestern mit meiner Familie unterstützt , und wir sind alle auf die Straße gegangen !",person,P2022
18,klimaaktivist,"Wir als Fridays For Future Deutschland sind eine überparteiliche Bewegung gleichgesinnter Klimaaktivist * innen und solidarisieren uns mit allen , die sich friedlich für unsere Forderungen einsetzen .",person,P2022
58,klimaaktivist,"Kritik und Vorwürfe von Klimaaktivist * en * innen wurden weitgehend überhört , ähnlich wie bei der Inbetriebnahme des Kraftwerks Datteln IV vor einigen Wochen .",person,P2022
42,klimaaktivist,""" Auch in dem pazifischen Inselstaat Vanuatu haben Klimaaktivist * innen ihren Protest aufgrund von Corona und dem Zyklon Harold von der Straße ins Digitale legen müssen und sind dabei kreativ geworden : Sie nahmen Videos auf und schickten diese an lokale Fernseh- und Radiosender mit der Bitte diese in Werbepausen zu spielen .",person,P2022
