original;pro_mods;con_mods
klimaabzockerei;;[]
klimaaktivismus;['weiß'];[]
klimaaktivist;['16jährig', 'weit', '24jährig', 'bekannt', 'aufregend', 'lieb', 'gleichgesinnt', 'chinesisch', 'indigen', 'deutsch', 'französisch', 'konstant', 'lieb', 'weiblich', 'lieb', 'lieb', 'bös', 'zahlreich', 'vieler', 'belgisch', 'schwedisch', 'lieb', 'angereist', 'sämtlicher', 'sozialverträglich', 'jung', 'jung'];['hyperaktiv', 'interpretiert', 'oft', 'falsch', 'bekannt', 'weltweit', 'militant', 'ideologisiert', 'außerdem', 'jung', 'unmöglich', 'vieler', 'motiviert', 'tatsächlich', 'mehr', 'ausgesprochen', 'schwedisch', 'bekannt', 'weltweit', 'ahnungslos', 'selbst', 'ausgewiesen', 'bekannt', 'linksradikal', 'oft', 'optimistisch', '16jährig', 'jung', 'aggressivst', 'wohl', 'bekannt', 'weltweit', 'leidend', 'bedrohlich', 'weniger', 'radikal', 'einst', 'führend', 'jung', 'schwedisch', 'schwedisch', 'fanatisch', 'lupenrein', 'gefeiert', 'hundertprozentig', 'lokal', 'trefflich']
klimaaktivistin;['16jährig', '24jährig', 'bekannt', 'chinesisch', 'deutsch', 'konstant', 'belgisch', 'schwedisch'];['schwedisch', 'optimistisch', '16jährig', 'jung', 'schwedisch', 'schwedisch', 'gefeiert']
klimaalarm;;['effektvoll', 'gescheitert', 'längst', 'teuflisch', 'ausgewiesen', 'warm', 'global', 'medial', 'aktuellhysterisch', 'weit', 'alle', 'böse', 'verselbstständigend', 'inzwischen', 'irreführend', 'nur', 'gefordert', 'neu', 'informiert', 'schlecht', 'wichtig', 'untergehend', 'westlich', 'mehr', 'neutral', 'kein', 'vorsorglich', 'falsch', 'oberer', 'potsdämlich', 'einiger', 'politisch', 'erfunden', 'unbewohnbar', 'fast', 'gefährlich', 'eingefleischt', 'fragwürdig', 'prominent', 'prominent', 'charmant', 'durchaus', 'nur', 'lieb', 'dann', 'nur', 'wieder', 'doch', 'nur']
klimaalarmist;;['effektvoll', 'gescheitert', 'längst', 'teuflisch', 'ausgewiesen', 'warm', 'global', 'alle', 'böse', 'irreführend', 'nur', 'informiert', 'schlecht', 'wichtig', 'westlich', 'mehr', 'neutral', 'oberer', 'potsdämlich', 'einiger', 'politisch', 'unbewohnbar', 'fast', 'gefährlich', 'eingefleischt', 'prominent', 'prominent', 'charmant', 'durchaus', 'nur', 'lieb', 'dann', 'nur']
klimaanbeter;;['lügend']
klimaapokalypse;;['bevorstehend', 'schlimm', 'angenommen']
klimaapokalyptiker;;[]
klimaapostel;;['selbsternannt', 'neu']
klimaargument;;[]
klimaarmageddon;;[]
klimaasyl;[];
klimaaufschrei;['toll'];
klimaaufstand;;[]
klimabankrott;;
klimabeeinflussung;;['anthropogen']
klimabefürworter;;['Pariser']
klimabesoffenheit;;[]
klimabesorgnis;;['hochgepeitscht', 'inzwischen']
klimabetrug;;['durchgepeitscht', 'fingiert', 'unmöglich', 'gefährlichst']
klimabetrüger;;[]
klimabewegtheit;;['angeblich']
