full;name;last_name;spellings
Tony Abbott;Tony;Abbott;
Frank Abels;Frank;Abels;
Marie-Luise Abshagen;Marie-Luise;Abshagen;
Patricia Adams;Patricia;Adams;Patrica Adams
Theodor Adorno;Theodor;Adorno;
Stuart Agnew;Stuart;Agnew;
Kai Ahlborn;Kai;Ahlborn;
William Alsup;William;Alsup;
Peter Altmeier;Peter;Altmeier;Altmaier
Marion Andert;Marion;Andert;
Andrea Andromidas;Andrea;Andromidas;
Volker Angres;Volker;Angres;
Frank Asbeck;Frank;Asbeck;Solarkönig Frank Asbeck
Christiane Averbeck;Christiane;Averbeck;
Isabelle Axelsson;Isabelle;Axelsson;
Hartmut Bachmann;Hartmut;Bachmann;
Annalena Baerbock;Annalena;Baerbock;Annalena Bockbär
Charlie Baker;Charlie;Baker;
Jim Ball;Jim;Ball;Reverent Jim Ball
Holger Bär;Holger;Bär;
Burning Barbara;Burning;Barbara;
Jordan Bardella;Jordan;Bardella;
Thomas Bareiß;Thomas;Bareiß;
Alan Barreca;Alan;Barreca;
Paul Barry;Paul;Barry;
Joe Bastardi;Joe;Bastardi;
Michael Bastasch;Michael;Bastasch;
Sarah Bauer;Sarah;Bauer;
Verena Bax;Verena;Bax;
Rainald Becker;Rainald;Becker;
Dirk Beckerhoff;Dirk;Beckerhoff;
Michael Behe;Michael;Behe;
Calvin Beisner;Calvin;Beisner;
Kai Bergmann;Kai;Bergmann;
Jorge Bergoglio;Jorge;Bergoglio;
David Bernhardt;David;Bernhardt;
Karl Bever;Karl;Bever;
Jeff Bezos;Jeff;Bezos;
Joe Biden;Joe;Biden;
Kurt Biedenkopf;Kurt;Biedenkopf;
Adelheid Biesecker;Adelheid;Biesecker;
Wiebke Binder;Wiebke;Binder;
Jakob Blasel;Jakob;Blasel;
Peder Blohm;Peder;Blohm;
Michael Bloomberg;Michael;Bloomberg;Mike Bloomberg
Evelyn Bodenmeier;Evelyn;Bodenmeier;
Axel Bojanowski;Axel;Bojanowski;
Jair Bolsonaro;Jair;Bolsonaro;
Stefan Boltzmann;Stefan;Boltzmann;
Leonard Borchert;Leonard;Borchert;Dr Leonard Borchert
Silvio Borner;Silvio;Borner;
Helmut Böttiger;Helmut;Böttiger;
Philipp Bovermann;Philipp;Bovermann;
Harald Bradtke;Harald;Bradtke;
Henryk M. Broder;Henryk M;Broder;
Sandro Brotz;Sandro;Brotz;
Pauline Brünger;Pauline;Brünger;
Achim Brunnengräber ;Achim;Brunnengräber;
Tom Buhrow;Tom;Buhrow;
Sterling Burnett;Sterling;Burnett;
Reinhard Bütikofer;Reinhard;Bütikofer;
Pete Buttigieg;Pete;Buttigieg;
