pattern,bert_pro,blob_pro,bert_con,blob_con,blob_diff,bert_diff
klimaaktivismus,neutral,neutral,negative,neutral,True,False
klimaaktivist,neutral,neutral,neutral,neutral,True,True
klimaaktivistin,positive,neutral,neutral,neutral,True,False
klimaasyl,neutral,neutral,,,False,False
klimaaufschrei,neutral,neutral,,,False,False
klimachaos,negative,neutral,neutral,neutral,True,False
klimadiplomatie,neutral,neutral,neutral,neutral,True,True
klimaernsthaftigkeit,neutral,neutral,,,False,False
klimafreund,neutral,neutral,neutral,neutral,True,True
klimafreundin,neutral,neutral,,,False,False
klimafreundlichkeit,neutral,neutral,,,False,False
klimagau,positive,neutral,neutral,neutral,True,False
klimagefahr,neutral,neutral,neutral,neutral,True,True
klimagerechtigkeit,positive,neutral,neutral,neutral,True,False
klimageschäft,neutral,neutral,neutral,neutral,True,True
klimagnom,negative,neutral,,,False,False
klimahysterie,neutral,neutral,neutral,neutral,True,True
klimahysteriker,neutral,neutral,positive,neutral,True,False
klimajünger,neutral,neutral,neutral,neutral,True,True
klimakabarett,negative,neutral,neutral,neutral,True,False
klimakanzler,neutral,neutral,,,False,False
klimakanzlerin,positive,neutral,positive,neutral,True,True
klimakolonialismus,negative,neutral,,,False,False
klimakommissar,neutral,neutral,,,False,False
klimakonsens,neutral,neutral,neutral,neutral,True,True
klimakonsortium,neutral,neutral,neutral,neutral,True,True
klimaleugner,neutral,neutral,positive,neutral,True,False
klimaleugnung,neutral,neutral,neutral,neutral,True,True
klimalüge,neutral,neutral,neutral,neutral,True,True
klimamacher,neutral,neutral,,,False,False
klimamahnwache,neutral,neutral,,,False,False
klimanationalismus,neutral,neutral,neutral,neutral,True,True
klimanotstandsregierung,neutral,neutral,,,False,False
klimapanik,neutral,neutral,positive,neutral,True,False
klimapäckchen,neutral,neutral,,,False,False
klimarealist,neutral,neutral,neutral,neutral,True,True
klimaretter,neutral,neutral,neutral,neutral,True,True
klimaretterin,neutral,neutral,negative,neutral,True,False
klimarettung,neutral,neutral,neutral,neutral,True,True
klimaschänder,neutral,neutral,,,False,False
klimaschändung,neutral,neutral,,,False,False
klimaskepsis,neutral,neutral,neutral,neutral,True,True
klimaskeptiker,neutral,neutral,neutral,neutral,True,True
klimaskeptizismus,neutral,neutral,neutral,neutral,True,True
klimastopp,negative,neutral,,,False,False
klimastreiter,neutral,neutral,,,False,False
klimaunfähigkeit,negative,neutral,,,False,False
klimaungerechtigkeit,neutral,neutral,,,False,False
klimaverbrechen,neutral,neutral,neutral,neutral,True,True
klimaverbrecher,positive,neutral,neutral,neutral,True,False
klimawahn,neutral,neutral,neutral,neutral,True,True
klimazerrüttung,neutral,neutral,,,False,False
klimazerstörer,neutral,neutral,negative,neutral,True,False
klimazerstörung,neutral,neutral,,,False,False
klimaabzockerei,,,neutral,neutral,False,False
klimaalarm,,,neutral,neutral,False,False
klimaalarmist,,,positive,neutral,False,False
klimaanbeter,,,negative,neutral,False,False
klimaapokalypse,,,neutral,neutral,False,False
klimaapokalyptiker,,,neutral,neutral,False,False
klimaapostel,,,positive,neutral,False,False
klimaargument,,,neutral,neutral,False,False
klimaarmageddon,,,neutral,neutral,False,False
klimaaufstand,,,neutral,neutral,False,False
klimabeeinflussung,,,positive,neutral,False,False
klimabefürworter,,,neutral,neutral,False,False
klimabesoffenheit,,,negative,neutral,False,False
klimabesorgnis,,,neutral,neutral,False,False
klimabetrug,,,neutral,neutral,False,False
klimabetrüger,,,neutral,neutral,False,False
klimabewegtheit,,,neutral,neutral,False,False
klimabibel,,,neutral,neutral,False,False
klimabigotterie,,,neutral,neutral,False,False
klimabluff,,,neutral,neutral,False,False
klimablödsinn,,,positive,neutral,False,False
klimabrandstifter,,,negative,neutral,False,False
klimabremser,,,negative,neutral,False,False
klimacrash,,,neutral,neutral,False,False
klimadampfer,,,neutral,neutral,False,False
klimademagoge,,,neutral,neutral,False,False
klimadepression,,,neutral,neutral,False,False
klimadialektik,,,neutral,neutral,False,False
klimadiktatur,,,neutral,neutral,False,False
klimadogma,,,neutral,neutral,False,False
klimadonna,,,neutral,neutral,False,False
klimadramatik,,,neutral,neutral,False,False
klimadürre,,,neutral,neutral,False,False
klimaelite,,,neutral,neutral,False,False
klimaerkrankung,,,neutral,neutral,False,False
klimaerzählung,,,neutral,neutral,False,False
klimaestablishment,,,neutral,neutral,False,False
klimaethik,,,neutral,neutral,False,False
klimaextremismus,,,negative,neutral,False,False
klimafachkraft,,,negative,neutral,False,False
klimafanatiker,,,neutral,neutral,False,False
klimafeind,,,neutral,neutral,False,False
klimafestung,,,neutral,neutral,False,False
klimafieber,,,neutral,neutral,False,False
klimafluch,,,neutral,neutral,False,False
klimaflüsterer,,,negative,neutral,False,False
klimafront,,,neutral,neutral,False,False
klimaführerin,,,neutral,neutral,False,False
klimagangster,,,neutral,neutral,False,False
klimagarde,,,neutral,neutral,False,False
klimagefasel,,,neutral,neutral,False,False
klimageschrei,,,neutral,neutral,False,False
klimagesinnung,,,neutral,neutral,False,False
klimaglaube,,,positive,neutral,False,False
klimaglaubensbekenntnis,,,neutral,neutral,False,False
klimaglaubenslehre,,,negative,neutral,False,False
klimagläubigkeit,,,neutral,neutral,False,False
klimagott,,,neutral,neutral,False,False
klimagunst,,,neutral,neutral,False,False
klimagöttin,,,neutral,neutral,False,False
klimahardliner,,,neutral,neutral,False,False
klimaherausforderung,,,neutral,neutral,False,False
klimahoax,,,neutral,neutral,False,False
klimahokuspokus,,,neutral,neutral,False,False
klimahose,,,negative,neutral,False,False
klimahybris,,,neutral,neutral,False,False
klimahype,,,neutral,neutral,False,False
klimahypothese,,,neutral,neutral,False,False
klimahölle,,,positive,neutral,False,False
klimahüpfer,,,neutral,neutral,False,False
klimaideologie,,,neutral,neutral,False,False
klimaikone,,,neutral,neutral,False,False
klimainsider,,,negative,neutral,False,False
klimaintelligenz,,,negative,neutral,False,False
klimairrsinn,,,positive,neutral,False,False
klimakaiserin,,,negative,neutral,False,False
klimakamarilla,,,neutral,neutral,False,False
klimakampf,,,neutral,neutral,False,False
klimakarawane,,,negative,neutral,False,False
klimakasteiung,,,neutral,neutral,False,False
klimakataklysmus,,,negative,neutral,False,False
klimakatastrophentheorie,,,neutral,neutral,False,False
klimakatechismus,,,neutral,neutral,False,False
klimaketzer,,,neutral,neutral,False,False
klimakirche,,,positive,neutral,False,False
klimaklamauk,,,neutral,neutral,False,False
klimaklempner,,,neutral,neutral,False,False
klimakleriker,,,neutral,neutral,False,False
klimakollekte,,,neutral,neutral,False,False
klimakompetenz,,,neutral,neutral,False,False
klimakonfusion,,,neutral,neutral,False,False
klimakonklave,,,negative,neutral,False,False
klimakontrolle,,,neutral,neutral,False,False
klimakontroverse,,,neutral,neutral,False,False
klimakreationismus,,,negative,neutral,False,False
klimakreuzzug,,,neutral,neutral,False,False
klimakrieg,,,neutral,neutral,False,False
klimakrieger,,,neutral,neutral,False,False
klimakritik,,,neutral,neutral,False,False
klimakritiker,,,neutral,neutral,False,False
klimakult,,,neutral,neutral,False,False
klimakäse,,,positive,neutral,False,False
klimakönigin,,,neutral,neutral,False,False
klimalaie,,,neutral,neutral,False,False
klimaleidenschaftlichkeit,,,neutral,neutral,False,False
klimalobby,,,neutral,neutral,False,False
klimalösegeld,,,neutral,neutral,False,False
klimalügner,,,neutral,neutral,False,False
klimamafia,,,neutral,neutral,False,False
klimamanipulation,,,neutral,neutral,False,False
klimamantra,,,neutral,neutral,False,False
klimamilliardär,,,negative,neutral,False,False
klimamisere,,,neutral,neutral,False,False
klimamonster,,,negative,neutral,False,False
klimamutti,,,neutral,neutral,False,False
klimamärchenonkel,,,neutral,neutral,False,False
klimanonsens,,,negative,neutral,False,False
klimanotfall,,,neutral,neutral,False,False
klimanotlage,,,neutral,neutral,False,False
klimaorthodoxie,,,negative,neutral,False,False
klimapanikmache,,,neutral,neutral,False,False
klimapapst,,,neutral,neutral,False,False
klimaparadies,,,neutral,neutral,False,False
klimapflicht,,,neutral,neutral,False,False
klimaplanwirtschaft,,,negative,neutral,False,False
klimapolemik,,,negative,neutral,False,False
klimapopulismus,,,negative,neutral,False,False
klimaprediger,,,neutral,neutral,False,False
klimapresse,,,neutral,neutral,False,False
klimaprofessor,,,neutral,neutral,False,False
klimaprofiteur,,,neutral,neutral,False,False
klimapropaganda,,,neutral,neutral,False,False
klimapropagandafilm,,,neutral,neutral,False,False
klimapropagandist,,,positive,neutral,False,False
klimaprotestler,,,neutral,neutral,False,False
klimapseudowissenschaft,,,neutral,neutral,False,False
klimapäpstin,,,negative,neutral,False,False
klimaquatsch,,,neutral,neutral,False,False
klimarealismus,,,neutral,neutral,False,False
klimareligion,,,positive,neutral,False,False
klimascharade,,,neutral,neutral,False,False
klimaschiff,,,neutral,neutral,False,False
klimaschmerz,,,neutral,neutral,False,False
klimaschrecken,,,neutral,neutral,False,False
klimaschuld,,,neutral,neutral,False,False
klimaschwachsinn,,,negative,neutral,False,False
klimaschwindel,,,positive,neutral,False,False
klimaschwindler,,,neutral,neutral,False,False
klimasekte,,,neutral,neutral,False,False
klimasektierer,,,neutral,neutral,False,False
klimashow,,,neutral,neutral,False,False
klimaskeptikerin,,,neutral,neutral,False,False
klimasozialismus,,,neutral,neutral,False,False
klimaspinner,,,neutral,neutral,False,False
klimastaat,,,neutral,neutral,False,False
klimastreit,,,neutral,neutral,False,False
klimataliban,,,negative,neutral,False,False
klimateppich,,,negative,neutral,False,False
klimateufel,,,neutral,neutral,False,False
klimatheater,,,neutral,neutral,False,False
klimatheologie,,,neutral,neutral,False,False
klimatod,,,neutral,neutral,False,False
klimatrash,,,neutral,neutral,False,False
klimatraumatisierung,,,neutral,neutral,False,False
klimatrip,,,neutral,neutral,False,False
klimatyrannei,,,neutral,neutral,False,False
klimaunfug,,,negative,neutral,False,False
klimaunsinn,,,neutral,neutral,False,False
klimauntergang,,,neutral,neutral,False,False
klimavatikan,,,neutral,neutral,False,False
klimaverblödung,,,negative,neutral,False,False
klimaverdummung,,,neutral,neutral,False,False
klimaverleugnung,,,negative,neutral,False,False
klimavernunft,,,neutral,neutral,False,False
klimaverrücktheit,,,neutral,neutral,False,False
klimaverstand,,,negative,neutral,False,False
klimaverteidigung,,,negative,neutral,False,False
klimaverweigerung,,,neutral,neutral,False,False
klimaverwirrung,,,neutral,neutral,False,False
klimavirus,,,neutral,neutral,False,False
klimawahnsinn,,,positive,neutral,False,False
klimawandler,,,neutral,neutral,False,False
klimawarner,,,neutral,neutral,False,False
klimaweltuntergang,,,neutral,neutral,False,False
klimawendehals,,,negative,neutral,False,False
klimawirklichkeit,,,neutral,neutral,False,False
klimazar,,,neutral,neutral,False,False
klimazeugs,,,neutral,neutral,False,False
klimazipfel,,,neutral,neutral,False,False
klimazirkus,,,neutral,neutral,False,False
klimazunft,,,neutral,neutral,False,False
klimazwang,,,neutral,neutral,False,False
klimaüberhitzung,,,neutral,neutral,False,False
