;concept;origin;pattern;keyword;annotation
514;person;C2022;klimabrandstifter;„ Wenn Sie einem Klimabrandstifter vier weitere Jahre im Weißen Haus geben , warum sollte sich dann jemand wundern , wenn mehr von Amerika in Flammen steht ?;None
571;person;C2022;klimafachkraft;"Doch eine Klimafachkraft mit der Ausbildung Kauffrau kann dieses simulierte Restrisiko welches ihr wohl von einer „ KlimaSimulationsfachkraft "" berichtet wurde für Bayerns Bürger selbstverständlich nicht eingehen : Bayerischer Landtag .";None
672;person;C2022;klimagott;"Mit EMobil werden wir nichts ( in Worten : NICHTS ) ändern … Meine besten Grüße ( Herdentier ) hinter her.Es ist nur eine logische Folge.Da alle , die nicht den Klimagott huldigen , heute schon als Faschist , Volksfeind oder schlimmeres bezeichnet werden können , werden wohl wieder „ KZ "" eingerichtet werden müssen , wenn die GRÜNEN FASCHISTEN ihre Macht in Gefahr sehen .";Exernal
674;person;C2022;klimagott;verbiegen , um dem Klimagott zu huldigen .;Exernal
676;person;C2022;klimagöttin;"Politiker die sie regieren und der neuen „ Klimagöttin Greta "" der sie nachlaufen ! ! ! ! ! ! ! !";Exernal
677;person;C2022;klimahardliner;Wenn man die Geschichten der Klimahardliner hört , könnte man fast auf den Gedanken kommen , vor hätten allerorten klimatisch himmlische Zustände geherrscht , die der Mensch dann mutwillig zerstört habe .;Exernal
808;person;C2022;klimahysteriker;Für mich ist ein solches politisch motiviertes Vorgehen der Klimahysteriker entgegen des wissenschaftlichen Kodex .;Exernal
809;person;C2022;klimahysteriker;"Selbst unsere Klimahysteriker , falls es ihnen wirklich um CO2Vermeidung geht , wären befriedigt ; - ) Ihre Theorie , dass die Kernforschung und der Bau von Kernkraftwerken nur betrieben wurde , um , wie Sie es ausdrücken , „ den Klimanotstand herbeizulügen "" , ist schon sehr weit hergeholt .";Exernal
810;person;C2022;klimahysteriker;Wenn man so manche Überlegungen von ernstmeinenden Klimahysterikern folgt , muss man schockiert feststellen : So abwegig ist dieser Gedanke für manche Menschen nicht .;Exernal
811;person;C2022;klimahysteriker;"Er ist zur „ Wissenschaftlerfraktion "" der Klimahysteriker gewechselt .";Exernal
812;person;C2022;klimahysteriker;Wenn sich die Klimahysteriker mit ihren KatastrophenPrognosen völlig irren , dann geben sie ihren Irrtum nicht öffentlich zu , sondern sie ändern still und heimlich ihre falschen Behauptungen .;Exernal
813;person;C2022;klimahysteriker;Ich bin nun wahrlich kein Linker , kein Klimahysteriker und kein Ideologe , aber der Sohn eines Bauern schon und darum ist mir vielleicht stärker bewusst das wir übervölkert sind .;Exernal
814;person;C2022;klimahysteriker;Und so empfindet dies auch die Vegetation , also der Wald in der freien Fläche außerhalb der urbanen Ansiedlungen . so ist es . bedenkt man , dass der El Nino / noch etwas stärker war , als , so zeigt es das ganz Elend der Klimahysteriker .;Exernal
815;person;C2022;klimahysteriker;An alle Klimahysteriker : Alles läuft nach Plan , wir dürfen alle weiterleben , ausser Ihr entzieht den Menschen ihre wirklichen Lebensgrundlagen , indem Ihr ihnen Ihre dringend benötigten Energiequellen wegnehmt .;Exernal
816;person;C2022;klimahysteriker;"Wenn man so einfach wie ein Herr Schellnhuber denken würde , müsste man eigentlich folgenden Schluß ziehen : war ein sehr warmes Jahr , gab es sehr wenige Unwetterschäden , folglich je wärmer , desto weniger Unwetter ; - ) Als normal / nicht ideologisch denkender Mensch kann man ganz einfach folgenden Schluß ziehen , und das wurde auf EIKE oft genug betont : die Anzahl und Schwere der Unwetter sind absolut unbeeinflußt von der Durchschnittstemperatur auf diesem Planeten und noch weniger von den Vorhersagen der Klimahysteriker .";Exernal
818;person;C2022;klimahysteriker;"Einer der gängigsten Vorwürfe der Klimahysteriker gegenüber den Skeptikern , die häufig als „ Leugner "" diffamiert werden , läuft darauf hinaus , diese würden „ von der Lobby der Industrie der fossilen Brennstoffe mit Milliarden finanziert "" .";Exernal
819;person;C2022;klimahysteriker;She . hierzu auch : Oder anders gesagt : schaltet allen Klimahysterikern den Strom und die Heizung ab , nehmt ihnen die Autos weg und verbietet ihnen Flugreisen ( das als allererstes ) .;Exernal
820;person;C2022;klimahysteriker;Josef Kowatsch , Stefan Kämpfe Die Klimahysteriker behaupten , dass der angeblich fürchterliche Klimawandel nahezu ausschließlich menschengemacht wäre .;Exernal
821;person;C2022;klimahysteriker;Glücklicherweise sind die Methoden der Klimahysteriker und MerkelVasallen sattsam aus dem finsteren Teil der deutschen Vergangenheit bekannt und können daher gut vorhergesagt werden .;Exernal
822;person;C2022;klimahysteriker;"Ein Kasseler Professor für Umweltsystemanalyse und -Psychologie , man könnte auch sagen : ein beamteter Klimahysteriker , findet die Transformationsideen seiner Potsdamer Mitstreiter „ elegant "" .";Exernal
823;person;C2022;klimahysteriker;Frage an die Klimahysteriker : hat er eine dieselbetriebene Schneefräse dabei gehabt ?;Exernal
825;person;C2022;klimahysteriker;"To . / p.a . als „ EISPulver "" ) - das erzeugt „ erwiesenermassen "" ( / 11FlugVerbote ) mind . ein „ EINKarätiges "" TemperaturDelta „ auf Erden "" Den Klimahysterikern sei gesagt : So wie ich gelesen habe , soll das zweitwärmste Jahr gewesen sein .";Exernal
