full;name;last_name
Achim Brunnengräber ;Achim;Brunnengräber
Achim Fahnenschild;Achim;Fahnenschild
Alan Barreca;Alan;Barreca
Anders Levermann;Anders;Levermann
Andreas Lieb;Andras;Lieb
Andreas Mihm;Andreas;Andreas Mihm
Andreas Reigbert;Andreas;Andreas Reigbert
Andy Singer;Andy;Andy Singer
Angela Merkel;Angela;Angela Merkel
Anna-Christine Sander;Anna-Christine;Anna-Christine Sander
Annalena Baerbock;Annalena;Annalena Baerbock
Anne Hübner;Anne;Anne Hübner
Annika Joeres;Annika;Annika Joeres
Anthony Watts;Anthony;Anthony Watts
Armin Laschet;Armin;Armin Laschet
Axel Robert Göhring ;Axel Robert;Axel Robert Göhring 
Barack Obama;Barack;Barack Obama
Barbara Hendricks;Barbara;Barbara Hendricks
Benedikt Härlin;Benedikt;Benedikt Härlin
Bernd Fleischmann;Bernd;Bernd Fleischmann
Bill McKibben;Bill;Bill McKibben
Brian Schmidt;Brian;Brian Schmidt
Burning Barbara;Burning;Burning Barbara
Carl Friedrich Gethmann;Carl Friedrich;Carl Friedrich Gethmann
Carolin Kebekus;Carolin;Carolin Kebekus
Charles Rotter;Charles;Charles Rotter
Christian Gaebler;Christian;Christian Gaebler
Christian Schlüchter;Christian;Christian Schlüchter
Christian Schönwiese;Christian;Christian Schönwiese
Christian Stöcker;Christian;Christian Stöcker
Christine Markgraf;Christine;Markgraf
Christoph Schmidt;Christoph;Schmidt
Christopher Grau;Christopher;Grau
Dalila Nouame;Dalila;Nouame
Daniel Wetzel;Daniel;Wetzel
David Wojick;David;Wojick
Disha Ravi;Disha;Ravi
Dörte Schnitzer;Dörte;Schnitzer
Eric Schneiderman;Eric;Schneiderman
Erik Kessels;Erik;Kessels
Erik Swenson;Erik;Swenson
Erna Solberg;Erna;Solberg
Ferhat Unvar;Ferhat;Unvar
Françoise Vergès;Françoise;Vergès
Frank Lagunas;Frank;Lagunas
Frank-Ulrich Montgomery;Frank-Ulrich;Montgomery
Frans Timmermanns;Frans;Timmermanns
Franz Schütz;Franz;Schütz
Fredrik Ljungqvist;Fredrik;Ljungqvist
Friedrich Schmidt-Bleek;Friedrich;Schmidt-Bleek
Gavin Schmidt;Gavin;Schmidt
Gerald Pesch;Gerald;Pesch
Gerd Michelsen;Gerd;Michelsen
Gerhard Gerlich;Gerhard;Gerlich
Gerhard Kramm;Gerhard;Kramm
Greta Thunberg;Greta;Thunberg
Hans Joachim Schellnhuber;Hans Joachim;Schellnhuber
Harald Kunstmann;Harald;Kunstmann
Harry Pettit;Harry;Pettit
Heinz Horeis;Heinz;Horeis
Helena Marschall;Helena;Marschall
Henriette Reker;Henriette;Reker
Henry Kissinger;Henry;Kissinger
Henryk M Broder;Henryk M;Broder
Horst-Joachim Lüdecke;Horst-Joachim;Lüdecke
Ines Gütt;Ines;Gütt
Izabella Nilsson Jarvandi;Izabella;Nilsson Jarvandi
Jair Bolsonaro;Jair;Bolsonaro
James Delingpole;James;Delingpole
Jan Veizer;Jan;Veizer
Jane Fonda;Jane;Fonda
Janusz Wojciechowski;Janusz;Wojciechowski
Jennifer Rezny;Jennifer;Rezny
Jeremy Grantham;Jeremy;Grantham
Joachim Gauck;Joachim;Gauck
Johannes Krüger;Johannes;Krüger
John Christy;John;Christy
John Houghton;John;Houghton
John Kerry;John;Kerry
Jonas Duhme;Jonas;Duhme
Jörg Kachelmann;Jörg;Kachelmann
Joschua Elbing;Joschua;Elbing
Jürgen Rüttgers;Jürgen;Rüttgers
Jürgen Trittin;Jürgen;Trittin
Kai Ahlborn;Kai;Ahlborn
Karsten Hilse;Karsten;Hilse
