original,second_part,noun_forms,lemma,genus,compound_forms
klimaabzockerei,abzockerei,"['abzockerei', 'abzockereien']",abzockerei,f,"['klimaabzockerei', 'klimaabzockereien']"
klimaaktivismus,aktivismus,['aktivismus'],aktivismus,m,['klimaaktivismus']
klimaaktivist,aktivist,"['aktivisten', 'aktivist']",aktivist,m,"['klimaaktivisten', 'klimaaktivist']"
klimaaktivistin,aktivistin,"['aktivistinnen', 'aktivistin']",aktivistin,f,"['klimaaktivistinnen', 'klimaaktivistin']"
klimaalarm,alarm,"['alarms', 'alarm', 'alarmen', 'alarme', 'alarmes']",alarm,m,"['klimaalarms', 'klimaalarm', 'klimaalarmen', 'klimaalarme', 'klimaalarmes']"
klimaalarmist,alarmist,"['alarmist', 'alarmisten']",alarmist,m,"['klimaalarmist', 'klimaalarmisten']"
klimaanbeter,anbeter,"['anbeters', 'anbeter', 'anbetern']",anbeter,m,"['klimaanbeters', 'klimaanbeter', 'klimaanbetern']"
klimaapokalypse,apokalypse,"['apokalypse', 'apokalypsen']",apokalypse,f,"['klimaapokalypse', 'klimaapokalypsen']"
klimaapokalyptiker,apokalyptiker,"['apokalyptiker', 'apokalyptikern', 'apokalyptikers']",apokalyptiker,m,"['klimaapokalyptiker', 'klimaapokalyptikern', 'klimaapokalyptikers']"
klimaapostel,apostel,"['aposteln', 'apostels', 'apostel']",apostel,m,"['klimaaposteln', 'klimaapostels', 'klimaapostel']"
klimaargument,argument,"['argumenten', 'argument', 'arguments', 'argumentes', 'argumente']",argument,n,"['klimaargumenten', 'klimaargument', 'klimaarguments', 'klimaargumentes', 'klimaargumente']"
klimaarmageddon,armageddon,"['armageddons', 'armageddon']",armageddon,n,"['klimaarmageddons', 'klimaarmageddon']"
klimaasyl,asyl,"['asylen', 'asyle', 'asyl', 'asyls']",asyl,n,"['klimaasylen', 'klimaasyle', 'klimaasyl', 'klimaasyls']"
klimaaufschrei,aufschrei,"['aufschreie', 'aufschreies', 'aufschreis', 'aufschreien', 'aufschrei']",aufschrei,m,"['klimaaufschreie', 'klimaaufschreies', 'klimaaufschreis', 'klimaaufschreien', 'klimaaufschrei']"
klimaaufstand,aufstand,"['aufstand', 'aufstandes', 'aufstande', 'aufstands', 'aufständen', 'aufstände']",aufstand,m,"['klimaaufstand', 'klimaaufstandes', 'klimaaufstande', 'klimaaufstands', 'klimaaufständen', 'klimaaufstände']"
klimabankrott,bankrott,"['bankrotte', 'bankrottes', 'bankrotten', 'bankrotts', 'bankrott']",bankrott,m,"['klimabankrotte', 'klimabankrottes', 'klimabankrotten', 'klimabankrotts', 'klimabankrott']"
klimabeeinflussung,beeinflussung,"['beeinflussung', 'beeinflussungen']",beeinflussung,f,"['klimabeeinflussung', 'klimabeeinflussungen']"
klimabefürworter,befürworter,"['befürwortern', 'befürworter', 'befürworters']",befürworter,m,"['klimabefürwortern', 'klimabefürworter', 'klimabefürworters']"
klimabesoffenheit,besoffenheit,['besoffenheit'],besoffenheit,f,['klimabesoffenheit']
klimabesorgnis,besorgnis,"['besorgnis', 'besorgnissen', 'besorgnisse']",besorgnis,f,"['klimabesorgnis', 'klimabesorgnissen', 'klimabesorgnisse']"
klimabetrug,betrug,"['betrüge', 'betruge', 'betrugs', 'betrug', 'betruges', 'betrügen']",betrug,m,"['klimabetrüge', 'klimabetruge', 'klimabetrugs', 'klimabetrug', 'klimabetruges', 'klimabetrügen']"
klimabetrüger,betrüger,"['betrügern', 'betrüger', 'betrügers']",betrüger,m,"['klimabetrügern', 'klimabetrüger', 'klimabetrügers']"
klimabewegtheit,bewegtheit,['bewegtheit'],bewegtheit,f,['klimabewegtheit']
klimabibel,bibel,"['bibeln', 'bibel']",bibel,f,"['klimabibeln', 'klimabibel']"
klimabigotterie,bigotterie,"['bigotterie', 'bigotterien']",bigotterie,f,"['klimabigotterie', 'klimabigotterien']"
klimabluff,bluff,"['bluff', 'bluffs']",bluff,m,"['klimabluff', 'klimabluffs']"
