organisation;spellings
ABC;
Academia Brasiliera de Ciencias;
Academia Mexicana de Ciencias;
Academie des Sciences;
Accademia dei Lincei;
Accenture;
ACHGUT;
Achgut.com;
AdaniKohlemine;
AFD;Afd, afd, AfD, AfD Fraktion, AfD Fraktionen, AfDFraktion
AGU;
AGW;
Airbus;
Akademia;
Aldi;
AlfredWegener Instituts;
Allianz;Allianz SE
AllroundWissenschaftler;
Amazon Corporation;Amazon
American Association for the Advancement of Science - American Astronomical Society;
American Electric Power;
American Institute of Physics - American Meteorological Society;
American Meteorological Society;
American Physical Society;
AMG;
Amnesty International;
AMNH;
AMO;
AntiAKWBewegung;
Antifa;
Antirassitische Gruppe;
ARD;
ARG;
ARTE;
Arte;
Australian Bureau of Meteorology;
Australian Meteorological and Oceanographic Society;
Australien University;
Automotive News Europe;
AWG;
AWI;
Die Grünen;"B90, Den Grünen, Grüne, Grünen, DIE Grünen, die Grünen,
DIE GRÜNEN, GRÜNE, Grüne, grüne Partei, Grünen Bewegung Deutschland, Partei Bündnis90, Partei der Grünen"
BAP;
Bayer Solar GmbH;
Bayerische Rundfunk;
Bayerischen Landtag;
Bayerisches Landesamt für Umwelt;
Bayerisches Staatsministerium für Umwelt und Verbraucherschutz;
BBC;
BDA;
BDI;
BDK;
BdW;
BedfordStrohm;
belgische Universität Mons;
Belt and Road Initiative;
Berkeley Muller;
Berlin Germanwatch e.V;
Berliner Tagesspiegel;
Berliner Tageszeitung;
Berliner Zeitung;
BfE;
Big Finance;
BigÖl;
BILD;
Bing;
Blaue Narzisse;
Bloomberg Stiftung;
BMW;
BNE;
BoD Verlag Norderstedt;
Boston Herald;
BP;
BR;
britischen Akademie der Wissenschaften;
British Empire;
BSP;
BSW Warburg;
BUK;
BUKO;
BUND;
Bund für Umwelt und Naturschutz;Bund für Umwelt und Naturschutz Deutschland e.V, Bund für Umwelt und Naturschutz Deutschland e.V., Bund für Umwelt und Naturschutz Deutschland
Bundesamt für Energie;
Bundesamt für Gesundheit;
Bundesanstalt für Geowissenschaften und Rohstoffe;
Bundesarbeitsgemeinschaft Kirche;
Bundesbahn;
Bundesgesundheitsamts Berlin;
Bundesinneminsterium;
Bundeskabinett;
Bundeskanzleramt;
Bundesministerium für Familie Senioren;
Bundesministerium für Umwelt Naturschutz;
Bundesministerium für Wirtschaft und Energie;
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung warum wir soviel Geld;
Bundesnetzagentur;
Bundestag;
Bundestag.de;
Bundesumweltministeriums;
Bundesverbandes Neue Energiewirtschaft;
BUNDjugend;BUNDjugend Bundesverband
Bündnis Verkehrswende Köln;
Bureau of Meteorology;
Bürgerenergiegesellschaft;
BVKS;Bundesverband Klimaschutz
BYD;
CAG;
Canadian Broadcast Corporation;
Caritas;
Cato Institut;Cato Institute
CBC;
CCCA;
CDU;
Center for Energy and Environment;
CESM;
Chevron;
Chinese Academy of Sciences;chinesischen Akademie der Wissenschaften
ChristianAlbrechtsUniversität;
Christians for Future;
Church of Global Warming;
CIA;
CKS;
Clean Energy Council;
Climate and Gender Justice;
Climate Bonds Initiative;
Climate Bonds Initiative und Climate Policy Initiative;
Climate Change Deniers and Advocacy;
Climate Literacy and Energy Awareness Network;
Climate Media Factory;
Climate Policy Initiative;
ClimateAtAGlance.com;
ClimateRealism.com;
Club of Rom;
CNN;
Columbia University Earth Institute;
Commerzbank;
Competitive Enterprise Institute;
ConocoPhillips;
Context Verlag;
Cornwall Alliance;
CRU;
CSIR;
CSU;
CTDs;
