original,second_part,noun_forms,lemma,genus,compound_forms
klimaabzockerei,abzockerei,"['abzockerei', 'abzockereien']",abzockerei,f,"['klimaabzockerei', 'klimaabzockereien']"
klimaaktivismus,aktivismus,['aktivismus'],aktivismus,m,['klimaaktivismus']
klimaaktivist,aktivist,"['aktivisten', 'aktivist']",aktivist,m,"['klimaaktivisten', 'klimaaktivist']"
klimaaktivistin,aktivistin,"['aktivistinnen', 'aktivistin']",aktivistin,f,"['klimaaktivistinnen', 'klimaaktivistin']"
klimaalarm,alarm,"['alarms', 'alarmes', 'alarme', 'alarm', 'alarmen']",alarm,m,"['klimaalarms', 'klimaalarmes', 'klimaalarme', 'klimaalarm', 'klimaalarmen']"
klimaalarmist,alarmist,"['alarmist', 'alarmisten']",alarmist,m,"['klimaalarmist', 'klimaalarmisten']"
klimaanbeter,anbeter,"['anbeters', 'anbetern', 'anbeter']",anbeter,m,"['klimaanbeters', 'klimaanbetern', 'klimaanbeter']"
klimaapokalypse,apokalypse,"['apokalypse', 'apokalypsen']",apokalypse,f,"['klimaapokalypse', 'klimaapokalypsen']"
klimaapokalyptiker,apokalyptiker,"['apokalyptikers', 'apokalyptikern', 'apokalyptiker']",apokalyptiker,m,"['klimaapokalyptikers', 'klimaapokalyptikern', 'klimaapokalyptiker']"
klimaapostel,apostel,"['apostel', 'apostels', 'aposteln']",apostel,m,"['klimaapostel', 'klimaapostels', 'klimaaposteln']"
klimaargument,argument,"['argumenten', 'arguments', 'argument', 'argumente', 'argumentes']",argument,n,"['klimaargumenten', 'klimaarguments', 'klimaargument', 'klimaargumente', 'klimaargumentes']"
klimaarmageddon,armageddon,"['armageddon', 'armageddons']",armageddon,n,"['klimaarmageddon', 'klimaarmageddons']"
klimaasyl,asyl,"['asyle', 'asyl', 'asylen', 'asyls']",asyl,n,"['klimaasyle', 'klimaasyl', 'klimaasylen', 'klimaasyls']"
klimaaufschrei,aufschrei,"['aufschrei', 'aufschreien', 'aufschreie', 'aufschreies', 'aufschreis']",aufschrei,m,"['klimaaufschrei', 'klimaaufschreien', 'klimaaufschreie', 'klimaaufschreies', 'klimaaufschreis']"
klimaaufstand,aufstand,"['aufstandes', 'aufstände', 'aufständen', 'aufstand', 'aufstands', 'aufstande']",aufstand,m,"['klimaaufstandes', 'klimaaufstände', 'klimaaufständen', 'klimaaufstand', 'klimaaufstands', 'klimaaufstande']"
klimabankrott,bankrott,"['bankrottes', 'bankrotten', 'bankrotte', 'bankrott', 'bankrotts']",bankrott,m,"['klimabankrottes', 'klimabankrotten', 'klimabankrotte', 'klimabankrott', 'klimabankrotts']"
klimabeeinflussung,beeinflussung,"['beeinflussungen', 'beeinflussung']",beeinflussung,f,"['klimabeeinflussungen', 'klimabeeinflussung']"
klimabefürworter,befürworter,"['befürwortern', 'befürworters', 'befürworter']",befürworter,m,"['klimabefürwortern', 'klimabefürworters', 'klimabefürworter']"
klimabesoffenheit,besoffenheit,['besoffenheit'],besoffenheit,f,['klimabesoffenheit']
klimabesorgnis,besorgnis,"['besorgnissen', 'besorgnisse', 'besorgnis']",besorgnis,f,"['klimabesorgnissen', 'klimabesorgnisse', 'klimabesorgnis']"
klimabetrug,betrug,"['betrugs', 'betrügen', 'betrug', 'betrüge', 'betruge', 'betruges']",betrug,m,"['klimabetrugs', 'klimabetrügen', 'klimabetrug', 'klimabetrüge', 'klimabetruge', 'klimabetruges']"
klimabetrüger,betrüger,"['betrügers', 'betrüger', 'betrügern']",betrüger,m,"['klimabetrügers', 'klimabetrüger', 'klimabetrügern']"
klimabewegtheit,bewegtheit,['bewegtheit'],bewegtheit,f,['klimabewegtheit']
klimabibel,bibel,"['bibel', 'bibeln']",bibel,f,"['klimabibel', 'klimabibeln']"
klimabigotterie,bigotterie,"['bigotterie', 'bigotterien']",bigotterie,f,"['klimabigotterie', 'klimabigotterien']"
klimabluff,bluff,"['bluff', 'bluffs']",bluff,m,"['klimabluff', 'klimabluffs']"
