original,second_part,noun_forms,lemma,genus,compound_forms,PERS_pro,ORG_pro,PERS_con,ORG_con,pro_mods,con_mods,bert,blob,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,bert_related,blob_related,manual_sentiment,pro_attr,con_attr,pro_sarcasm,con_sarcasm,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_colls,con_colls,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_updated,con_updated,tfidf_pro,tfidf_con
klimaabzockerei,abzockerei,"['abzockerei', 'abzockereien']",abzockerei,f,"['klimaabzockerei', 'klimaabzockereien']",,,['Werner Kirstein'],[],,[],negative,0.0,"['Abzocke', 'Beutelschneiderei', 'Geldschneiderei', 'Abzockerei', 'Profitmacherei', 'Wucher', 'Geldmacherei']","['Zinssatz', 'Zinsfuß']","['Zinssatz', 'Zinsfuß']","['robbery', 'stealing', 'thieving', 'theft', 'larceny', 'thievery', 'felony', 'criminal offence', 'law-breaking', 'criminal offense', 'crime', 'offence', 'offense', 'transgression', 'evildoing', 'wrongdoing', 'misconduct', 'wrongful conduct', 'actus reus', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,['der Akt des Stehlens'],[],[],abzockerei,abzockerei,abzockere,abzockerei,,,,,,[],negative,0.0,negative,,,,0.0,0,1,,0.0,,,0,1,,0.0,,1,,0.0
klimaaktivismus,aktivismus,['aktivismus'],aktivismus,m,['klimaaktivismus'],"['Ken Jebsen', 'Wolf Dieter Storl']","['GLS Bank', 'BUNDjugend']",['Greta Thunberg'],[],['weiß'],[],positive,0.0,[],[],[],,action,[],[],[],aktivismu,aktivismu,aktivism,aktivismus,,,,,"['aktivismus', 'aktivist']","['aktivismus', 'aktivist']",positive,0.0,neutral,,,0.0,0.0,3,1,0.0159028307170063,0.0,,,3,1,0.0159028307170063,0.0,3,1,0.0159028307170063,0.0
klimaaktivist,aktivist,"['aktivisten', 'aktivist']",aktivist,m,"['klimaaktivisten', 'klimaaktivist']","['Gesa Kaemena', 'Merlin Hankel', 'Jair Bolsonaro', 'Donald Trump', 'Horst Seehofer', 'Mitzi Jonelle Tan', 'Anthony Costello', 'Sanna Marin', 'Greta Thunberg', 'Greta Thunberg', 'Vanessa Nakate', 'Dieter Nuhr', 'Hans Joachim Schellnhuber', 'Ottmar Edenhofer', 'Mojib Latif', 'Volker Quaschning', 'Friedrich Merz', 'Greta Thunberg', 'Angela Merkel', 'Ursula von der Leyen', 'Greta Thunberg', 'Jane Fonda', 'Greta Thunberg', 'Markus Lanz', 'Klaus Kleber', 'Reiner Priggen', 'Armin Laschet', 'Armin Laschet', 'Tom Buhrow', 'Greta Thunberg', 'Armin Laschet', 'Henriette Reker', 'Angela Merkel', 'Donald Trump', 'Greta Thunberg', 'Vanessa Nakate', 'Donald Trump', 'Greta Thunberg', 'Greta Thunberg', 'Carla Reenstma', 'Maybritt Illner', 'Peter Altmeier', 'Greta Thunberg', 'Yannick Passeick']","['NABU', 'RWE', 'Grandparents for Future', 'Christians for Future', 'Teachers for Future', 'Parents for Future', 'FFF', 'FFF', 'RWE', 'EU', 'FFF', 'SWR', 'CSU', 'FFF', 'BILD', 'Bundestag', 'University College London', 'Fortum', 'GradZiel', 'Uniper', 'RWE', 'Frühverheiratung', 'FFF', 'Spektrum.de', 'FFF', 'IPCC', 'Scientists For Future', 'SPD', 'WBGU', 'HP', 'ZDF', 'PIK', 'UBA', 'Milliardenhöhe', 'National Oceanic and Atmospheric Administration', 'Bundestag', 'FFF', 'XR', 'FFF', 'UN', 'FFF', 'heutejournal', 'Frankfurter Rundschau', 'ZDF', 'Die Grünen', 'SPD', 'CDU', 'Landesverbands Erneuerbare Energien', 'AFD', 'Landtag', 'FFF', 'Springerpresse', 'AFD', 'WDR', 'UN', 'NDR', 'FFF', 'FFF', 'Folgedemos', 'WEF', 'FFF', 'WEF', 'FFF', 'CDU', 'Die Grünen', 'ZDF', 'Commerzbank', 'FrackingIndustrie', 'Fridays for Hubraum', 'EIKE', 'AFD', 'Naturfreunde']","['Horst-Joachim Lüdecke', 'Karl Popper', 'Greta Thunberg', 'Bill McKibben', 'Barbara Hendricks', 'Claudia Kemfert', 'Greta Thunberg', 'Robert Habeck', 'Maurice Strong', 'Carl Friedrich Gethmann', 'Tom Steyer', 'Patrick Michaels', 'Roger Pielke Jr', 'Donald Trump', 'James Hansen', 'Stephen McIntyre', 'Greta Thunberg', 'Bill McKibben', 'Marc Morano', 'Joe Romm', 'Kevin Trenberth', 'John Cook', 'Naomi Oreskes', 'Barack Obama', 'Naomi Seibt', 'Bill McKibben', 'Anthony Watts', 'Theresa May', 'Bill McKibben', 'Bill McKibben', 'Patricia Adams', 'Greta Thunberg', 'Michael Shellenberger', 'Michael Shellenberger', 'Michael Shellenberger', 'Michael Shellenberger', 'Michael Shellenberger', 'Oliver Tickell', 'Andrew Montford', 'Bishop Hill', 'Stefan Rahmstorf', 'Jörg Kachelmann', 'Phil Jones', 'Werner Holtz', 'Phil Jones', 'Phil Jones', 'James Hansen', 'Stephen McIntyre', 'Harald Lesch', 'Hans Joachim Schellnhuber', 'Lawrence Solomon', 'William Michael Connolley']","['EIKE', 'PIK', 'FAZ', 'EIKE', 'Frankfurter Rundschau', 'FN', 'FAZ', 'WMO', 'EIKE', 'dpa', 'WMO', 'IPCC', 'Die offene Gesellschaft', 'Weltgesundheitsorganisation', 'WEF', 'WBGU', 'UN', 'Wuppertalinstitut', 'EU', 'Big Finance', 'Cato Institut', 'UN', 'EIKE', 'CNN', 'IPCC', 'Washington Post', 'New York Times', 'EIKE', 'Greenpeace', 'IPCC', 'Klimareporter', 'BR', 'NY Times', 'BBC', 'SPD', 'NABU', 'EIKE', 'EIKE', 'EIKE', 'Weltbank', 'Greenpeace', 'EIKE', 'KGB', 'UN', 'UN', 'Heartland Institute', 'CNN', 'IPCC', 'WIKIPEDIA', 'NOAA', 'WMO', 'NOAA', 'WMO', 'EIKE', 'AFD', 'ZDF', 'EIKE', 'IPCC', 'EPA', 'NASA', 'New York Times', 'The Guardian', 'EU', 'Weltbank', 'UNO', 'WWF', 'Greenpeace', 'Greenpeace', 'BP']","['16jährig', 'weit', '24jährig', 'bekannt', 'aufregend', 'lieb', 'gleichgesinnt', 'chinesisch', 'indigen', 'deutsch', 'französisch', 'konstant', 'lieb', 'weiblich', 'lieb', 'lieb', 'bös', 'zahlreich', 'vieler', 'belgisch', 'schwedisch', 'lieb', 'angereist', 'sämtlicher', 'sozialverträglich', 'jung', 'jung']","['hyperaktiv', 'interpretiert', 'oft', 'falsch', 'bekannt', 'weltweit', 'militant', 'ideologisiert', 'außerdem', 'jung', 'unmöglich', 'vieler', 'motiviert', 'tatsächlich', 'mehr', 'ausgesprochen', 'schwedisch', 'bekannt', 'weltweit', 'ahnungslos', 'selbst', 'ausgewiesen', 'bekannt', 'linksradikal', 'oft', 'optimistisch', '16jährig', 'jung', 'aggressivst', 'wohl', 'bekannt', 'weltweit', 'leidend', 'bedrohlich', 'weniger', 'radikal', 'einst', 'führend', 'jung', 'schwedisch', 'schwedisch', 'fanatisch', 'lupenrein', 'gefeiert', 'hundertprozentig', 'lokal', 'trefflich']",positive,0.0,"['politisch aktiver Mensch', 'aktiver Mitarbeiter', 'Aktivist']","['Politiker', 'Volksvertreter']","['jemand', 'irgendjemand', 'jeder beliebige']","['reformer', 'meliorist', 'crusader', 'social reformer', 'reformist', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'reformer', 'meliorist', 'crusader', 'social reformer', 'reformist', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein militanter Reformer'],[],"['demagoge', 'macher']",aktivi,aktivist,akt,aktivist,,,,,"['aktivist', 'aktivismus']","['demagoge', 'macher', 'aktivist', 'aktivismus']",positive,0.6666666666666666,neutral,{'Self'},{'External'},0.0,0.04054054054054054,61,66,0.158890817342648,0.608631578120215,"['lieb', 'indigen', 'Klimaziel', 'liebe', 'schon']","['bekannt', 'Jahr', 'Bill']",61,66,0.158890817342648,0.608631578120215,51,74,0.158890817342648,0.608631578120215
klimaaktivistin,aktivistin,"['aktivistinnen', 'aktivistin']",aktivistin,f,"['klimaaktivistinnen', 'klimaaktivistin']","['Greta Thunberg', 'Greta Thunberg', 'Vanessa Nakate', 'Joe Biden', 'Vanessa Nakate', 'Luisa Neubauer', 'Greta Thunberg', 'Anuna De Wever', 'Adélaïde Charlier', 'Tilman von Samson', 'Julia Thöring', 'Ursula von der Leyen', 'Gerald Kaendler', 'Anselm Schindler', 'Manfred Fischedick', 'Verena Bax', 'Tobias Rosswog', 'Howey Ou', 'Luisa Neubauer', 'Greta Thunberg', 'Evelyn Chantelle', 'Howey Ou', 'Mitzi Jonelle Tan', 'Howey Ou', 'Mitzi Jonelle Tan', 'Martin Sonneborn', 'Greta Thunberg', 'Greta Thunberg', 'Dörte Schnitzer', 'Ines Gütt', 'Matthias Klopfer', 'Joe Biden', 'Mitzi Jonelle Tan']","['FFF', 'FFF', 'Siemens', 'EU', 'PCS', 'Public Climate School', 'EU', 'GAP', 'FFF', 'EU', 'FFF', 'NABU', 'Defend Rojava Komitee & Beriwan', 'RWE', 'RTL', 'ARD', 'Holcim', 'Organisation Care', 'Organisation Care', 'Europäischen Parlament', 'Siemens', 'GermanZero', 'SPD', 'FFF']","['Greta Thunberg', 'George Monbiot', 'Luisa Neubauer', 'Greta Thunberg', 'Greta Thunberg', 'Svenja Schulze', 'Greta Thunberg', 'Mariella Gittler', 'Jennifer Rezny', 'Michael Limburg', 'Barbara Hendricks', 'Greta Thunberg', 'Kevin Kühnert', 'Greta Thunberg', 'Naomi Seibt', 'Andreas Demmig', 'Greta Thunberg', 'Naomi Seibt']","['New York Post', 'EIKE', 'SPD', 'IPCC', 'Welt', 'Antifa']","['16jährig', '24jährig', 'bekannt', 'chinesisch', 'deutsch', 'konstant', 'belgisch', 'schwedisch']","['schwedisch', 'optimistisch', '16jährig', 'jung', 'schwedisch', 'schwedisch', 'gefeiert']",positive,0.0,[],[],[],,person,[],[],[],aktivisti,aktivistin,aktivistin,aktivistin,,,,,"['aktivistin', 'aktivist']","['aktivistin', 'aktivist']",positive,0.0,neutral,{'Self'},{'External'},0.0,0.0,24,9,0.141807610191428,0.10371631449558,"['Tan', 'Philippinen', 'Aktivist', 'Howey', 'Uganda', 'Vanessa']","['schwedisch', 'Greta']",24,9,0.141807610191428,0.10371631449558,21,9,0.141807610191428,0.10371631449558
klimaalarm,alarm,"['alarms', 'alarm', 'alarmen', 'alarme', 'alarmes']",alarm,m,"['klimaalarms', 'klimaalarm', 'klimaalarmen', 'klimaalarme', 'klimaalarmes']",,,"['Judith Curry', 'Judith Curry', 'Roy Spencer', 'Maria Krautzberger', 'Anders Levermann', 'Judith Curry', 'Christiana Figueres', 'Ivar Giaever', 'Timothy Wirth', 'Sigmar Gabriel', 'Angela Merkel', 'Naomi Oreskes']","['IPCC', 'WBGU', 'WBGU', 'IPCC', 'EIKE', 'PIK', 'NASA', 'American Meteorological Society', 'Tagesspiegel', 'SPD', 'Greenpeace', 'Spiegel Online', 'Die Grünen', 'EIKE', 'Umweltbundesamt', 'Welt', 'PAGES', 'EIKE', 'University of Cambridge', 'IPCC', 'NOAA', 'EIKE', 'Klimamonitoringbericht für Süddeutschland', 'Tagesspiegel', 'TAZ', 'Tagesspiegel', 'EIKE', 'EIKE', 'EIKE', 'CSU', 'SPD', 'Bayerischer Landtag', 'BUND', 'EIKE', 'EIKE', 'FFF', 'PIK', 'EU', 'UNFCCC', 'American Physical Society', 'EIKE', 'IPCC', 'UN', 'PIK', 'Tagesspiegel', 'EIKE', 'Tagesspiegel', 'EIKE', 'EIKE']",,"['effektvoll', 'gescheitert', 'längst', 'teuflisch', 'ausgewiesen', 'warm', 'global', 'medial', 'aktuellhysterisch', 'weit', 'alle', 'böse', 'verselbstständigend', 'inzwischen', 'irreführend', 'nur', 'gefordert', 'neu', 'informiert', 'schlecht', 'wichtig', 'untergehend', 'westlich', 'mehr', 'neutral', 'kein', 'vorsorglich', 'falsch', 'oberer', 'potsdämlich', 'einiger', 'politisch', 'erfunden', 'unbewohnbar', 'fast', 'gefährlich', 'eingefleischt', 'fragwürdig', 'prominent', 'prominent', 'charmant', 'durchaus', 'nur', 'lieb', 'dann', 'nur', 'wieder', 'doch', 'nur']",negative,0.0,"['Alarm', 'Gefahrenmeldung', 'Warnsignal', 'Notruf', 'Alarmsignal', 'Warnton', 'Alarmruf']","['Zugewandtheit', 'Gewogenheit', 'Geneigtheit', 'Huld', 'Wohlwollen', 'Gunst']","['Gunst', 'Wohlwollen', 'Geneigtheit', 'Zugewandtheit', 'Gewogenheit', 'Huld']","['fear', 'fearfulness', 'fright', 'emotion', 'feeling', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,"['Angst, die sich aus dem Bewusstsein einer Gefahr ergibt']",[],[],alarm,alarm,alarm,alarm,,,"['alarm', 'alarmist']",,"['alarm', 'alarmist']","['alarm', 'alarmist', 'alarm', 'alarmist']",negative,0.0,negative,,,,0.0,0,38,,0.398275213619634,,"['Erzeugung', 'Flashcrash', 'erklären', 'Schulz', 'posaunen', 'Teil', 'betrügerisch', 'brandenburgisch']",0,38,,0.398275213619634,,35,,0.398275213619634
klimaalarmist,alarmist,"['alarmist', 'alarmisten']",alarmist,m,"['klimaalarmist', 'klimaalarmisten']",,,"['Sterling Burnett', 'Hartmut Graßl', 'Rainald Becker', 'Roger Pielke Jr', 'Ottmar Edenhofer', 'Dixy Lee Ray', 'Wolfgang Peter', 'Josef Kowatsch', 'Thomas Stocker', 'Sterling Burnett', 'Joshua Dean', 'Günter Keil', 'Stefan Rahmstorf', 'Greta Thunberg', 'Joe Biden', 'Joe Biden', 'Angela Merkel', 'Greta Thunberg', 'Ursula von der Leyen', 'Mojib Latif', 'Stefan Rahmstorf', 'Thomas Stocker', 'Hans Joachim Schellnhuber', 'Eckart Witzigmann', 'Greta Thunberg', 'Barack Obama', 'Stefan Rahmstorf', 'Stefan Rahmstorf', 'Roger Pielke Jr', 'John Christy', 'Judith Curry', 'Michael Shellenberger', 'Patrick Frank', 'Werner Kirstein', 'Werner Kirstein', 'James Hansen', 'Werner Kirstein', 'James Hansen', 'Roy Spencer', 'Sterling Burnett', 'Roy Spencer', 'Sterling Burnett', 'Roy Spencer', 'Volker Quaschning', 'Judith Curry', 'Michael Schnell', 'Lord Monckton', 'Michael Schnell', 'Lord Monckton', 'Horst-Joachim Lüdecke', 'Thomas Stocker', 'Mauritius Knauer', 'Michael Limburg']","['Heartland Institute', 'Heartland Institute', 'IPCC', 'EIKE', 'EIKE', 'EIKE', 'NOAA', 'IPCC', 'Der Spiegel', 'DWD', 'IPCC', 'NDR', 'IPCC', 'UN', 'AMO', 'EIKE', 'NOAA', 'Deutscher Bundestag', 'EIKE', 'TCS', 'IPCC', 'IPCC', 'IPCC', 'The Toronto Sun', 'IPCC', 'IPCC', 'Forbes', 'CNN', 'Amnesty International', 'BBC', 'DWD', 'PIK', 'IPCC', 'CNN', 'EIKE', 'ECS', 'EIKE', 'DWD', 'PIK', 'IPCC', 'Greenpeace', 'EIKE', 'EIKE', 'IPCC', 'DWD', 'IPCC', 'Forbes', 'SPD', 'EIKE', 'DWD', 'CNN', 'Weltbank', 'IPCC', 'IPCC', 'EIKE', 'PIK', 'PIK', 'UN', 'Heartland Institute', 'Heartland Institute', 'NASA', 'NASA', 'NOAA', 'PIK', 'WBGU', 'FAO', 'Weltbank', 'EIKE', 'Instituts für Paläogeophysik und Geodynamik', 'Greenpeace', 'Zentralinstitut für organische Chemie', 'IPCC', 'Universität Rostock', 'Greenpeace', 'Zentralinstitut für organische Chemie', 'IPCC', 'Universität Rostock', 'EIKE', 'EIKE', 'American Meteorological Society', 'EIKE', 'EIKE']",,"['effektvoll', 'gescheitert', 'längst', 'teuflisch', 'ausgewiesen', 'warm', 'global', 'alle', 'böse', 'irreführend', 'nur', 'informiert', 'schlecht', 'wichtig', 'westlich', 'mehr', 'neutral', 'oberer', 'potsdämlich', 'einiger', 'politisch', 'unbewohnbar', 'fast', 'gefährlich', 'eingefleischt', 'prominent', 'prominent', 'charmant', 'durchaus', 'nur', 'lieb', 'dann', 'nur']",negative,0.0,[],[],[],,person,[],[],[],alarmi,alarmist,alarm,alarmist,,,"['alarm', 'alarmist']",,"['alarmist', 'alarm']","['alarm', 'alarmist', 'alarmist', 'alarm']",negative,0.0,negative,,{'External'},,0.018691588785046728,0,115,,0.953428503539263,,"['Behauptung', 'exemplarisch', 'gleiche', 'kommen', 'ankündigen', 'Behauptung', 'bewährt', 'bzgl.', 'IPCC']",0,115,,0.953428503539263,,107,,0.953428503539263
klimaanbeter,anbeter,"['anbeters', 'anbeter', 'anbetern']",anbeter,m,"['klimaanbeters', 'klimaanbeter', 'klimaanbetern']",,,[],['EIKE'],,['lügend'],negative,0.0,"['Verehrer', 'Liebhaber', 'Lover', 'Bewunderer', 'Anbeter']","['Diplomat', 'Botschafter', 'Missionschef', 'Geschäftsträger', 'diplomatischer Vertreter', 'Auslandsvertreter', 'Repräsentant', 'Konsul']","['jemand', 'irgendjemand', 'jeder beliebige']","['follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein leidenschaftlicher Anhänger und Verehrer'],[],['sektierer'],anb,anbet,anbet,anbet,,,,,,['sektierer'],positive,0.0,neutral,,{'External'},,0.0,0,1,,0.0,,,0,1,,0.0,,1,,0.0
klimaapokalypse,apokalypse,"['apokalypse', 'apokalypsen']",apokalypse,f,"['klimaapokalypse', 'klimaapokalypsen']",,,"['Donald Trump', 'Harald Kunstmann', 'Sterling Burnett', 'Donald Trump', 'Hans Joachim Schellnhuber']","['Die Grünen', 'WUWT', 'Die Grünen', 'BR', 'Bayerischer Landtag', 'FAZ', 'National Energy Administration']",,"['bevorstehend', 'schlimm', 'angenommen']",positive,0.0,"['Super-GAU', 'Waterloo', 'Armageddon', 'Apokalypse', 'Weltende', 'Entschleierung', 'Abaddon', 'Verderben', 'Götterdämmerung', 'Weltuntergang', 'Offenbarung', 'Untergang', 'Ende der Welt', 'Enthüllung', 'Tag des jüngsten Gerichts', 'Abgrund', 'Zusammenbruch', 'Ragnarök', 'Ende', 'Unglück']","['Gesicht', 'Illusion', 'Täuschung', 'Hallu', 'Größenordnung', 'Wahnbild', 'Anhaltspunkt', 'Phantom', 'Butterland', 'grobe Schätzung', 'Zwielicht', 'Wahnvorstellung', 'Hausnummer', 'Trugbild', 'ungefähre Größe', 'Geisterbild', 'Vision', 'Offenbarung', 'Erscheinung', 'Einbildung', 'Selbsttäuschung', 'Sinnestäuschung', 'Halbdunkel', 'Bereich', 'Hirngespinst', 'Halluzination', 'reizunabhängige Sinneswahrnehmung', 'Fata Morgana', 'Dämmerung']","['Offenbarung', 'Erscheinung', 'Phantom', 'Hirngespinst', 'Einbildung', 'Sinnestäuschung', 'Trugbild', 'Selbsttäuschung', 'Täuschung', 'Wahnvorstellung', 'Halluzination', 'Gesicht', 'Fata Morgana', 'Butterland', 'Illusion', 'Vision', 'Wahnbild', 'Hallu', 'Geisterbild', 'reizunabhängige Sinneswahrnehmung', 'Zwielicht', 'Halbdunkel', 'Dämmerung', 'Heilanzeige', 'Indikation']","['state', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,"['Visionäre Beschreibung eines Zustandes, in dem die Welt nicht weiter besteht.', 'ein kosmischer Kataklysmus, bei dem Gott die herrschenden Mächte des Bösen vernichtet', 'eine erhellende oder erstaunliche Enthüllung']","['armageddon', 'untergang']","['armageddon', 'untergang']",apokalyp,apokalyps,apokalyps,apokalyps,,,,,"['apokalypse', 'apokalyptiker']","['armageddon', 'untergang', 'apokalypse', 'apokalyptiker']",negative,-0.05,negative,,,,0.0,0,9,,0.10371631449558,,,0,9,,0.10371631449558,,9,,0.10371631449558
klimaapokalyptiker,apokalyptiker,"['apokalyptiker', 'apokalyptikern', 'apokalyptikers']",apokalyptiker,m,"['klimaapokalyptiker', 'klimaapokalyptikern', 'klimaapokalyptikers']",,,[],[],,[],negative,0.0,[],[],[],,person,[],[],[],apokalyptik,apokalyptik,apokalyptik,apokalypt,,,,,"['apokalyptiker', 'apokalypse']","['apokalyptiker', 'apokalypse']",negative,0.0,negative,,{'External'},,0.0,0,1,,0.0,,,0,1,,0.0,,1,,0.0
klimaapostel,apostel,"['aposteln', 'apostels', 'apostel']",apostel,m,"['klimaaposteln', 'klimaapostels', 'klimaapostel']",,,"['Bill McKibben', 'Harald Lesch']","['EIKE', 'EIKE', 'IPCC', 'EIKE']",,"['selbsternannt', 'neu']",positive,0.0,"['Jünger', 'Apostel', 'einer der Zwölf']",[],[],"['adherent', 'disciple', 'follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'adherent', 'disciple', 'follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'Christian', 'religious person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'Christian', 'religious person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['(Neues Testament) einer der ursprünglichen 12 Jünger, die von Christus ausgewählt wurden, um sein Evangelium zu verkünden']",[],[],apostel,apostel,apostel,apostel,,,,,,[],positive,0.0,neutral,,{'External'},,0.0,0,3,,0.0331378774723968,,,0,3,,0.0331378774723968,,3,,0.0331378774723968
