"docname","from","to","pre","keyword","post","pattern"
"eike_00764.txt",8,8,"Werner Kirstein Universität Leipzig Kirstein stellt sich mit seinen Thesen gegen den weit verbreiteten Konsens in den Wissenschaften , die den Klimawandel als von Menschen verursacht ansehen . Kirstein stellt sich mit seinen Thesen gegen den weit verbreiteten Konsens in den Wissenschaften , die den Klimawandel als von Menschen verursacht ansehen . Mehr auf unserer Webseite : Bitte hier nur unter vollem Klarnamen posten . Siehe Regeln . Wirtschaftsexperte ist der aber nicht gerade .","Ganz klar , dass einige Wirtschaftszweige und einige Gruppierungen mit der KlimaAbzockerei viel Geld verdienen .","Volkswirtschaftlich wird , bis hin zum Verbraucher , dadurch allerdings massiver Schaden angerichtet . Wie kann man den Menschen zur Objektivität , zum Lernen und zum Mitarbeiten bewegen ? Da bedarf es , glaube ich , der Zauberei . Der Schlafmütze ist gedient , wenn sie auf Schlangenölverkäufer hereinfällt ( Passivität / Lethargie ) . Dieses ist das Ergebnis jahrelanger Politik , mit dem Ziel , geistige und wirtschaftliche Abhängigkeit beim Michel zu schaffen .","klimaabzockerei"
"eike_05352.txt",12,12,"Die SojalatteAdabeis der grünen Stadtbiotope sind am meisten begeistert . „ Was soll uns die alberne Demokratie , wenn doch die Hütte brennt und wir alle morgen sterben müssen ? "" Um die acht Jahre , die uns nur noch zur Weltrettung bleiben , ist es allerdings sehr still geworden . Klugerweise hat die Politik deshalb den Weltuntergang vom Jahr aufs Jahr vorverlegt . Das ist dringlich genug zum Motivieren , aber auch weit genug weg zum Überprüfen .","Die Politiker sind von Demonstrationen gegen ihre Politik begeistert Im Mai kündigte Greta Thunberg an , für ein Jahr mit der Schule auszusetzen , weil sich KlimaAktivismus und Schulbesuch angeblich nicht vereinbaren ließen .","Nach ein paar Monaten schwappte die SchulschwänzBewegung auf andere Länder über und die hüpfende „ Klimajugend "" entstand . Besonders hoch wurde in Deutschland gehüpft . „ Wer nicht hüpft ist ein Nazi , hey , hey "" . Die deutsche Politik sah ihre Chance gekommen und war begeistert ob der Demonstrationen gegen ihre Politik . Gäbe es den Klimawandel nicht , die Politik hätte ihn erfinden müssen .","klimaaktivismus"
"eike_02092.txt",5,5,"Von diesem Beitrag werden Sie bei LeitMedien nichts erfahren . Das hat zwei Gründe : Das Ergebnis des Beitrags und die Art , wie das Ergebnis zustande gekommen ist . Das hier : Argh , richtige Wissenschaft . Ein Text , in dem empirische Daten zur Grundlage genommen werden , um vor dem Hintergrund physikalischer Gesetze zu untersuchen , wie sich Sonnenstrahlung , die auf die Erde trifft , als Wärmestrahlung wieder abgegeben und von Treibhausgasen "" aufgefangen "" wird , auf das Klima auswirkt .","Das ist nichts , was "" Klimaaktivisten "" zur Kenntnis nehmen , nichts , was angebliche "" Wissenschaftsjournalisten "" aufarbeiten , nicht einmal etwas , was FachZeitschriften der Physik drucken wollen , nicht weil es keine Physik wäre , nein , an der Methode und der Durchführung gibt es nichts auszusetzen , aber am Ergebnis .","Das Ergebnis passt nicht in die Welt der KlimaHysterie , und alles , was nicht in die Welt der Klimahysterie passt , weil es z.B . Wissenschaft ist , wird unterdrückt , unterschlagen , führt zu Angst bei den Herausgebern von wissenschaftlichen Zeitschriften , denn Herausgeber kann man heute wohl nur noch werden , wenn man den Verdacht widerlegen konnte , mit einem Rückgrat ausgestattet zu sein . Versuchten wir heute unseren Text "" Bringing Boys Back In "" zu veröffentlichen , es fänden sich wohl keine Herausgeber mehr , die das Rückgrat von Diether Hopf und Ewald Terhart hätten . Zurück zu Happer und Wijngaarden . Zentral für das , was die beiden auf rund Seiten darlegen , ist das hier : Das ist ein Absorptionsband für verschiedene Wellenlängen .","klimaaktivist"
"eike_02092.txt",148,148,"Bsp Corona - mit „ Viren "" klappt es noch besser . Herr Burger , wie lange verfolgen Sie schon die Klimadebatte und wie viele Beiträge haben Sie beispielsweise schon von Prof . Lüdecke , oder besser sein Buch , gelesen ? Entschuldigen Sie , aber Sie sind ein Traumtänzer ! Sollte es Ihnen aber gelingen , die Klimadebatte mit Argumenten zu beenden , die auch die Alarmisten überzeugen , dann sollte EIKE sammeln , um Ihnen das verdiente große Denkmal zu setzen !","Dabei sollten Sie sich vor Augen halten , dass wir es eher mit einer Klimareligion zu tun haben , bei der die Klimaaktivisten im PIK , den Medien und in der Politik sich im Besitz der allein gültigen Wahrheit wähnen : „ science is settled "" , wie es allen Ernstes heißt .","Trauen Sie sich zu , den Papst davon zu überzeugen , dass es den lieben Gott nicht gibt ? Und glauben Sie allen Ernstes , dass es unter den Alarmisten Unvoreingenommenheit gibt , wo doch bereits schon Billionen in Bewegung gesetzt wurden ? Der größte Teil davon in Gewinnzusagen für Anleger , die Zukunft betreffen ? Und man die , die es bereitwillig bezahlen , so einfach mit permanenten KlimaWeltuntergangsAlarm in Zahllaune halten kann ? Und last but not least , was versucht hier EIKE die ganze Zeit ?","klimaaktivist"
"eike_04522.txt",19,19,"Tatsächlich ist es so , dass viele Menschen ( und hier auch speziell Journalisten ) von den Klimafakten nichts wissen wollen weil sie ihrem Glauben und Ängsten widersprechen . für die modernen Menschen ist das Klima , was wir in den letzten xTausend Jahren hatten , normal . Wir kennen ja , bis auf örtliche Schwankungen nichts anderes . Dass es vor xZehntausend oder xMillionen Jahren mal viel wärmer oder kälter war und der Planet einer völlig andere Natur eine Lebensgrundlage bot , widerspricht nicht der Tatsache , dass die moderne Menschheit konstante klimatische Verhältnisse gewohnt ist . Und weil wir wissen , welche dramatische Folgen selbst kleine Schwankungen hatten ( Aussterben von Kulturen , Völkerwanderung ) , nehmen wir jetzt die Aufgabe an , zumindest den anthropogenen Klimawandel zu stoppen . Silke Kosch Des weiteren setzen Sie voraus , dass das klimatische Geschehen relevant von menschlichen Aktivitäten verändert wird unter Verengung auf einen einzigen Parameter ( CO2 ) mit nur einer einzigen Konsequenz : Untergang der menschlichen Zivilisation , wenn nicht … Angesichts der vielfältigsten Variablen , deren gegenseitige Beeinflussung eben nicht „ abschliessend "" geklärt ist bedeutet ein Festhalten an dem totalitären Handlungsweg leider tatsächlich eine Bedrohung des menschlichen Lebens !","Es wird unter dem dramatischen CO2Regime zu Völkerwanderungen kommen , sehr viele Menschen werden verarmen , die medizinische Versorgung wird schlechter wegen fehlender industrieller Leistungsfähigkeit- aber ok- man fühlt sich halt gut als Klimaaktivist , „ der die Aufgabe "" annimmt … Scwachsinn , der moderne Homo Sapiens hat sich vor Jahren in Europa ausgebreitet , wobei Europa bis zu den Alpen mit einer Eisschcht bedekt war .","Auf der Erde rund Grad kälter , in Europe um die Grad . Der Moderne Mensch hat sich an Lebensräume von -60 ( Sibirien ) bis ( Wüste Gobi ) angepasst . Die grünen Parolen entbehren jegliche naturwissenschaftliche Grundlage , sind aber geeignet die Mehrheit in einer Richtung zu steuern , die der Elite entgegenkommt . es ist eine unheimlich Belastung eine Anstieg der Temperatur von Kelvin zu erleben . Fragen sie mal eine Norddeutschen den es nach Bayern verschlagen hat . Die klimatische Kelvin Belastung ist als so hoch einzuschätzen , das man von einer Katastrophe reden muss .","klimaaktivist"
"eike_04522.txt",117,117,"Dieser Zeuge Jehovas war übrigens auch der Erste , von dem ich sinngemäß folgenden Satz hörte : „ Wenn die Theorie vom * Urknall * stimmen würde , was wäre sie denn anderes als eine Schöpfungsgeschichte ? "" Da sag mal einer was dagegen … Es lohnt sich jedenfalls , mit klugen Menschen Zeit und Diskussionen zu verbringen , egal welche Konfession sie haben . Im Übrigen ist dieser * Zeuge * , da das in DDR- Zeiten war , für seine Überzeugung in den Knast gegangen , weil er den Armeedienst verweigerte ( auch den Dienst als * Spatensoldat * ) und hatte auch noch paar andere Restriktionen zu ertragen . Das ist auch wieder ein Unterschied zu den Protagonisten der Wind- und Sonnenenergie heute , sie wähnen sich einerseits auf der medial verbreiteten * Guten Seite * und haben zum anderen Teil einen finanziellen Vorteil zu Lasten der Mehrheit . Mit Streichung von Subvention und Einspeisevorrang würden deren Propagandalieder verstummen … sofort .","Korrupte Klima "" wissenschaftler "" , verlogene Politiker , hirngewaschene Trottel ( innen ) … Diskussion nutzlos Sie ist sogar notwendig , und zwar aus der Sicht der Klimaaktivist * Innen .","Ganz einfach deshalb , weil diese ( und ich nehme an auch Sie ) etwas von uns ( den Bürger * Innen nicht nur dieses Landes ) wollen , nämlich den Verzicht.Hierzu nur eine Meldung der FAZ : „ Im GebäudeBereich werfen die Forscher die Frage auf : „ Wie viel Wohnfläche ist genug ? "" hätte jeder Deutsche im Durchschnitt Quadratmeter Wohnfläche zur Verfügung gehabt . Zuletzt waren es Quadratmeter , es wird also immer mehr Fläche beheizt . Den Zuwachs „ zu begrenzen und im Idealfall umzukehren wäre ein starker Hebel zur Emissionsminderung "" , schreiben die Autoren . "" Wir hingegen wollen von Ihnen nichts .","klimaaktivist"
"eike_00435.txt",9,9,"Während der folgenden Jahre seitdem haben wir immer häufiger immer düsterere Prophezeiungen des Untergangs gehört . Einige dieser Prophezeiungen beziehen sich auf die ferne Zukunft jenseits jedweden vernünftigen VorhersageHorizontes . Einige beziehen sich auf die nahe Zukunft . Viele ordnen fast alle gegenwärtigen ExtremwetterEreignisse unseren Emissionen von Treibhausgasen zu - mittels unmöglich zu validierender Verfahren . Karl Popper sagte einmal , dass erfolgreiche Vorhersagen , vor allem solche des Unerwarteten , goldener Standard von Wissenschaft seien ( hier ) .","Das ist ein Problem für KlimaAktivisten .","Die Erde hat sich seit Mitte des . Jahrhunderts erwärmt , nämlich mit dem Ende der Kleinen Eiszeit . Die Erwärmungsrate ist in etwa genauso hoch wie während der vier Jahrzehnte bis . Anthropogene Treibhausgase wurden erst nach dem . Weltkrieg zu einem wesentlichen Faktor .","klimaaktivist"
"eike_03963.txt",13,13,"Sie machen nicht einmal ein Geheimnis daraus , dass sie alle menschlichen Aktivitäten beendet sehen wollen , einschließlich Reisen und Handel . Dies , so sagt Godefridi , verstärkt das Bestreben des Umweltextremismus ' „ noch mehr , die Menschheit zu unterdrücken als jede Doktrin zuvor "" . Im Unterschied zum Marxismus schreibt er : Umweltextremismus hat nicht zum Ziel , die Produktion zu steigern und die Früchte gleichmäßig auf alle zu verteilen . Der Umweltextremismus hat vor , die Produktion zum Stillstand zu bringen . [ Hervorhebung von der Autorin hinzugefügt ] .","Klimaaktivisten glauben , dass vom Menschen erzeugtes CO2 den Planeten gefährdet .","Da alles , was wir tun , CO2 erzeugt - einschließlich unserer Atmung - macht es uns zum Feind der Erde . Godefridis Worten zufolge war der Sowjetbürger streng polizeilich überwacht , unterdrückt und materiell eingeengt , wenn er nicht gleich in den Gulag befördert und getötet wurde . Allerdings ist er niemals als das Problem selbst betrachtet worden . [ Hervorhebung von der Autorin hinzugefügt ] Lange , bevor die Gewalt ihren Lauf nahm , haben die Nazis in Deutschland direkt gesagt , wer der Feind war . Die Nazis haben niemals einen Hehl aus ihren Absichten gemacht . , Niemals wieder ' ist bedeutungslos , sagt Godefridi , falls wir nicht sehen wollen , was gerade vor unseren Augen vor sich geht .","klimaaktivist"
"eike_03963.txt",22,22,"[ Hervorhebung von der Autorin hinzugefügt ] Lange , bevor die Gewalt ihren Lauf nahm , haben die Nazis in Deutschland direkt gesagt , wer der Feind war . Die Nazis haben niemals einen Hehl aus ihren Absichten gemacht . , Niemals wieder ' ist bedeutungslos , sagt Godefridi , falls wir nicht sehen wollen , was gerade vor unseren Augen vor sich geht . Traditionellerweise wurde die internationale Reisetätigkeit als ökonomisch , intellektuell und sogar moralisch gut bewertet . Man sollte sich über andere Kulturen informieren . Seid nicht so beschränkt .","Klimaaktivisten sind aus anderem Holz geschnitzt .","Godefridi sagt , dass es an der Zeit ist aufzuhören zu denken , dass sie zum Scherzen aufgelegt sind . Der AktivistenJournalist in UK George Monbiot erklärt den Luftverkehr zu „ einem der destruktivsten Aktivitäten auf der Erde "" . Sein Gedanke einer „ sozial gerechten Lösung "" enthält u . A . die stetige Rückführung der Industrie . Anstatt mit einem Flugzeug in wenigen Stunden von Nordamerika nach Europa zurück zu fliegen , schiffte sich die Klimaaktivistin Greta Thunberg am .","klimaaktivist"
"eike_03963.txt",27,27,"Klimaaktivisten sind aus anderem Holz geschnitzt . Godefridi sagt , dass es an der Zeit ist aufzuhören zu denken , dass sie zum Scherzen aufgelegt sind . Der AktivistenJournalist in UK George Monbiot erklärt den Luftverkehr zu „ einem der destruktivsten Aktivitäten auf der Erde "" . Sein Gedanke einer „ sozial gerechten Lösung "" enthält u . A . die stetige Rückführung der Industrie .","Anstatt mit einem Flugzeug in wenigen Stunden von Nordamerika nach Europa zurück zu fliegen , schiffte sich die Klimaaktivistin Greta Thunberg am .","November in einem Boot ein . Vor fünf Tagen gab sie ihrer Hoffnung Ausdruck , „ irgendwann Anfang Dezember "" in Portugal anzukommen . Normale Menschen können es sich nicht leisten , einen ganzen Monat ihres Lebens damit zuzubringen , den Ozean zu überqueren . Wenn es jedoch nach den Klimaaktivisten geht , werden alle anderen Optionen ausgeschlossen . Eine Schlagzeile in der India Times erklärt Greta „ zum Vorbild , das jedermann braucht "" .","klimaaktivist"
"eike_03963.txt",31,31,"A . die stetige Rückführung der Industrie . Anstatt mit einem Flugzeug in wenigen Stunden von Nordamerika nach Europa zurück zu fliegen , schiffte sich die Klimaaktivistin Greta Thunberg am . November in einem Boot ein . Vor fünf Tagen gab sie ihrer Hoffnung Ausdruck , „ irgendwann Anfang Dezember "" in Portugal anzukommen . Normale Menschen können es sich nicht leisten , einen ganzen Monat ihres Lebens damit zuzubringen , den Ozean zu überqueren .","Wenn es jedoch nach den Klimaaktivisten geht , werden alle anderen Optionen ausgeschlossen .","Eine Schlagzeile in der India Times erklärt Greta „ zum Vorbild , das jedermann braucht "" . Ein Mitglied der David SuzukiStiftung schreibt in der größten Zeitung Kanadas , dass Greta „ eine Inspiration für Millionen Menschen aus vielen Gründen "" ist . Die Gründerin von Women Who Sail sagt , dass Greta „ eine der Großen Heiligen unserer Zeit ist "" . In jeder Ecke jeder lokalen , provinziellen , nationalen und internationalen Organisation wird Gretas Sicht auf die Welt vorangetrieben . Klimaaktivisten arbeiten hinter den Kulissen unermüdlich daran , diese Weltsicht zur Realität von Jedermann zu machen .","klimaaktivist"
"eike_03963.txt",36,36,"Wenn es jedoch nach den Klimaaktivisten geht , werden alle anderen Optionen ausgeschlossen . Eine Schlagzeile in der India Times erklärt Greta „ zum Vorbild , das jedermann braucht "" . Ein Mitglied der David SuzukiStiftung schreibt in der größten Zeitung Kanadas , dass Greta „ eine Inspiration für Millionen Menschen aus vielen Gründen "" ist . Die Gründerin von Women Who Sail sagt , dass Greta „ eine der Großen Heiligen unserer Zeit ist "" . In jeder Ecke jeder lokalen , provinziellen , nationalen und internationalen Organisation wird Gretas Sicht auf die Welt vorangetrieben .","Klimaaktivisten arbeiten hinter den Kulissen unermüdlich daran , diese Weltsicht zur Realität von Jedermann zu machen .","Diese Leute haben keinerlei Wertschätzung übrig für menschliche Errungenschaften oder technologische Fortschritte . Sie wertschätzen nicht unsere Zeit . Auch wertschätzen sie nicht unsere Freiheit . Es sind ganz einfach Extremisten , die darauf vorbereitet sind , alles , für den Nutzen des Planeten ' zu opfern . Wir müssen Godefridis Buch lesen - und ein zweites Mal lesen - bevor es zu spät ist !","klimaaktivist"
