"docname","from","to","pre","keyword","post","pattern"
"fff_de_00488.txt",5,5,"Aber das macht nichts . Denn Du kannst trotzdem helfen ! Mit Deiner Spende von nur können wir ein MobiPaket für eine unserer Ortsgruppen finanzieren . Damit hilftst auch Du , unsere Klimastreiks am . überall hin zu tragen .","Mit Deiner Spende unterstützt Du unseren Klimaaktivismus .","Jetzt spenden : Alle Zahlungen gehen ohne Abzug auf ein Konto der peertopeerPlattform des Vereins fairsichern community e.V . Die peertopeerPlattform ist ein Projekt der GLS Bank . Der Verwendungszweck ist nicht steuerabzugsfähig , so dass keine Spendenbescheinigung ausgestellt werden kann Bei weiteren Fragen erreichst du uns unter","klimaaktivismus"
"farn236.txt",2,2,""" Auf Seiten beschreibt die Broschüre zunächst wie die Klimakrise durch den Kolonialismus , das koloniale Naturverständnis und die daraus resultierende Ausbeutung von Mensch und Natur überhaupt erst entstehen konnte .","In einem weiteren Kapitel geht es darum , wie sich koloniale Kontinuitäten in der unterschiedlichen Betroffenheit von Klimawandelfolgen , dem Umfang von CO2Emissionen , Ressourcenabbau , aber auch in der Suche nach Lösungen für die Klimakrise und im weißen Klimaaktivismus erkennen lassen .","Ein zentraler Teil der Broschüre ist ebenso die Entstehungsgeschichte der Umwelt- und Klimagerechtigkeitsbewegung und das Aufzeigen verschiedener antikolonialer Widerstände , die sich seit Jahren gegen Ausbeutung auflehnen und somit die Klimakrise schon in ihrer Wurzel bekämpft haben . "" ( Text : BUNDjugend )","klimaaktivismus"
"farn260.txt",288,288,"„ Wenn es nach mir ginge , könnte die Klimaerwärmung eigentlich viel schneller gehen , denn dann würde der Meeresspiegel ansteigen und die Berge - auch wo wir wohnen - zu Inseln werden . Dann bräuchten nur noch ein paar Kokosnüsse angeschwemmt zu werden und Palmen heranwachsen , und man könnte faulenzend am Strand liegen . Einziges Problem : Wo bekäme man die dazugehörige eisgekühlte Pina Colada oder den Gin Tonic ? "" ( EW ) Hier spricht ein heiterer Zynismus , der das Bündnis zwischen Wirtschaftselite und neuen Rechten in Sachen Klimaleugnung prägt . [ ] Und dieser Zynismus ist mit derselben Immunisierung gegen die Opfer verbunden wie die alternativen Therapien , die Storl anbietet .","Auch seine Esoterik macht Storl anschlussfähig in Ken Jebsens Kreisen : Man müsse statt KlimaAktivismus seine Spiritualität entdecken , Garten und Bäume anlegen und die „ Seelenbilder der Germanen "" beachten , ohne die wir „ wurzellos "" seien .","Die Simplizität der angebotenen Maßnahmen bietet eine Entintellektualisierung an , die einem Publikum zupass kommt , das zwar beunruhigt genug ist , um eine Autorität aufzusuchen , aber egoistisch genug , um das Angebot der Besitzstandswahrung um jeden Preis anzunehmen . „ Die Welt wird nicht enden und auf keinen Fall durch CO2 "" , verspricht Storl ihnen im Interview mit Ken Jebsen . Und in „ Wolfsmedizin "" schreibt er : „ Die Menschen werden irre gemacht . Das Unmittelbarste und Naheliegendste verblasst , und der Kopf wird mit AIDS- , SARS- , Vogelgrippe- , SchweinegrippePanik , Klimahysterie , Terrorismusangst , Sport- und Prominententratsch vollgestopft . Voll mit lauter Halbwahrheiten .","klimaaktivismus"
"fff_de_00130.txt",2,2,"Why should I be studying for a future that soon may be no more , when no one is doing anything to save that future ?","And what is the point of learning facts when the most important facts clearly means nothing to our society ? - Greta Thunberg , eine 16jährige KlimaAktivistin im Streik .","Wir sind eine Bewegung von jungen Menschen , die aus eigenem Interesse heraus die Aktion Fridays For Future in Deutschland umsetzen und verbreiten . Dabei sind wir keineswegs an Parteien oder andere Organisationen gebunden . Der Klimawandel ist keine Situation , die vielleicht in vielen Jahren erst ernst werden könnte , sondern betrifft uns alle , weltweit , bereits seit einiger Zeit und ist schon lange eine reale Bedrohung für die Erde und für die Menschheit . Die TreibhausgasEmissionen steigen bereits lange Zeit und dennoch werden Kohle , Öl und Gas abgebaut . Doch unsere Politiker * innen unternehmen nichts , um diese Klimakrise abzuwenden .","klimaaktivist"
"fff_de_00130.txt",12,12,"Doch unsere Politiker * innen unternehmen nichts , um diese Klimakrise abzuwenden . Dies sind Gründe , weshalb wir freitags weder in die Schule , noch in die Uni gehen ! Nicht nur unsere Zukunft , sondern auch die Zukunft unserer Kinder und unserer Enkelkinder steht auf dem Spiel , da in der Klimapolitik nichts gemacht wird ! Denn was nie beachtet wird ist : Klimapolitik bezieht sich nicht nur auf die Konzerne , die durch Kohleabbau die CO2Emissionen fördern , sondern besonders auf die Menschen , die unter der Erderwärmung , die durch den Klimawandel geschaffen wird , leiden müssen und keine klare , sichere Zukunft mehr haben ! Klimapolitik ist soziale Politik !","Vorbild für unsere Aktion ist die KlimaAktivistin Greta Thunberg .","Die 16jährige Schwedin bestreikt seit Monaten freitags die Schule , um für echten Klimaschutz zu kämpfen . Weltweit haben sich ihr Tausende Schüler * innen angeschlossen und demonstrieren unter dem Motto Fridays for Future vor den Parlamenten , statt in die Schule zu gehen . Wir setzen uns für echten Klimaschutz ein und wollen für unsere Zukunft und für die der folgenden Generationen kämpfen . Wir fordern von der deutschen Regierung mehr Klimaschutz und den Kohleausstieg - und zwar nicht erst in zehn Jahren ! Auch , wenn wir dafür Unterrichtsstunden verpassen : Das ist uns die existenzielle Frage der Klimakrise mehr als wert .","klimaaktivist"
"fff_de_00127.txt",4,4,"Herzlich willkommen . Auch im niedersächsischen Achim bei Bremen formiert sich Widerstand gegen klimaschädliche und profitorientierte Politik in der Region . Wir sind eine noch kleine Ortsgruppe , die aber schon Großes auf die Beine gestellt hat .","Vor Ort arbeiten wir eng mit weiteren KlimaAktivisten zusammen , aber es muss mehr passieren .","Regelmäßige Abholzungen , das Projekt Industriegebiet AchimWest , steigende Nitratbelastung durch intensive Landwirtschaft in Mastbetriebe mit Massentierhaltung in Niedersachsen . Wir wollen mehr . Komm vorbei , unterstütze uns ! Euer Team Achim Finn Steffens & Merlin Hankel Bleibe Immer Auf Dem Laufenden Schick uns eine Mail an oder nutze unsere Social Media Angebote : whatsapp instagram facebook twitter Unsere Menschenkette am Wir danken für die Unterstützung : NABU Achim Sebastian Supe ( Layout , threeOax ) Gesa Kaemena , Stadt Achim , für die Räume im Falkenheim","klimaaktivist"
"fff_de_00373.txt",1,1,"","Am werden wir wieder gemeinsam mit Klimaaktivist * innen rund um die Welt für Klimaschutz streiken .","Denn aktuell bewegen wir uns auf C Erderwärmung im Vergleich zum vorindustriellen Niveau ( ) bis zu , statt , wie im Klimaabkommen von Paris vereinbart , die menschengemachte Erderwärmung auf C - C zu begrenzen . Die Klimakrise hat bereits jetzt Konsequenzen für das Leben von Millionen von Menschen und wenn das C Ziel überschritten wird , müssen wir uns darauf einstellen , dass die Folgen wesentlich schlimmer sein werden : Mehr und stärkere Extremwetterereignisse , Versauerung der Ozeane , Dürren und Wasserknappheit , die zu Hungersnöten und Konflikten führen und einen Meeresspiegelanstieg , der ganze Inseln untergehen lassen wird und Küstenregionen unbewohnbar macht . Wir wollen diese Zukunft nicht ! Deshalb fordern wir : #KeinGradWeiter und bereiten euch mit diesem Countdown optimal auf den globalen Streik vor , indem wir euch ab jetzt regelmäßig Wissenswertes und Argumente liefern , warum wir streiken und Tipps für die Demos geben . Ein unglaublich wichtiger Faktor für eine klimagerechtere Gesellschaft ist die Energiewende und darum geht es heute : Wieso streiken wir am ?","klimaaktivist"
"fff_de_00330.txt",14,14,"Kurz zuvor war das bei weitem nicht ausreichende Klimapäckchen der Bundesregierung verabschiedet worden und wir bereiteten uns darauf vor , weiterhin Druck auf den Straßen zu machen , damit die Bundesregierung ihren leeren Worten auch Taten folgen lassen würde . So gingen am . Januar bei einer regionalen Großdemo in Mainz Menschen unter dem Motto „ Die Uhr tickt - für unseren Planeten "" auf die Straße , um auf die Dringlichkeit der Klimakrise hinzuweisen , die schon jetzt für Millionen Menschen Realität ist . Zahlreiche Demonstrierende fanden sich auch rund um das Weltwirtschaftsforum in Davos ein , das wir zum Weltklimaforum machten . Das Thema war in zahlreichen Debatten präsent und Klimaktivist:innen vor Ort machten unsere Forderungen unüberhörbar .","Unter ihnen auch die 24jährige Klimaaktivistin Vanessa Nakate , die in Uganda trotz großer Widerstände , wie Strafen für protestierende Studierende , die Fridays for FutureBewegung organisiert .","In der Berichterstattung über eine Pressekonferenz , in der fünf Fridays for FutureRepräsentatinnen vertreten waren , von denen vier weiß * waren , wurde Vanessa , die einzige Vertreterin von Fridays for Future auf dem afrikanischen Kontinent war , aus dem Bild herausgeschnitten . Dieses Erlebnis kann sinnbildlich für die Erfahrungen der vielen Menschen mit Rassismuserfahrung und der Menschen aus dem globalen Süden stehen , die häufig nicht nur die Folgen der Klimakrise am stärksten spüren , sondern auch schon seit Jahrzehnten ganz vorne im Kampf gegen Naturzerstörung und Klimawandel stehen , und deren Stimmen immer noch viel zu häufig überhört werden . Es war eines der ersten Ereignisse im Jahr , die uns bewusst machen sollten , dass Klimagerechtigkeit nicht ohne Antirassismus möglich ist . Siemens schürt Feuer Dass im Jahr die Klimakrise nicht mehr nur unsere Zukunft , sondern auch unsere Gegenwart bedroht , wurde mal wieder auch sehr deutlich , als die Bilder von den Buschbränden in Australien um die Welt gingen . Bilder von Bränden , die schlimmer waren , als die im gesamten Jahrzehnt zuvor .","klimaaktivist"
"fff_de_00417.txt",36,36,"RWE rodet weiter für Kohle Nicht nur im Dannenröder Forst soll Wald für ein klimaschädliches Projekt weichen . Der Energiekonzern RWE hat kurz nach dem Beginn des zweiten CoronaLockdowns mit der Rodung von Bäumen nahe der Dörfer Keyenberg und Lützerath begonnen . Die Wälder und Bäume sollen für die Ausweitung des Kohletagebaus Garzweiler zerstört werden . Die Anwohner * innen Initiative „ Alle Dörfer bleiben "" schreibt : „ Der Kohlekonzern hofft , dass wir uns wegen der Pandemie nicht wehren können "" . RWE hoffte , dass ihre BaumFällAktionen durch den Lockdown unbemerkt bleiben .","Doch das lassen Anwohner * innen und Klimaaktivist * innen nicht zu .","Bäume wurden besetzt und hunderte Menschen demonstrierten gegen die Zerstörung . Parents for Future legen Widerspruch gegen NRWLeitentscheidung zu Braunkohle ein Im Oktober beschloss Deutschlands größtes Bundesland und Ort zahlreicher Kohleabbaugebiete , wie dem Garzweiler Tagebau , eine neue Leitentscheidung zum Thema Braunkohle . Mitten in Zeiten der Klimakrise und monate- und jahrelangen Protesten gegen die Zerstörung von Dörfern und Wäldern für den Klimakiller Kohle wurde entschieden , dass fünf Dörfer weiterhin dem Kohleabbau weichen sollen . Die Parents for Future , Grandparents for Future , Teachers for Future und Christians for Future kritisierten diese Entscheidung schärfstens und legten Widerspruch ein . Sie schreiben : „ Ganz besonders als Eltern und Großeltern heranwachsender Bürger:innen halten wir es für unsere Pflicht , an der Gestaltung des Energielandes NRW teilzuhaben mit dem Ziel , ein lebenswertes und zukunftsfähiges Land NRW für alle zu schaffen .","klimaaktivist"
"fff_de_00417.txt",101,101,"Als klar wurde , dass er die Wahl gewinnen würde , stiegen auf dem Finanzmarkt die Aktien für z.B . erneuerbare Energien deutlich an . Biden hat schon im Wahlkampf angekündigt , fast zwei Billionen Dollar in ein Klimaschutzprogramm zu investieren . Sein Ziel ist es , dass die USA bis klimaneutral werden . Doch für die Umsetzung des Programms muss er noch den Senat überzeugen und die Ministerien zur Umsetzung bringen . Laut dem Climate Action Tracker , könnte das Versprechen der USA bis klimaneutral zu werden , gemeinsam mit den Plänen Chinas , Japans , Südkoreas und der EU das C Ziel wieder in greifbare Nähe rücken .","Die bekannte Klimaaktivistin Vanessa Nakate aus Uganda wandte sich nach dem Wahlsieg in einem eindringlichen Brief an die zukünftige BidenRegierung : „ Der Klimawandel betrifft so viele Leben von Menschen in meinem Land , ganz besonders von Kindern , Mädchen und Frauen . "" , schrieb sie .","„ Alles was wir wollen , ist ein lebenswürdiger , gesunder Planet , eine gleichberechtigte , nachhaltige Gegenwart und Zukunft . Ist das zu viel verlangt ? "" Eine Woche voller Klimabildung : Die Public Climate School findet digital statt Unsere StudierendenAG organisiert in der Woche vom . bis . November die dritte deutschlandweite Public Climate School ( PCS ) - eine offene KlimagerechtigkeitsUni für Alle . Eine Woche lang wird es digitale Bildungsveranstaltungen für eine ökologische und gerechte Zukunft geben .","klimaaktivist"
