"","Term","Freq_C2022","Freq_P2022"
"1","klimaabzockerei",0,NA
"2","klimaaktivismus",0,0.0159028307170063
"3","klimaaktivist",0.608631578120215,0.158890817342648
"4","klimaaktivistin",0.10371631449558,0.141807610191428
"5","klimaalarm",0.398275213619634,NA
"6","klimaalarmist",0.953428503539263,NA
"7","klimaanbeter",0,NA
"8","klimaapokalypse",0.10371631449558,NA
"9","klimaapokalyptiker",0,NA
"10","klimaapostel",0.0331378774723968,NA
"11","klimaargument",0,NA
"12","klimaarmageddon",0.0331378774723968,NA
"13","klimaasyl",NA,0
"14","klimaaufschrei",NA,0
"15","klimaaufstand",0,NA
"16","klimabankrott",0,NA
"17","klimabeeinflussung",0.0156966951518003,NA
"18","klimabefürworter",0.0156966951518003,NA
"19","klimabesoffenheit",0,NA
"20","klimabesorgnis",0,NA
"21","klimabetrug",0.0835479795360641,NA
"22","klimabetrüger",0.0300764987421918,NA
"23","klimabewegtheit",0,NA
"24","klimabibel",0,NA
"25","klimabigotterie",0,NA
"26","klimablödsinn",0.0300764987421918,NA
"27","klimabluff",0.0156966951518003,NA
"28","klimabrandstifter",0,NA
"29","klimabremser",0.0191856694893927,NA
"30","klimachaos",0.0688717439609989,0
"31","klimacrash",0,NA
"32","klimadampfer",0.0156966951518003,NA
"33","klimademagoge",0,NA
"34","klimadepression",0,NA
"35","klimadialektik",0,NA
"36","klimadiktatur",0.125472420123479,NA
"37","klimadiplomatie",0.0716249048365728,0.0202050260212569
"38","klimadogma",0.0300764987421918,NA
"39","klimadonna",0.0592978062696087,NA
"40","klimadramatik",0,NA
"41","klimadürre",0,NA
"42","klimaelite",0.0436011111178084,NA
"43","klimaerkrankung",0.0191856694893927,NA
"44","klimaernsthaftigkeit",NA,0.00829292432854372
"45","klimaerzählung",0,NA
"46","klimaestablishment",0.0300764987421918,NA
"47","klimaethik",0,NA
"48","klimaextremismus",0,NA
"49","klimafachkraft",0,NA
"50","klimafanatiker",0.0300764987421918,NA
"51","klimafeind",0,NA
"52","klimafestung",0,NA
"53","klimafieber",0,NA
"54","klimafluch",0.0156966951518003,NA
"55","klimaflüsterer",0,NA
"56","klimafreund",0,0.0174906429981298
"57","klimafreundin",NA,0
"58","klimafreundlichkeit",NA,0.00829292432854372
"59","klimafront",0.0464972214860532,NA
"60","klimaführerin",0,NA
"61","klimagangster",0,NA
"62","klimagarde",0.0300764987421918,NA
"63","klimagau",0,0.0159028307170063
"64","klimagefahr",0.109408804157064,0.00829292432854372
"65","klimagefasel",0,NA
"66","klimagerechtigkeit",0.195064067345776,1
"67","klimageschäft",0.0156966951518003,NA
"68","klimageschrei",0,NA
"69","klimagesinnung",0.0156966951518003,NA
"70","klimaglaube",0.0716249048365728,NA
"71","klimaglaubensbekenntnis",0,NA
"72","klimagläubigkeit",0,NA
"73","klimagnom",NA,0
"74","klimagott",0.0592978062696087,NA
"75","klimagöttin",0,NA
"76","klimagunst",0,NA
"77","klimahardliner",0,NA
"78","klimaherausforderung",0,NA
"79","klimahoax",0,NA
"80","klimahokuspokus",0,NA
"81","klimahölle",0,NA
"82","klimahose",0,NA
"83","klimahüpfer",0.0592978062696087,NA
"84","klimahybris",0,NA
"85","klimahype",0.178075361800887,NA
"86","klimahypothese",0.0156966951518003,NA
"87","klimahysterie",0.786023927565977,0.0675340226710638
"88","klimahysteriker",0.277431273772284,0
"89","klimaideologie",0.0436011111178084,NA
"90","klimaikone",0,NA
"91","klimainsider",0,NA
"92","klimaintelligenz",0,NA
"93","klimairrsinn",0.128111024584786,NA
"94","klimajünger",0.0436011111178084,0
"95","klimakabarett",0,0
"96","klimakaiserin",0,NA
"97","klimakamarilla",0,NA
"98","klimakampf",0.0924319943746397,NA
"99","klimakanzler",NA,0.00829292432854372
"100","klimakanzlerin",0.22191719070861,0.0563906568768837
"101","klimakäse",0.0191856694893927,NA
"102","klimakasteiung",0,NA
"103","klimakataklysmus",0.0156966951518003,NA
"104","klimakatastrophentheorie",0.0464972214860532,NA
"105","klimakatechismus",0,NA
"106","klimaketzer",0.0156966951518003,NA
"107","klimakirche",0.323001778027281,NA
"108","klimaklamauk",0.0464972214860532,NA
"109","klimaklempner",0,NA
"110","klimakleriker",0.0156966951518003,NA
"111","klimakollekte",0,NA
"112","klimakolonialismus",NA,0
"113","klimakommissar",NA,0
"114","klimakompetenz",0,NA
"115","klimakonfusion",0,NA
"116","klimakönigin",0,NA
"117","klimakonklave",0.0191856694893927,NA
"118","klimakonsens",0.0300764987421918,0.00829292432854372
"119","klimakonsortium",0.0156966951518003,0.0442430619665561
"120","klimakontrolle",0.0300764987421918,NA
"121","klimakontroverse",0,NA
"122","klimakreationismus",0,NA
"123","klimakreuzzug",0,NA
"124","klimakrieg",0.0564898091155786,NA
"125","klimakrieger",0.0156966951518003,NA
"126","klimakritik",0,NA
"127","klimakritiker",0.0156966951518003,NA
"128","klimakult",0.112180112461499,NA
"129","klimalaie",0.0156966951518003,NA
"130","klimaleidenschaftlichkeit",0.0191856694893927,NA
"131","klimaleugner",0.964682720612848,0.0957715652833177
"132","klimaleugnung",0.0629179442299147,0.0711669168518864
"133","klimalobby",0.171605392986456,NA
"134","klimalösegeld",0.0156966951518003,NA
"135","klimalüge",0.191106863093479,0.0159028307170063
"136","klimalügner",0.0464972214860532,NA
"137","klimamacher",NA,0
"138","klimamafia",0.16219303428966,NA
"139","klimamahnwache",NA,0.0230691843035464
"140","klimamanipulation",0,NA
"141","klimamantra",0.0191856694893927,NA
"142","klimamärchenonkel",0.0156966951518003,NA
"143","klimamilliardär",0.0156966951518003,NA
"144","klimamisere",0,NA
"145","klimamonster",0,NA
"146","klimamutti",0,NA
"147","klimanationalismus",0,0.0722037977148938
"148","klimanonsens",0,NA
"149","klimanotfall",0.0716249048365728,NA
"150","klimanotlage",0.0716249048365728,NA
"151","klimanotstandsregierung",NA,0.0505125650531423
"152","klimaorthodoxie",0.0331378774723968,NA
"153","klimapäckchen",NA,0.0550069322595241
"154","klimapanik",0.148240826306656,0.00829292432854372
"155","klimapanikmache",0.0464972214860532,NA
"156","klimapapst",0.0808322544578514,NA
"157","klimapäpstin",0,NA
"158","klimaparadies",0,NA
"159","klimapflicht",0,NA
"160","klimaplanwirtschaft",0,NA
"161","klimapolemik",0,NA
"162","klimapopulismus",0,NA
"163","klimaprediger",0.0300764987421918,NA
"164","klimapresse",0,NA
"165","klimaprofessor",0.0464972214860532,NA
"166","klimaprofiteur",0.0156966951518003,NA
"167","klimapropaganda",0.128111024584786,NA
"168","klimapropagandafilm",0.0191856694893927,NA
"169","klimapropagandist",0.0156966951518003,NA
"170","klimaprotestler",0,NA
"171","klimapseudowissenschaft",0,NA
"172","klimaquatsch",0.177863003436945,NA
"173","klimarealismus",0.0300764987421918,NA
"174","klimarealist",0.305244906397319,0
"175","klimareligion",0.385860088789617,NA
"176","klimaretter",0.77471728713357,0.029905715039707
"177","klimaretterin",0.0191856694893927,0.00829292432854372
"178","klimarettung",0.456092772811675,0.0805391921545826
"179","klimaschänder",NA,0
"180","klimaschändung",NA,0
"181","klimascharade",0,NA
"182","klimaschiff",0,NA
"183","klimaschmerz",0,NA
"184","klimaschrecken",0,NA
"185","klimaschuld",0,NA
"186","klimaschwachsinn",0,NA
"187","klimaschwindel",0.20986204769871,NA
"188","klimaschwindler",0.0464972214860532,NA
"189","klimasekte",0.0300764987421918,NA
"190","klimasektierer",0,NA
"191","klimashow",0,NA
"192","klimaskepsis",0.0436011111178084,0.00829292432854372
"193","klimaskeptiker",1,0.0563906568768837
"194","klimaskeptikerin",0,NA
"195","klimaskeptizismus",0.0436011111178084,0
"196","klimasozialismus",0.0436011111178084,NA
"197","klimaspinner",0.0436011111178084,NA
"198","klimastaat",0,NA
"199","klimastopp",NA,0
"200","klimastreit",0.0156966951518003,NA
"201","klimastreiter",NA,0
"202","klimataliban",0,NA
"203","klimateppich",0,NA
"204","klimateufel",0,NA
"205","klimatheater",0,NA
"206","klimatheologie",0,NA
"207","klimatod",0.0564898091155786,NA
"208","klimatrash",0,NA
"209","klimatraumatisierung",0.0300764987421918,NA
"210","klimatrip",0,NA
"211","klimatyrannei",0,NA
"212","klimaüberhitzung",0.0383713389787855,NA
"213","klimaunfähigkeit",NA,0
"214","klimaunfug",0,NA
"215","klimaungerechtigkeit",NA,0.00829292432854372
"216","klimaunsinn",0.0300764987421918,NA
"217","klimauntergang",0.0564898091155786,NA
"218","klimavatikan",0.0156966951518003,NA
"219","klimaverblödung",0.0156966951518003,NA
"220","klimaverbrechen",0,0
"221","klimaverbrecher",0,0
"222","klimaverdummung",0.0300764987421918,NA
"223","klimaverleugnung",0.0383713389787855,NA
"224","klimavernunft",0.0156966951518003,NA
"225","klimaverrücktheit",0,NA
"226","klimaverstand",0,NA
"227","klimaverteidigung",0,NA
"228","klimaverweigerung",0.0191856694893927,NA
"229","klimaverwirrung",0,NA
"230","klimavirus",0,NA
"231","klimawahn",0.318430037347377,0.00829292432854372
"232","klimawahnsinn",0.120336410340648,NA
"233","klimawandler",0.0300764987421918,NA
"234","klimawarner",0.0564898091155786,NA
"235","klimaweltuntergang",0.0436011111178084,NA
"236","klimawirklichkeit",0.0156966951518003,NA
"237","klimazar",0.0156966951518003,NA
"238","klimazerrüttung",NA,0
"239","klimazerstörer",0,0.0159028307170063
"240","klimazerstörung",NA,0.00829292432854372
"241","klimazipfel",0,NA
"242","klimazirkus",0.0688717439609989,NA
"243","klimazunft",0,NA
"244","klimazwang",0,NA
