"docname","from","to","pre","keyword","post","pattern"
"eike_08491.txt",4,4,"Viele der Neubekehrten wechselten von extremer Klimaskeptik zu radikalen Befürwortern des Glaubens, dass die globale Erwärmung angegangen werden muss, bevor es zu spät ist. Die pensionierten Minenarbeiter, evangelischen Minister und Bürgermeister von Miami berieten sich, ihre neu gefundene Überzeugung in religiöse Obertöne zu hüllen. „Ich vergleiche es mit einer religiösen Bekehrung, und nicht nur, weil ich etwas sah, was ich noch nie zuvor gesehen hatte  -  ich fühlte ein tiefes Gefühl der Buße„, erzählte Pfarrer Richard Cizik in einem Interview mit der NY Times.","Er war Mitglied in der Kirche der „religiösen Rechten"", bevor er Reverent Jim Ball , einen Gründer des Evangelical Environmental Network, poetisch über den Klimaaktivismus schwärmen hörte.","[Richard Cizik ist Präsident der New Evangelical Partnership for the Common Good (Neuen Evangelischen Partnerschaft für das Gemeinwohl). Er war der Vizepräsident für Regierungsangelegenheiten der National Association of Evangelicals (NAE) und einer der prominentesten evangelikalen Lobbyisten in den Vereinigten Staaten. [1] [2] In seiner Position bei der NAE war Ciziks Hauptverantwortung die Festlegung der Politik der Organisation in Fragen und die Lobbyarbeit für das Weiße Haus, den Kongress und den Obersten Gerichtshof. Reverent Jim Ball  -  Link zur NY Times, zeigt dann einen Toyota Prius und die Frage:"" Was würde Jesus fahren"", wg. Copyright nicht kopiert] „Wir hörten vier Tage lang, man uns über den Klimawandel an Beweise vorbrachte, schlug mir vor die Stirn und dachte, ‚Oh mein Gott, wenn das wahr ist, wird sich alles ändern „, sagte Pfarrer Cizik und bezog sich auf eine Klimakonferenz, an der er 2002 teilnahm Zögernd zuerst, aber er fing an, sein Leben nach der neuen religiösen Überzeugung zu strukturieren: Klimaaktivismus.","klimaaktivismus"
"eike_08491.txt",9,9,"Er war Mitglied in der Kirche der „religiösen Rechten"", bevor er Reverent Jim Ball , einen Gründer des Evangelical Environmental Network, poetisch über den Klimaaktivismus schwärmen hörte. [Richard Cizik ist Präsident der New Evangelical Partnership for the Common Good (Neuen Evangelischen Partnerschaft für das Gemeinwohl). Er war der Vizepräsident für Regierungsangelegenheiten der National Association of Evangelicals (NAE) und einer der prominentesten evangelikalen Lobbyisten in den Vereinigten Staaten. [1] [2] In seiner Position bei der NAE war Ciziks Hauptverantwortung die Festlegung der Politik der Organisation in Fragen und die Lobbyarbeit für das Weiße Haus, den Kongress und den Obersten Gerichtshof. Reverent Jim Ball  -  Link zur NY Times, zeigt dann einen Toyota Prius und die Frage:"" Was würde Jesus fahren"", wg.","Copyright nicht kopiert] „Wir hörten vier Tage lang, man uns über den Klimawandel an Beweise vorbrachte, schlug mir vor die Stirn und dachte, ‚Oh mein Gott, wenn das wahr ist, wird sich alles ändern „, sagte Pfarrer Cizik und bezog sich auf eine Klimakonferenz, an der er 2002 teilnahm Zögernd zuerst, aber er fing an, sein Leben nach der neuen religiösen Überzeugung zu strukturieren: Klimaaktivismus.","Der Bürgermeister von Miami, Tomás Regalado, sah sich einer ähnlichen Erfahrung gegenüber. Der republikanische Bürgermeister hielt laut der NY Times nicht viel vom Klimawandel, bis sein Sohn Jose seinen Vater anfing zu missionieren. „Ich erkannte, dass, wenn das irgendwo im Pazifik passierte, nun, dann könnte es auch hier passieren"", sagte Regalado, der sich in die Auswirkungen des Klimawandels in den Küstengebieten seiner Stadt hinein gesteigert hat. Neuere Studien zeigen jedoch eine andere Geschichte. Eine Studie des niederländischen Deltares Research Institute aus dem Jahr 2016 zeigte zum Beispiel, dass die Küstengebiete in den letzten 30 Jahren um 13.000 Quadratmeilen gewachsen waren.","klimaaktivismus"
"eike_11249.txt",117,117,"Was bedeutet das für das Klima auf der Erde? Das weiß niemand genau. Dass diese geringere Energiezufuhr keine Rolle spielt, aber menschliche Aktivitäten, daran kann nur der hartgesottene Klimaaktivist glauben. Die Forschung dazu wird so weit wie möglich unterbunden. Nichts soll die Mär vom menschengemachten Klimawandel stören.","Unvorstellbar für hohe Priester des Klimaaktivismus, dass es andere Faktoren als den Menschen geben könnte, die das Klima beeinflussen.","Die Sonne zum Beispiel? Nein, kann nicht sein. Die ist groß und mächtig. Der Mensch aber ist größer und mächtiger. Er kann so viel bewirken, dass daneben die Sonne verblasst.","klimaaktivismus"
"eike_00911.txt",23,23,"Ein guter Punkt. Die Erwärmungsprognosen schießen wegen der Erwärmungspause weit über das Ziel hinaus, der Meeresspiegel steigt laut Pegelmessungen um magere 2 mm pro Jahr an und auch in PunktoOzeanversauerung gab es in letzter Zeit viele entwarnende neue Resultate. Was sagt Brian Schmidt dazu? Er sagt, tja, alles ist komplex, ein System großer Komplexität, eine inakzeptable Entwicklung stünde bevor, uns drohe vielleicht die größte Krise der Menschheit. In seiner Antwort geht Schmidt mit keinem Wort auf die ihm gestellte Frage ein, versucht mit Phrasen die bedeutenden wissenschaftlichen Unsicherheiten wegzulabern.","Ein hundertprozentiger Klimaaktivist, dieser Nobelpreis-Schmidt.","Von der Sache selber scheint der hauptberufliche Astronom eher wenig Ahnung zu haben. Das bemerkt vermutlich auch Müller-Jung und spricht ihn direkt auf den Knackpunkt an: MÜLLER-JUNG: Haben Sie das Papier mit Blick auf den Klimagipfel von Paris entworfen, ähnlich wie der Papst die Enzyklika? SCHMIDT: Ja, denn dieses Jahr ist nun einmal das Jahr, in dem gehandelt werden muss. Schellnhuber schreibt für den Papst, stellt damit eine mittelalterliche Dreieinigkeit von Obrigkeit (G7), Kirche (Umweltenzyklika) und Wissenschaft (IPCC) her. Und nun schreibt Schmidt für die Nobelpreisträger.","klimaaktivist"
"eike_01807.txt",46,46,"Denjenigen, die einem derart radikalen Vorschlag nicht folgen mögen, sei nur der folgende, fast beliebig vermehrbare Punkt nahe gelegt: Der Anteil Deutschlands an den weltweit menschenverursachten CO2-Emissionen beträgt etwa zwei Prozent. Daher ist es  -  völlig losgelöst von den vorgenannten Punkten, allein wegen der quantitativ marginalen CO2-Rolle der Bundesrepublik Deutschland  -  ein Gebot der Redlichkeit, an die möglicherweise anderweitig bestens begründete Reduzierung der deutschen CO2-Emissionen nicht zusätzlich die Erwartung zu knüpfen, sie habe auch nur den Hauch einer Bedeutung für die Entwicklung der Wärme auf der Erde und damit für das Klima einzelner Regionen. Schließen möchten und müssen wir mit dieser Klarstellung: In diesem Schreiben haben wir uns ausschließlich mit der eingangs erwähnten These beschäftigt, die Bundesrepublik Deutschland müsse zur Abwendung einer dramatischen „Klimakrise"" unbedingt das im Pariser Abkommen akzeptierte CO2-Emissionsbudget einhalten. Sämtliche inhaltlichen, aus ihrem CO2 -Bezug gelösten Fragen, angefangen von „Lebensstil"" über „Energie"", „Verkehr"", „Mobilität"", „Umweltschutz"", „Landwirtschaft"", „Ernährung"" usw. sind nicht Gegenstand dieser unserer Anmerkungen. Mit freundlichen Grüßen Dr.","Dirk Beckerhoff ================================================================= Quellen : [1]https://www.eike-klima-energie.eu/2019/03/26/plasbergs-laienschar-diskutiert-die-klimakatastrophe-und-was-ein-jeglicher-dagegen-tun-muss/ [2] Grolle, J.: Eine Neue Strategie; Klima: Noch immer sind die Vorhersagen zur globalen Erwärmung erstaunlich ungenau,Der Spiegel, 23.03.2019 [3] Galgenfrist verlängert, DER SPIEGEL, 06.10.2018 [4] Holger Dambek: CO2-Budget der Menschheit, Spiegel-Online, 5.10.2018 ( http://www.spiegel.de/wissenschaft/natur/klimawandel-streit-um-co2-budget-der-menschheit-a-1170186.html ) =========================================================================================== Anmerkung der EIKE-Redaktion: Unser Gastautor Dirk Beckerhoff hat soeben ein kleines Büchlein publiziert: Analyse und zugleich Glossierung des Klimawahns mal ganz anders; unterhaltsam und zugleich „auf den Punkt"" : ===================================================================== Aus dem Werkzeugkasten der Klimaaktivisten stammt der aus der Chaostheorie abgeleitete sogenannte „Schmetterlingseffekt"", der bei einem Flügelschlag auf der nördlichen Halbkugel einen verheerenden Hurrikan auf der südlichen Halbkugel auslösen kann.","Diese Argumentationen werden von den Umweltaktivisten auch angewandt, so z.B. zur Verhinderung eines Parkhaus-Neubaus, weil die mit noch warmen Verbrennungsmotoren abgestellten Fahrzeugen und die auf dem obersten Parkdeck schwarz geteerten Abstellbereiche ein Mikroklima schaffen, welches dann Umweltkatastrophen irgendwo auf der Welt auslösen könnten. Wenn das richtig sein sollte, müsste man Windräder und Sonnenkollektoren sofort verbieten und die bereits gebauten verschrotten. Die Windräder beschleunigen nicht nur das Artensterben, sondern sind unnatürliche Windhindernisse, die dann gemäß Schmetterlingseffekt das weltweite Windsystem inkl. Jetstreams aus der Bahn werfen und zu Katastrophen führen könnten. Zu de Sonnenkollektoren wäre zu bedenken, das sie die von der Sonne ankommende Energie aufnehmen und nach den Lehrsätzen der Thermodynamik auch in Wärme umgewandelt wird.","klimaaktivist"
"eike_01807.txt",54,54,"Die Windräder beschleunigen nicht nur das Artensterben, sondern sind unnatürliche Windhindernisse, die dann gemäß Schmetterlingseffekt das weltweite Windsystem inkl. Jetstreams aus der Bahn werfen und zu Katastrophen führen könnten. Zu de Sonnenkollektoren wäre zu bedenken, das sie die von der Sonne ankommende Energie aufnehmen und nach den Lehrsätzen der Thermodynamik auch in Wärme umgewandelt wird. Zu den Elektrofahrzeugen ist u.a. anzumerken, wo ist die Umweltbilanz, wenn das für die Batteriefertigung notwendige Kobalt unter unmenschlichen Bedingungen mit Kinderarbeit und Lithium in bereits wasserarmen Gegenden durch Bewässerung von riesengroßen Feldern abgebaut werden. Nichts wird sich ändern, niemand von denen wird etwas „einsehen"", erkennen wollen  -  „die"" vom PIK, vom IPCC, von Maurice Strong als Abgesandter der Rockefeller Foundation, die schon den Club of Rome (Hirschhausen soll inzwischen auch bewährtes Mitglied sein!","Sorry: von Hirschausen, Dr. von … natürlich) und nachgehend den absolut gefakten Kyoto-Vertrag gesponsert hat und  -  wie EIKE kürzlich berichtete  -  heute noch sogenannte Klimaaktivisten finanziert (selber haben sie das Vermögen aus Ölproduktion!","Na ja. Norwegen läßt grüßen.)  -  „die"" werden noch was drauf legen. Okay, ne 2. Greta bringt es nicht  -  aber die war schon ne superfeine Idee. Jetzt kommt die Klimakatastrophe den Kommunen ganz, ganz nahe  -  da läuft der nächste Film.","klimaaktivist"
"eike_03064.txt",18,18,"Renn zögert nicht lange und erläutert, dass es sich höchstwahrscheinlich um eine Gruppe am rechten Rand der Gesellschaft handelt, die sich die Fakten so biegt wie sie sie braucht. Aha. Als nächstes ist Graßl dran. Er freut sich über den kürzlichen heißen März und erklärt den kalten April als nicht signifikant. Dritte im Bunde ist Dr.","Gerrit Hansen von der Klimaaktivistengruppe Germanwatch.","Es ruft ein Skeptiker an, der darauf hinweist, dass es den Klimawandel stets gegeben habe. Unangenehm. Die Moderatorin würgt ihn schnell ab. Die Telefonverbindung wäre zu schlecht. Graßl fabuliert in der Folge über die letzte Eiszeit.","klimaaktivist"
"eike_01162.txt",79,79,"Um sehr unterschiedliche Größen wie beispielsweise Wetterlagenhäufigkeit und Lufttemperaturen, in einem Diagramm darstellen zu können, mussten wir Indexwerte berechnen. Andernfalls hätten wir viel zu viele Einzeldiagramme untereinander bringen müssen- das wäre zu unübersichtlich. Schönen Eiswinter noch (bald auch für Süddeutschland). Stefan Kämpfe die inhaltliche Ausarbeitung Ihres Artikels möchte ich zunächst loben. Jedoch kritisiere Ich Ihren Ausdruck.","Skandalorientierte (Unter-)Titel wirken nie wissenschaftlich und sind meiner Meinung nach Sache der „Klimaaktivisten"".","Sobald sich „Klimaskeptiker"" aus dem sicheren Feld der Wissenschaftlichkeit heraus provozieren lassen, machen sie sich anfällig. „Und der Horror-Winter wird weitergehen""  -  stelle ich in seiner Aggressivität gleich mit Formulierungen wie „und diese Hitzeextreme werden in Zukunft noch weiter zunehmen"", wie man es von der eher unwissenschaftlichen Klima-Panik-Ecke kennt. Zumal ich den diesjährigen Winter (noch) nicht als extrem empfand. Auch sich an einer Kaltwetterlage (dem Winter 15/16 bis jetzt) zu ergötzen, wie ich es bei Eike oft zwischen den Zeilen lese, halte ich für nicht angebracht, da man Klima, wie Sie sicher wissen, u.a. nicht an einem einzelnen Zustand festmachen sollte. Beiläufig möchte ich (als Leihe) anmerken, dass die hier angeführten Grafiken ohne konkreten Achsbeschriftungen nicht überzeugend wirken könnten.","klimaaktivist"
"eike_01982.txt",11,11,"Und der schien mit der NASA Meldung gefunden. Leider hatte die einige kleine Schönheitsfehler, denn es handelte sich nur um eine Schätzung der Fortschreibung von Satellitendaten über einige Jahre, die zuvor mittels „Sonderkalibrierung"" auf das doppelte aller anderen Werte -zuvor und danach- aufgeblasen wurden, und die dann für die nächsten Jahrhunderte einfach fortgeschrieben wurden. Schon die Formulierung der Meldung „..in 100 bis 200 Jahren"" hätte zudem jeden wachen Redakteur, zumindest aber seinem Chefredakteur aufmerken lassen müssen, dass diese Meldung eher in den Bereich der Fabel oder Wunschdenkens gehören müsse. Aber in der Klimathematik ist wohl alles möglich, denn keiner merkte es, keiner tat etwas. Offenbar war der Wunsch Alarmmeldungen zum Klima zu bringen, stärker als der evtl. noch so gering entwickelte, vielleicht in dieser Frage schon nicht mehr vorhandene, gesunde Menschenverstand.","Video der ZDF Propaganda Sendung zur NASA Meldung in 19:00 Uhr heute vom 27.8.15 Das ZDF, angetrieben von seinem „Umweltredakteur"" Volker Angres, der zwar von der Sache so gut wie nichts versteht, dafür aber ein umso glühenderer Klimaaktivist ist, brachte diese Meldung auch an prominenter Stelle mit passenden Einspielern in der „heute"" Sendung vom 27.8.15.","Abb1: Auswahl einiger Äußerungen führender IPCC Vertreter zur Absicht das aktuelle Wirtschaftsmodell via „Klimaschutz"" in ein Umverteilungsmodell umzuwandeln. Der angestrebte Vertrag von Paris soll dies gewährleisten, der „Klimaschutz"" dient dabei lediglich als Vorwand Ich erlaubte mir daraufhin der ZDF Redaktion, samt ihrem Chefredakteur Dr. Peter Frey, einige Fragen zu dieser Meldung, die jeder Unvoreingenommene sofort nur als Ente begreifen konnte, zu stellen. Eine Antwort steht bis heute aus. Meine Mail an das ZDF (mit nachträglich eingebettetem Kleber-Glaubwürdigkeitsmangel Video) von: Dipl.","klimaaktivist"
"eike_01982.txt",28,28,"Der Widerspruch in seinen Aussagen erschloss sich ihm also offensichtlich nicht. Auch der Rest der Meldung hätte eher ins Reich der Fabel verwiesen werden sollen, und wenn überhaupt gebracht, unter die Rubrik Kurioses gehört. Meine Frage daher an Sie, die ich bitte zu beantworten, ist die: Gibt es in Ihrer ganzen Redaktion, oder in der Chefredaktion, nicht einen einzigen Menschen, der sich  -  auch und gerade wenn es um das Klima geht- seinen gesunden Menschenverstand bewahrt hat und eine Meldung dieser Art, in der behauptet wird, man könne den Anstieg des Meeresspiegels für 100 bis 200 Jahre vorhersehen, ins Reich der Fabel verweist und deshalb vor einer Veröffentlichung absieht, weil sie reiner Hokuspokus sein muss? Denn Niemand kann die Zukunft vorhersehen, auch nicht die Klimazukunft und auch nicht die NASA. Deren Glaubwürdigkeit ohnehin in Sachen Klima wissenschaftlich gegen Null tendiert, seit bekannt ist, dass ihr GISS methodisch alle Temperaturdaten früherer Jahrzehnte nach unten manipuliert hat, um den Anstieg heute umso dramatischer darzustellen.","Dass Ihr ebenso unkritischer Kollege Angres, als Klimaaktivist der er ist, die sich bietende Gelegenheit nutzt, um seine Agenda, nämlich die große Umverteilung mittels der Pariser Klimakonferenz voranzutreiben, ist ebenfalls keine Petitesse, sondern ein Fall für den Rundfunk- und Presserat.","Sämtliche Verhaltensregeln des Rundfunkgesetzes, die auch für Ihr Haus und seine Mitarbeiter gelten, werden m.E.n. nicht nur in diesem Fall aufs Gröbste verletzt. Auch deswegen weil er nur selektiv berichtet, und alles außen vor lässt, was seiner Agenda widerspricht. Gern kann ich diese Tatsache- wenn Sie wollen- belegen. Ob er bei dieser Nachricht mitgewirkt hat, weiß ich nicht, muss es aber vermuten. Diese Art von Nachrichten gehört daher eindeutig in die Kategorie Propaganda.","klimaaktivist"
