"docname","from","to","pre","keyword","post","pattern"
"fff_de_00488.txt",5,5,"Aber das macht nichts. Denn Du kannst trotzdem helfen! Mit Deiner Spende von nur 20€ können wir ein Mobi-Paket für eine unserer Ortsgruppen finanzieren. Damit hilftst auch Du, unsere Klimastreiks am 25.9. überall hin zu tragen.","Mit Deiner Spende unterstützt Du unseren Klimaaktivismus.","Jetzt spenden: Alle Zahlungen gehen ohne Abzug auf ein Konto der peer-to-peer-Plattform des Vereins fairsichern community e.V. Die peer-to-peer-Plattform ist ein Projekt der GLS Bank.","klimaaktivismus"
"farn236.txt",2,2,"""Auf 64 Seiten beschreibt die Broschüre zunächst wie die Klimakrise durch den Kolonialismus, das koloniale Naturverständnis und die daraus resultierende Ausbeutung von Mensch und Natur überhaupt erst entstehen konnte.","In einem weiteren Kapitel geht es darum, wie sich koloniale Kontinuitäten in der unterschiedlichen Betroffenheit von Klimawandelfolgen, dem Umfang von CO2-Emissionen, Ressourcenabbau, aber auch in der Suche nach Lösungen für die Klimakrise und im weißen Klimaaktivismus erkennen lassen.","Ein zentraler Teil der Broschüre ist ebenso die Entstehungsgeschichte der Umwelt- und Klimagerechtigkeitsbewegung und das Aufzeigen verschiedener antikolonialer Widerstände, die sich seit 500 Jahren gegen Ausbeutung auflehnen und somit die Klimakrise schon in ihrer Wurzel bekämpft haben. "" (Text: BUNDjugend)","klimaaktivismus"
"gerzero_00022.txt",29,29,"Alle eint dasselbe Ziel: Sie wollen ihre Heimat klimaneutral machen. Denn bisher gibt es im beschaulichen Schorndorf keine verbindlichen Klimaziele oder gar einen Plan zur Klimaneutralität. Im Sommer 2020 vereinbart das Team Klimaentscheide von GermanZero mit den Schorndorferinnen einen Termin zum Kick-Off-Work-shop. Diese Auftaktveranstaltung sei immer der erste Schritt auf dem Weg, erklärt Ines Gütt, Projektleiterin für Klimaentscheide bei GermanZero. Die Schordorferinnen haben sie von Anfang ganz besonders beeindruckt: „Die Gruppe hat in ihrer Region so viel auf die Beine gestellt in der kurzen Zeit  -  und das trotz Corona!""","Dabei schlägt den Klimaaktivistinnen am Anfang vor allem eines entgegen: Widerstand.","Oberbürgermeister Matthias Klopfer, SPD, bezeichnet das Ziel der Gruppe  -  Schorndorf bis 2035 klimaneutral zu machen  -  als „völlig utopisch"", und auch die Kommunalpolitiker*innen im Gemeinderat sind erst einmal skeptisch. Doch das spornt die Gruppe nur noch mehr an. Während des gesamten Jahres 2020 unterstützt GermanZero Dörte Schnitzer und ihr Team. Nach dem Auftakt steht der lokale Klimaplan für Schorndorf an. Mithilfe des Klimastadtplan-Generators von GermanZero werden die Einsparpotentiale in Schorndorf ermittelt.","klimaaktivist"
"fff_de_00330.txt",14,14,"Kurz zuvor war das bei weitem nicht ausreichende Klimapäckchen der Bundesregierung verabschiedet worden und wir bereiteten uns darauf vor, weiterhin Druck auf den Straßen zu machen, damit die Bundesregierung ihren leeren Worten auch Taten folgen lassen würde. So gingen am 17. Januar bei einer regionalen Großdemo in Mainz 12.000 Menschen unter dem Motto „Die Uhr tickt  -  für unseren Planeten"" auf die Straße, um auf die Dringlichkeit der Klimakrise hinzuweisen, die schon jetzt für Millionen Menschen Realität ist. Zahlreiche Demonstrierende fanden sich auch rund um das Weltwirtschaftsforum in Davos ein, das wir zum Weltklimaforum machten. Das Thema war in zahlreichen Debatten präsent und Klimaktivist:innen vor Ort machten unsere Forderungen unüberhörbar.","Unter ihnen auch die 24-jährige Klimaaktivistin Vanessa Nakate, die in Uganda trotz großer Widerstände, wie Strafen für protestierende Studierende, die Fridays for Future-Bewegung organisiert.","In der Berichterstattung über eine Pressekonferenz, in der fünf Fridays for Future-Repräsentatinnen vertreten waren, von denen vier weiß*waren, wurde Vanessa, die einzige Vertreterin von Fridays for Future auf dem afrikanischen Kontinent war, aus dem Bild herausgeschnitten. Dieses Erlebnis kann sinnbildlich für die Erfahrungen der vielen Menschen mit Rassismuserfahrung und der Menschen aus dem globalen Süden stehen, die häufig nicht nur die Folgen der Klimakrise am stärksten spüren, sondern auch schon seit Jahrzehnten ganz vorne im Kampf gegen Naturzerstörung und Klimawandel stehen, und deren Stimmen immer noch viel zu häufig überhört werden. Es war eines der ersten Ereignisse im Jahr 2020, die uns bewusst machen sollten, dass Klimagerechtigkeit nicht ohne Antirassismus möglich ist. Siemens schürt Feuer Dass im Jahr 2020 die Klimakrise nicht mehr nur unsere Zukunft, sondern auch unsere Gegenwart bedroht, wurde mal wieder auch sehr deutlich, als die Bilder von den Buschbränden in Australien um die Welt gingen. Bilder von Bränden, die schlimmer waren, als die im gesamten Jahrzehnt zuvor.","klimaaktivist"
"fff_de_00319.txt",1,1,"","Ich heiße Evelyn Chantelle und ich bin eine Klimaaktivistin aus Uganda.","Ich bin aktiv bei Fridays for Future Uganda, the rise up movement und #defendthedefenders. Die Folgen der Klimakrise sind hier schon sehr gravierend und zerstören Leben. Die Auswirkungen betreffen uns alle, aber am meisten die Armen, da sie sich viel schwieriger an andere Umstände anpassen können. Für diese Menschen müssen wir kämpfen, weil sie nicht gehört werden, nicht viel machen können und keine andere Wahl haben als sich den schlimmen Folgen der Klimakrise zu stellen. Ich hasse es, das alles passieren zu sehen.","klimaaktivist"
"fff_de_00093.txt",1,1,"","- internationaler, zentraler Streik von Fridays for Future Bereits am vergangenen Donnerstag, 20.06, reisen tausende Klimaaktivist*innen in Bussen und (Sonder-)zügen zu ihrem Ziel an.","Die Aachener Innenstadt ist voll mit Grüppchen junger Menschen, die sich gegenseitig Sprüche zurufen, Lieder über Klimaschutz singen und sich dann gemeinsam auf den Weg zum großen Parkhaus neben dem Tivoli-Stadion machen. Dort wird ein Lager aus Isomatten aufgeschlagen, wo die Aktivist*innen zu 2.500 Personen schlafen werden. Am nächsten Tag reisen noch mehr Leute an, vorwiegend Menschen mit kürzerem Weg, um sich dann mit allen anderen auf den Weg zum Demonstrieren zu machen. An jedem der anfangs vier Demozügen herrscht gute Stimmung. Die Band Brass Riot musiziert live auf dem Dach eines Feuerwehrautos, das an Seilen gezogen wird.","klimaaktivist"
"fff_de_00325.txt",48,48,"Dezember ein Tag zum Aufwachen. Ein Tag an dem es gilt endlich Mut zu fassen und Versäumtes aufzuholen. Ein Kommentar zu „5 Jahre Paris  -  (K)ein Grund zu feiern"" Bemerkenswerter Satz: „Bislang hat noch keine Partei untersucht, wie man 1,5 Grad in Deutschland umsetzen könnte."" Sie müssten sich gegenseitig überbieten, streiten. Die Medien müssten voll mit diesem allerwichtigsten Thema sein.","Statt dessen nur Corona, …, die bösen Klimaaktivisten, … Wenn da nichts kommt, kann ich bei der nächsten Wahl niemand wählen.","","klimaaktivist"
"fff_de_00019.txt",780,780,"Das Leben, das wir haben könnten, ohne diesen ganzen lebensfeindlichen Konsum und die Ausbeutung der Erde und der Menschen, ist ganz sicher viel besser als das, woran ihr euch heute klammert! Wagt zu hoffen und macht mit, diese Transformation zu gestalten. Lasst die Angst los und beteiligt euch. Verbindet euch mit den Menschen, die mitmachen bei diesem Wandel. Fühlt, dass ihr ein wichtiger Teil dessen seit.","Liebe Klimaaktivisten!","Erstmal Respekt für das, was ihr bis jetzt auf die Straße, in die Medien, die Parlamente und auch in die Wahlurnen gebracht habt! (… und es ist klar, dass ich jedes Wort eures offenen Briefes hier voll unterschreibe) Vor einem Jahr hätte ich dies noch nicht für möglich gehalten, gleichwohl das bis dato erreichte in der Dynamik der voranschreitenden Klimakatastrophe und der Zerstörung immer größerer Lebensbereiche unserer Erde kaum einen merklichen Eindruck hinterlassen dürfte … wir stehen also erst am Anfang einer möglichen, dringend nötigen Wende in der Klimapolitik. Ich habe seinerzeit auch schon mit 17 eine Demonstration angemeldet, gegen AKWs angeschrieben, gegen Aufrüstung demonstriert, Ökologie eingefordert und mich dies bzgl. vielfach engagiert (niemals Parteigebunden), und auch schon seit 40J. auf das hingewiesen, was jetzt endlich vermehrt ins Bewusstsein der Öffentlichkeit rückt, auf ein wahrscheinliches Szenario der fortschreitenden menschengemachten Erderwärmung, Erschöpfung der natürlichen Ressourcen dieser Erde und einer Eskalation dieser zerstörerischen Auswirkungen unseres Tuns in der 1. Hälfte diesen Jahrhunderts, verbunden auch mit schweren gesellschaftlichen Krisen .. Wenn man dann sieht, dass über die Jahrzehnte nichts grundlegendes dagegen passiert ist, die Klimaforschung aber in ihren Prognosen immer valider, deren Szenarien immer düsterer werden, kann man verzweifeln!","klimaaktivist"
"fff_de_00019.txt",786,786,"Erstmal Respekt für das, was ihr bis jetzt auf die Straße, in die Medien, die Parlamente und auch in die Wahlurnen gebracht habt! (… und es ist klar, dass ich jedes Wort eures offenen Briefes hier voll unterschreibe) Vor einem Jahr hätte ich dies noch nicht für möglich gehalten, gleichwohl das bis dato erreichte in der Dynamik der voranschreitenden Klimakatastrophe und der Zerstörung immer größerer Lebensbereiche unserer Erde kaum einen merklichen Eindruck hinterlassen dürfte … wir stehen also erst am Anfang einer möglichen, dringend nötigen Wende in der Klimapolitik. Ich habe seinerzeit auch schon mit 17 eine Demonstration angemeldet, gegen AKWs angeschrieben, gegen Aufrüstung demonstriert, Ökologie eingefordert und mich dies bzgl. vielfach engagiert (niemals Parteigebunden), und auch schon seit 40J. auf das hingewiesen, was jetzt endlich vermehrt ins Bewusstsein der Öffentlichkeit rückt, auf ein wahrscheinliches Szenario der fortschreitenden menschengemachten Erderwärmung, Erschöpfung der natürlichen Ressourcen dieser Erde und einer Eskalation dieser zerstörerischen Auswirkungen unseres Tuns in der 1. Hälfte diesen Jahrhunderts, verbunden auch mit schweren gesellschaftlichen Krisen .. Wenn man dann sieht, dass über die Jahrzehnte nichts grundlegendes dagegen passiert ist, die Klimaforschung aber in ihren Prognosen immer valider, deren Szenarien immer düsterer werden, kann man verzweifeln!","Ich hoffe, das Jahr 2018, FFF und die vielen anderen Klimaaktivisten bringen nun die Wende!","Schon jetzt ist daher Greta Thunberg ganz eindeutig eine Person der Menschheitsgeschichte, gleichwohl es eine Dreistigkeit wäre, die Last der Welt auf ihre jungen Schultern zu legen, oder auf eure! Greta hat daher bei der ergreifenden  -  und mMn nach historischen Rede vor der UN („How dare You..?!"")  -  völlig zu Recht darauf hingewiesen, dass es geradezu erbärmlich wäre, wenn „die Welt"" ihre Hoffnungen auf Rettung vor der sich anbahnenden Katastrophe bei einem 16jährigen Mädchen, bei ihr, ablädt, welche sich nachvollziehbar ihrer Träume beraubt sieht, ihrer Lebensperspektive auf eine Welt, wie wir sie heute noch kennen, und die Heimat, biologische Diversität, Sicherheit, unvergleichliche Schönheit und einen Fortbestand allen Lebens bietet! Diese Welt ist bedroht, massiv, nicht mehr und nicht weniger .., und zwar von uns! Wir stehen also erst am Anfang, wenn wir unseren Fußabdruck in der politischen Agenda betrachten, und die Bewältigung der größten Menschheitsherausforderung bis dato, und, das möchte ich hinzufügen, zur Abmilderung des bislang größten Menschheitsverbrechen zum Ziel haben! Wer das verneint, den Frage ich, welches Verbrechen wäre denn denkbar größer, als die Vernichtung ganzer Lebensräume im globalen, fast kontinentalen Maßstab (zb. würden weite Teile Afrikas, Europas unbewohnbar), der Vernichtung von unzähligen Spezies in Flora und Fauna (aktuell 200 pro Tag), der auch 100derte Millionen, gar Milliarden von Menschen zum Opfer fallen dürften, etwa über Hungernöte, gar die Einleitung und Verstetigung einer globalen Heißzeit mit all seinen zerstörerischen Auswirkungen?!","klimaaktivist"
"fff_de_00019.txt",795,795,"Wir stehen also erst am Anfang, wenn wir unseren Fußabdruck in der politischen Agenda betrachten, und die Bewältigung der größten Menschheitsherausforderung bis dato, und, das möchte ich hinzufügen, zur Abmilderung des bislang größten Menschheitsverbrechen zum Ziel haben! Wer das verneint, den Frage ich, welches Verbrechen wäre denn denkbar größer, als die Vernichtung ganzer Lebensräume im globalen, fast kontinentalen Maßstab (zb. würden weite Teile Afrikas, Europas unbewohnbar), der Vernichtung von unzähligen Spezies in Flora und Fauna (aktuell 200 pro Tag), der auch 100derte Millionen, gar Milliarden von Menschen zum Opfer fallen dürften, etwa über Hungernöte, gar die Einleitung und Verstetigung einer globalen Heißzeit mit all seinen zerstörerischen Auswirkungen?! Das übersteigt in seiner totalen Konsequenz unser Vorstellungsvermögen und alle bisherigen Zerstörungsakte der Menschheit, insofern man die moralische Komponente außen vor lässt, die etwa bei der Vernichtung von Millionen von Juden klar eine andere Dimension menschlicher Verderbtheit gezeigt hat .. Viele finden dies jetzt sicher übertrieben formuliert, alarmistisch, zudem wenn ich noch hinzufüge, das für die Bewältigung dieser Aufgabe  -  je nach Zielvorgabe (+1,5°C, +2°C) kaum mehr als 1 Jahrzehnt, oder gar weniger, zur Einleitung radikaler Maßnahmen verbleiben. Zur Einordnung der ganzen Problematik ist unbedingt notwendig, sich die (Horror-) Szenarien der Wissenschaft anzuschauen, was dem Planeten droht, sollten wir nicht schnellstens handeln.","Das auszumalen spare ich mir, FFF und andere Klimaaktivisten werden das schon studiert haben.","Den anderen sei gesagt, dass die Welt nicht im Jahr 2100 enden wird (wie die meisten Klimamodelle), sondern dass die Katastrophe, die wir aktuell und schon in der Vergangenheit zu verantworten und eingeleitet haben, über Jahrhunderte bis Jahrtausende in eine globale Warmphase mit drastischen Auswirkungen für das Leben auf der Erde einmünden könnte, die erdgeschichtlich im Umbruch etwa nur mit der Epoche des Aussterbens der Dinosaurier vergleichbar wäre! Viele, vor allem die Medien, nennen so was dann „Panikmache"", doch Fakt ist, das aktuelle Klimamodelle dies vorhersagen, bzw. das Wahrscheinlichkeitsniveau solcher Szenarien recht hoch veranschlagen, wenn denn nichts grundlegendes zur Abwendung dieser Entwicklung geschieht. Dazu kommt, dass die Klimaforschung i.d. Vergangenheit mit Ihren Prognosen meist zu optimistisch war und aktuell das erreichen katastrophaler Kipppunkte nicht genau abschätzen können! Und letzteres ist wichtig zu wissen und zu bedenken!","klimaaktivist"
