;Pre;Key Word;Post
1;bekannt (4), jahr (2);klimaaktivist;bill (4)
4;schwedisch (3);klimaaktivistin;greta (5)
6;erzeugung (3), flashcrash (3), erklären (2), schulz (2);klimaalarm;posaunen (3), teil (3), betrügerisch (2), brandenburgisch (2)
16;behauptung (2), exemplarisch (2), gleiche (2), kommen (2);klimaalarmist;ankündigen (2), behauptung (2), bewährt (2), bzgl. (2), ilcc (2) 
25;unwetter (2);klimabluff;
26;tag (2);klimachaos;
27;inspektion (2);klimadampfer;
28;international (2);klimadiplomatie;
29;alternativ (3);klimaelite;behörde (3)
31;jung (3);klimagarde;weltrettungsbibel (3)
33;verschwinden (2);klimagefahr;simuliert (2)
35;global (3), mehr (3);klimagerechtigkeit;aufgreifen (2)
38;global (2);klimaglaube;
39;potsdamer (2);klimagott;huldigen (2)
41;milliardengrab (2), wirkmächtigkeit (2);klimahype;klimawende (2), kommen (2)
45;aktuell (3), buch (3), vorhanden (3), argument (2);klimahysterie;zeigen (3), ausnutzen (2), bitte (2), einfach (2), erdkult (2)
54;;klimairrsinn;nehmen (2)
55;heute (3), deutschland (2);klimakanzlerin;politisch (2)
58;vertreter (3);klimakatastrophentheorie;fällen (3)
60;eben (2);klimakirche;
61;politisch (2);klimaklamauk;
62;eike (3), todesstrafe (3), afd (2), erfindung (2), geben (2);klimaleugner;fordern (5), befinden (3), sagen (3), ausdruck (2), diffamier (2)
72;welt (2);klimalüge;aufzuschwätzen (2)
74;laufen (2);klimamantra;schon (2)
76;erster (2);klimamilliardär;
77;geben (2);klimanotfall;gekocht (2)
79;rotgrünrot (4);klimanotlage;bremen (5)
81;auswirkung (2);klimapanik;kind (2) 
83;aktiv (2);klimapanikmache;gefallen (2)
85;schellnhuber (2);klimapapst;
86;gouverneur (2);klimaprediger;land (2)
88;wärmeinseleffekt (2);klimaprofessor;plaudern (2)
90;bush (2), clinton (2), europäer (2);klimaquatsch;europäer (5), ami (2)
95;argument (2);klimarealist;z.b. (2)
97;anhänger (2), anhängsel (2), grün (2), richtig (2);klimareligion;gehen (2), sogar (2), somit (2)
104;deutsch (2), natürlich (2), portal (2), projekt (2);klimaretter;lebensretter (4), darstellen (2)
112;sogenannter (4);klimarettung;elektrisch (2), sollen (2)
115;ganz (3);klimaschwindel;
116;argument (2);klimaschwindler;zunichtemachen (2)
118;argument (3), propaganda (3), reaktion (3), sogenannter (3), dafür (2);klimaskeptiker;gerne (4), ja (3), lassen (3), bedenken (2), bereich (2)
129;phase (3);klimatraumatisierung;eike (2)
131;gesicht (2);klimaverleugnung;
132;global (2);klimaverweigerung;
133;schätzen (2);klimawahn;breite (2)
135;liegen (2);klimawahnsinn;beenden (2), deutschland (2)
138;;klimazar;john (2)
