;Pre;Key Word ;Post
1;lieb (4), indigen (2), klimaziel (2), liebe (2);klimaaktivist;schon (2)
7;tan (2);klimaaktivistin;philippinen (3), aktivist (2), howey (2), uganda (2), vanessa (2)
13;testfall (2);klimaernsthaftigkeit;namhaft (2)
15;forderung (15), kampf (10), global (9), fordern (7), bewegung (6);klimagerechtigkeit;bedeuten (14), einhaltung (7), rechter (7), gehen (6), einsetzen (5)
25;;klimahysterie;unwort (2)
26;forderung (2);klimakonsens;cdu (2)
28;deutsch (7);klimakonsortium;dkk (6)
30;;klimaleugner;afd (2)
31;anastasiabewegung (2), hintergrund (2);klimaleugnung;sache (2), klimaskepsis (2), postwachstum (2)
36;brunnen (2), rathaus (2);klimamahnwache;infopoint (2)
40;klimawandelleugnung (12);klimanationalismus;
41;gut (2);klimanotstandsregierung;
42;bundesregierung (3);klimapäckchen;
43;engagiert (2);klimaretterin;
45;serie (2);klimarettung;
46;klimaleugnung (2);klimaskepsis;zeigen (2)
48;konferenz (2);klimawahn;extrem (2)
