"","word","n","keyword","tag"
"1","ausgesprochen",2,"klimaaktivist","pre"
"2","bekannt",2,"klimaaktivist","pre"
"3","bill",4,"klimaaktivist","post"
"4","james",2,"klimaaktivist","post"
"5","sagen",2,"klimaaktivist","post"
"6","flashcrash",4,"klimaalarm","pre"
"7","klimaalarm",4,"klimaalarm","pre"
"8","anlass",3,"klimaalarm","pre"
"9","erzeugung",3,"klimaalarm","pre"
"10","klimaalarm",4,"klimaalarm","post"
"11","posaunen",4,"klimaalarm","post"
"12","ehemalig",2,"klimaalarm","post"
"13","teil",2,"klimaalarm","post"
"14","argument",2,"klimaalarmist","pre"
"15","behauptung",2,"klimaalarmist","pre"
"16","bestehen",2,"klimaalarmist","pre"
"17","fragen",2,"klimaalarmist","pre"
"18","gelten",2,"klimaalarmist","pre"
"19","recht",3,"klimaalarmist","post"
"20","ankündigen",2,"klimaalarmist","post"
"21","experte",2,"klimaalarmist","post"
"22","meister",2,"klimaalarmist","post"
"23","zürcher",2,"klimaapokalyptiker","pre"
"24","nationalrat",2,"klimaapokalyptiker","post"
"25","tag",2,"klimachaos","pre"
"26","alternativ",2,"klimaelite","pre"
"27","behörde",2,"klimaelite","post"
"28","jung",3,"klimagarde","pre"
"29","weltrettungsbibel",2,"klimagarde","post"
"30","wissenschaft",2,"klimagefahr","pre"
"31","auftauend",2,"klimagefahr","post"
"32","kirche",2,"klimagerechtigkeit","pre"
"33","ganz",2,"klimahype","pre"
"34","wirkmächtigkeit",2,"klimahype","pre"
"35","eu",2,"klimahysterie","pre"
"36","ganz",2,"klimahysterie","pre"
"37","global",2,"klimahysterie","pre"
"38","heutig",2,"klimahysterie","pre"
"39","massenmedium",2,"klimahysterie","pre"
"40","bitte",2,"klimahysterie","post"
"41","gerade",2,"klimahysterie","post"
"42","kochend",2,"klimahysterie","post"
"43","unwort",2,"klimahysterie","post"
"44","linksgrün",2,"klimahysteriker","pre"
"45","trauen",2,"klimahysteriker","post"
"46","angeblich",2,"klimahölle","pre"
"47","bringen",2,"klimahölle","post"
"48","ära",2,"klimakanzlerin","pre"
"49","merkel",2,"klimakanzlerin","pre"
"50","umtriebig",2,"klimakanzlerin","pre"
"51","merkel",3,"klimakanzlerin","post"
"52","vertreter",2,"klimakatastrophentheorie","pre"
"53","fällen",2,"klimakatastrophentheorie","post"
"54","missionar",4,"klimakirche","pre"
"55","vertreter",3,"klimakirche","pre"
"56","annehmen",2,"klimakirche","pre"
"57","füllend",2,"klimakirche","pre"
"58","geben",2,"klimakirche","pre"
"59","ausnahme",3,"klimakirche","post"
"60","anwenden",2,"klimakirche","post"
"61","bezeichnen",2,"klimakirche","post"
"62","gott",2,"klimakirche","post"
"63","sagen",2,"klimakirche","post"
"64","paris",2,"klimaklamauk","post"
"65","angehen",2,"klimakonsens","post"
"66","deutsch",6,"klimakonsortium","pre"
"67","dkk",2,"klimakonsortium","post"
"68","warnen",2,"klimakonsortium","post"
"69","todesstrafe",5,"klimaleugner","pre"
"70","aussage",2,"klimaleugner","pre"
"71","behaupten",2,"klimaleugner","pre"
"72","beispiel",2,"klimaleugner","pre"
"73","deutsch",2,"klimaleugner","pre"
"74","bezeichnen",3,"klimaleugner","post"
"75","befinden",2,"klimaleugner","post"
"76","darstellen",2,"klimaleugner","post"
"77","diffamieren",2,"klimaleugner","post"
"78","eike",2,"klimaleugner","post"
"79","neuerdings",2,"klimalobby","post"
"80","welt",2,"klimalüge","pre"
"81","aufzuschwätzen",2,"klimalüge","post"
"82","thunfisch",2,"klimalügner","pre"
"83","laufen",2,"klimamantra","pre"
"84","schon",2,"klimamantra","post"
"85","klimakris",2,"klimanotfall","pre"
"86","ausrufung",2,"klimanotlage","pre"
"87","rotgrünrot",2,"klimanotlage","pre"
"88","bremen",2,"klimanotlage","post"
"89","insbesondere",2,"klimapanik","post"
"90","aktiv",2,"klimapanikmache","pre"
"91","gefallen",2,"klimapanikmache","post"
"92","schellnhuber",3,"klimapapst","post"
"93","bastasch",2,"klimaprofiteur","pre"
"94","al",2,"klimaprofiteur","post"
"95","klimawahn",8,"klimapäpstin","pre"
"96","irrglaube",7,"klimapäpstin","post"
"97","erweisen",2,"klimarealismus","pre"
"98","bärendienst",2,"klimarealismus","post"
"99","sogenannter",3,"klimarealist","pre"
"100","argument",2,"klimarealist","pre"
"101","immer",2,"klimarealist","pre"
"102","position",2,"klimarealist","pre"
"103","fordern",2,"klimarealist","post"
"104","z.b.",2,"klimarealist","post"
"105","anhänger",2,"klimareligion","pre"
"106","hohepriester",2,"klimareligion","pre"
"107","kritik",2,"klimareligion","pre"
"108","übermächtig",2,"klimareligion","pre"
"109","agwler",2,"klimareligion","post"
"110","quelle",4,"klimaretter","pre"
"111","blog",3,"klimaretter","pre"
"112","gehen",3,"klimaretter","pre"
"113","portal",3,"klimaretter","pre"
"114","berichterstattung",2,"klimaretter","pre"
"115","info",51,"klimaretter","post"
"116","lebensretter",4,"klimaretter","post"
"117","09.",2,"klimaretter","post"
"118","darauf",2,"klimaretter","post"
"119","deutschland",2,"klimaretter","post"
"120","angeblich",2,"klimarettung","pre"
"121","beitrag",2,"klimarettung","pre"
"122","chemische",2,"klimarettung","pre"
"123","lassen",2,"klimarettung","pre"
"124","protagonist",2,"klimarettung","pre"
"125","energiewende",4,"klimarettung","post"
"126","dr.",2,"klimarettung","post"
"127","welt",2,"klimarettung","post"
"128","co2",3,"klimaschwindel","pre"
"129","ganz",3,"klimaschwindel","pre"
"130","daran",2,"klimaschwindel","pre"
"131","sollen",2,"klimaschwindel","pre"
"132","stützen",2,"klimaschwindel","post"
"133","vorderer",2,"klimaschwindel","post"
"134","reaktion",3,"klimaskeptiker","pre"
"135","sobald",3,"klimaskeptiker","pre"
"136","sog.",3,"klimaskeptiker","pre"
"137","sogenannter",3,"klimaskeptiker","pre"
"138","warum",3,"klimaskeptiker","pre"
"139","leugner",5,"klimaskeptiker","post"
"140","gerne",3,"klimaskeptiker","post"
"141","lassen",3,"klimaskeptiker","post"
"142","artikel",2,"klimaskeptiker","post"
"143","brauchen",2,"klimaskeptiker","post"
"144","bevölkerungsforscher",2,"klimasozialismus","post"
"145","phase",2,"klimatraumatisierung","pre"
"146","glauben",8,"klimawahn","pre"
"147","kirche",3,"klimawahn","pre"
"148","sicht",2,"klimawahn","pre"
"149","klimapäpstin",8,"klimawahn","post"
"150","widersprechen",2,"klimawahn","post"
"151","untersuchen",2,"klimawahnsinn","pre"
"152","kommen",2,"klimawahnsinn","post"
"153","irrtümer",3,"klimawarner","pre"
"154","joachim",2,"klimawarner","post"
"155","umtreiben",2,"klimaweltuntergang","pre"
"156","rassismus",2,"klimaweltuntergang","post"
"157","gehen",2,"klimazirkus","post"
"158","paris",2,"klimazirkus","post"
