;word;n;keyword;tag
1;bekannt;4;klimaaktivist;pre
2;Jahr;2;klimaaktivist;pre
3;Bill;4;klimaaktivist;post
4;schwedisch;3;klimaaktivistin;pre
5;Greta;5;klimaaktivistin;post
6;Erzeugung;3;klimaalarm;pre
7;Flashcrash;3;klimaalarm;pre
9;erklären;2;klimaalarm;pre
10;Schulz;2;klimaalarm;pre
12;posaunen;3;klimaalarm;post
13;Teil;3;klimaalarm;post
14;betrügerisch;2;klimaalarm;post
15;brandenburgisch;2;klimaalarm;post
16;Behauptung;2;klimaalarmist;pre
17;exemplarisch;2;klimaalarmist;pre
18;gleiche;2;klimaalarmist;pre
19;kommen;2;klimaalarmist;pre
20;ankündigen;2;klimaalarmist;post
21;Behauptung;2;klimaalarmist;post
22;bewährt;2;klimaalarmist;post
23;bzgl.;2;klimaalarmist;post
24;IPCC;2;klimaalarmist;post
25;Unwetter;2;klimabluff;pre
26;Tag;2;klimachaos;pre
27;Inspektion;2;klimadampfer;pre
28;international;2;klimadiplomatie;pre
29;alternativ;3;klimaelite;pre
30;Behörde;3;klimaelite;post
31;jung;3;klimagarde;pre
32;Weltrettungsbibel;3;klimagarde;post
33;verschwinden;2;klimagefahr;pre
34;simuliert;2;klimagefahr;post
35;global;3;klimagerechtigkeit;pre
36;mehr;3;klimagerechtigkeit;pre
37;aufgreifen;2;klimagerechtigkeit;post
38;global;2;klimaglaube;pre
39;potsdamer;2;klimagott;pre
40;huldigen;2;klimagott;post
41;Millardengrab;2;klimahype;pre
42;Wirkmächtigkeit;2;klimahype;pre
43;Klimawende;2;klimahype;post
44;kommen;2;klimahype;post
45;aktuell;3;klimahysterie;pre
46;Buch;3;klimahysterie;pre
47;vorhanden;3;klimahysterie;pre
48;Argument;2;klimahysterie;pre
49;zeigen;3;klimahysterie;post
50;ausnutzen;2;klimahysterie;post
51;bitte;2;klimahysterie;post
52;einfach;2;klimahysterie;post
53;Erdkult;2;klimahysterie;post
54;nehmen;2;klimairrsinn;post
55;heute;3;klimakanzlerin;pre
56;Deutschland;2;klimakanzlerin;pre
57;politisch;2;klimakanzlerin;post
58;Vertreter;3;klimakatastrophentheorie;pre
59;fällen;3;klimakatastrophentheorie;post
60;eben;2;klimakirche;pre
61;politisch;2;klimaklamauk;pre
62;EIKE;3;klimaleugner;pre
63;Todesstrafe;3;klimaleugner;pre
64;AfD;2;klimaleugner;pre
65;Erfindung;2;klimaleugner;pre
66;geben;2;klimaleugner;pre
67;fordern;5;klimaleugner;post
68;befinden;3;klimaleugner;post
69;sagen;3;klimaleugner;post
70;Ausdruck;2;klimaleugner;post
71;diffamier;2;klimaleugner;post
72;Welt;2;klimalüge;pre
73;aufzuschwätzen;2;klimalüge;post
74;laufen;2;klimamantra;pre
75;schon;2;klimamantra;post
76;erster;2;klimamilliardär;pre
77;geben;2;klimanotfall;pre
78;gekocht;2;klimanotfall;post
79;rotgrünrot;4;klimanotlage;pre
80;Bremen;5;klimanotlage;post
81;Auswirkung;2;klimapanik;pre
82;Kind;2;klimapanik;post
83;aktiv;2;klimapanikmache;pre
84;gefallen;2;klimapanikmache;post
85;Schellnhuber;2;klimapapst;post
86;Gouverneur;2;klimaprediger;pre
87;Land;2;klimaprediger;post
88;Wärmeinseleffekt;2;klimaprofessor;pre
89;plaudern;2;klimaprofessor;post
90;Bush;2;klimaquatsch;pre
91;Clinton;2;klimaquatsch;pre
92;europäer;2;klimaquatsch;pre
93;europäer;5;klimaquatsch;post
94;ami;2;klimaquatsch;post
95;Argument;2;klimarealist;pre
96;z.b.;2;klimarealist;post
97;Anhänger;2;klimareligion;pre
98;Anhängsel;2;klimareligion;pre
99;grün;2;klimareligion;pre
100;richtig;2;klimareligion;pre
101;gehen;2;klimareligion;post
102;sogar;2;klimareligion;post
103;somit;2;klimareligion;post
104;deutsch;2;klimaretter;pre
105;natürlich;2;klimaretter;pre
106;Portal;2;klimaretter;pre
107;Projekt;2;klimaretter;pre
109;Lebensretter;4;klimaretter;post
111;darstellen;2;klimaretter;post
112;sogenannter;4;klimarettung;pre
113;elektrisch;2;klimarettung;post
114;sollen;2;klimarettung;post
115;ganz;3;klimaschwindel;pre
116;Argument;2;klimaschwindler;pre
117;zunichtemachen;2;klimaschwindler;post
118;Argument;3;klimaskeptiker;pre
119;Propaganda;3;klimaskeptiker;pre
120;Reaktion;3;klimaskeptiker;pre
121;sogenannter;3;klimaskeptiker;pre
122;dafür;2;klimaskeptiker;pre
123;gerne;4;klimaskeptiker;post
124;ja;3;klimaskeptiker;post
125;lassen;3;klimaskeptiker;post
126;bedenken;2;klimaskeptiker;post
127;Bereich;2;klimaskeptiker;post
128;sterben;2;klimatod;post
129;Phase;3;klimatraumatisierung;pre
130;EIKE;2;klimatraumatisierung;post
131;Gesicht;2;klimaverleugnung;pre
132;global;2;klimaverweigerung;pre
133;schätzen;2;klimawahn;pre
134;breite;2;klimawahn;post
135;liegen;2;klimawahnsinn;pre
136;beenden;2;klimawahnsinn;post
137;Deutschland;2;klimawahnsinn;post
138;John;2;klimazar;post
